,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Jab 1
		","
		4
		","
		-20
		","
		4—6
		"
1,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Jab 2
		","
		4
		","
		-17
		","
		4—6
		"
2,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Jab 3
		","
		5
		","
		-21
		","
		5—7
		"
3,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Rapid Jab
		","
		5/7/9...
		","
		--
		","
		**
		"
4,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Rapid Jab Finisher 
		","
		7
		","
		-31
		","
		7—8
		"
5,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Forward Tilt
		","
		7
		","
		-12/-14
		","
		7—9
		"
6,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Up Tilt
		","
		11
		","
		-10
		","
		11—14
		"
7,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Down Tilt
		","
		12
		","
		-19/-19
		","
		12—17(18—21)
		"
8,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Dash Attack
		","
		9
		","
		-16
		","
		9—12(13—20)
		"
9,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Forward Smash
		","
		19
		","
		-22
		","
		19—21
		"
10,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Up Smash
		","
		9...
		","
		-35
		","
		9—10/13—25 (rehit: 2)/26—27
		"
11,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Down Smash
		","
		13
		","
		-23
		","
		13—17
		"
12,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Neutral Air
		","
		10/13/16/19/22/25/28/31
		","
		-14/-13
		","
		10-11/13-14/16-17/19-20/22-23/25-26/28-29/31-32
		"
13,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Forward Air
		","
		15
		","
		-6/-6
		","
		15—17(18)
		"
14,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Back Air
		","
		8/12/16
		","
		-16/-15
		","
		8—9/12—13/16—17
		"
15,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Up Air
		","
		7/9
		","
		-10/-9
		","
		7—8/9—11
		"
16,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Down Air
		","
		15
		","
		-23
		","
		15—17(18—45)/1—2
		"
17,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Neutral B (Egg Firing)
		","
		13
		","
		-27
		","
		13—22(23—52/53—102)
		"
18,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Breegull Blaster
		","
		4(+28)
		","
		-13 — -14
		","
		4—6/7—9/10—15/16—18
		"
19,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Side B (Wonderwing)
		","
		18
		","
		-54
		","
		18—35(36—53)
		"
20,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Up B (Shock Spring Jump)
		","
		15
		","
		-20
		","
		**
		"
21,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Down B (Rear Egg)
		","
		10
		","
		-23
		","
		10—143/1
		"
22,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Grab
		","
		7
		","
		-23
		","
		7—8
		"
23,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Dash Grab
		","
		10
		","
		-23
		","
		10—11
		"
24,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Pivot Grab
		","
		11
		","
		-23
		","
		11—12
		"
25,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Pummel
		","
		1
		","
		-23
		","
		11—12
		"
26,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Forward Throw
		","
		9/11
		","
		-23
		","
		11—12
		"
27,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Backward Throw
		","
		36
		","
		-23
		","
		11—12
		"
28,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Up Throw
		","
		13/15
		","
		-23
		","
		11—12
		"
29,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Down Throw
		","
		34
		","
		-23
		","
		11—12
		"
30,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Spot Dodge
		","
		34
		","
		-23
		","
		11—12
		"
31,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Forward Roll
		","
		34
		","
		-23
		","
		11—12
		"
32,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Backward Roll
		","
		34
		","
		-23
		","
		11—12
		"
33,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Neutral Air Dodge
		","
		34
		","
		-23
		","
		11—12
		"
34,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Air Dodge, Down
		","
		34
		","
		-23
		","
		11—12
		"
35,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Air Dodge, Diagonally Down
		","
		34
		","
		-23
		","
		11—12
		"
36,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Air Dodge, Left/Right
		","
		34
		","
		-23
		","
		11—12
		"
37,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Air Dodge, Diagonally Up
		","
		34
		","
		-23
		","
		11—12
		"
38,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Air Dodge, Up
		","
		34
		","
		-23
		","
		11—12
		"
39,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
		Air Dodge, Up
		","
		34
		","
		-23
		","
		11—12
		"
40,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
			Ledge Grab
		","
		34
		","
		-23
		","
		11—12
		"
41,"<h1 class=""charactername"">
Banjo &amp; Kazooie
</h1>","
				Ledge Hang
			","
		34
		","
		-23
		","
		11—12
		"
