,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
bayonetta
</h1>","
		Jab 1
		","
		9
		","
		-19
		","
		9—12
		"
1,"<h1 class=""charactername"">
bayonetta
</h1>","
		Jab 2
		","
		7
		","
		-21
		","
		7—8
		"
2,"<h1 class=""charactername"">
bayonetta
</h1>","
		Jab 3
		","
		7
		","
		-29
		","
		7—8
		"
3,"<h1 class=""charactername"">
bayonetta
</h1>","
		Rapid Jab
		","
		6/10/14
		","
		**
		","
		**
		"
4,"<h1 class=""charactername"">
bayonetta
</h1>","
		Rapid Jab Finisher
		","
		4/11
		","
		-45
		","
		4—5/11—12
		"
5,"<h1 class=""charactername"">
bayonetta
</h1>","
		Forward Tilt 1
		","
		12
		","
		-15
		","
		12
		"
6,"<h1 class=""charactername"">
bayonetta
</h1>","
		Forward Tilt 2
		","
		12
		","
		-23
		","
		12
		"
7,"<h1 class=""charactername"">
bayonetta
</h1>","
		Forward Tilt 3
		","
		14
		","
		-21
		","
		14—15
		"
8,"<h1 class=""charactername"">
bayonetta
</h1>","
		Up Tilt
		","
		7/10/13
		","
		-19/-10
		","
		7—9(10—12)/13—15
		"
9,"<h1 class=""charactername"">
bayonetta
</h1>","
		Down Tilt
		","
		7
		","
		-15
		","
		7—8
		"
10,"<h1 class=""charactername"">
bayonetta
</h1>","
		Dash Attack
		","
		15
		","
		-17
		","
		15—20(21—26)
		"
11,"<h1 class=""charactername"">
bayonetta
</h1>","
		Forward Smash
		","
		17
		","
		-38/-39
		","
		17—21
		"
12,"<h1 class=""charactername"">
bayonetta
</h1>","
		Up Smash
		","
		18
		","
		-35
		","
		18—19(20—21/22—23)
		"
13,"<h1 class=""charactername"">
bayonetta
</h1>","
		Down Smash
		","
		20/25
		","
		-32
		","
		20—21/25(26—28)
		"
14,"<h1 class=""charactername"">
bayonetta
</h1>","
		Neutral Air
		","
		9
		","
		-6/-7/-16
		","
		9—17(18—25) (full extended 26—66)
		"
15,"<h1 class=""charactername"">
bayonetta
</h1>","
		Forward Air 1
		","
		7
		","
		-7
		","
		7—9
		"
16,"<h1 class=""charactername"">
bayonetta
</h1>","
		Forward Air 2
		","
		7
		","
		-8
		","
		7—9
		"
17,"<h1 class=""charactername"">
bayonetta
</h1>","
		Forward Air 3
		","
		12
		","
		-5
		","
		12—15
		"
18,"<h1 class=""charactername"">
bayonetta
</h1>","
		Back Air
		","
		11
		","
		-5/-6
		","
		11—14
		"
19,"<h1 class=""charactername"">
bayonetta
</h1>","
		Up Air
		","
		9
		","
		-5/-14
		","
		9—18 (full extended 21—65)
		"
20,"<h1 class=""charactername"">
bayonetta
</h1>","
		Down Air
		","
		18
		","
		-23
		","
		18—24(25—35)/1—2
		"
21,"<h1 class=""charactername"">
bayonetta
</h1>","
		Neutral B (Bullet Climax)
		","
		17/22/32/37
		","
		-32
		","
		17—26/22—31/32—41/37—46
		"
22,"<h1 class=""charactername"">
bayonetta
</h1>","
		Neutral B, Full Charge (Bullet Climax, Full Charge)
		","
		42/47/57/62
		","
		-29
		","
		**
		"
23,"<h1 class=""charactername"">
bayonetta
</h1>","
		Side B (Heel Slide)
		","
		15/51
		","
		-25/-26/-15
		","
		15—16/17—18/19—24/25—39 first // 1—11/20—24 second
		"
24,"<h1 class=""charactername"">
bayonetta
</h1>","
		After Burner Kick
		","
		7
		","
		-18
		","
		7-9/10-12/13-14/15-19
		"
25,"<h1 class=""charactername"">
bayonetta
</h1>","
		After Burner Kick, Down
		","
		8
		","
		-14/-33
		","
		8—25/1
		"
26,"<h1 class=""charactername"">
bayonetta
</h1>","
		Up B (Witch Twist)
		","
		6/11...
		","
		+0
		","
		6/11—25(rehit: 3)/27—28
		"
27,"<h1 class=""charactername"">
bayonetta
</h1>","
		Down B (Witch Time)
		","
		8 (start of counter)
		","
		--
		","
		8—27 (counter)
		"
28,"<h1 class=""charactername"">
bayonetta
</h1>","
		Grab
		","
		7
		","
		--
		","
		7—8
		"
29,"<h1 class=""charactername"">
bayonetta
</h1>","
		Dash Grab
		","
		10
		","
		--
		","
		10—11
		"
