,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
bowser
</h1>","
				Ledge Hang
			","
		34/43
		","
		141
		","
		11-19
		","
		Invulnerable on frame 3-21	
		","
		1.0/7.0
		","
		7—15
		","
		3—8
		","
		--
		","
		--
		","
		10—11
		"
1,"<h1 class=""charactername"">
bowser
</h1>","
		Jab 1
		","
		7
		","
		25
		","
		--
		","
		Transitions to Jab 2 as early as frame 10. Arm intangibility on frame 7-8
		","
		4.0
		","
		8
		","
		5
		","
		--
		","
		-13
		","
		7—8
		"
2,"<h1 class=""charactername"">
bowser
</h1>","
		Jab 2
		","
		9
		","
		25
		","
		--
		","
		Arm intangibility on frame 9-11
		","
		7.0
		","
		12
		","
		7
		","
		--
		","
		-9
		","
		9—11
		"
3,"<h1 class=""charactername"">
bowser
</h1>","
		Forward Tilt
		","
		10
		","
		37
		","
		--
		","
		Damage based heavy armor (4%) on frame 7-9. Arm intangibility on frame 10-14
		","
		13.0
		","
		9
		","
		12
		","
		--
		","
		-15
		","
		10—14
		"
4,"<h1 class=""charactername"">
bowser
</h1>","
		Up Tilt
		","
		11
		","
		40
		","
		--
		","
		Damage based heavy armor (4%) on frame 8-10. Arm intangibility on frame 11-16
		","
		11.0
		","
		8
		","
		10
		","
		--
		","
		-19
		","
		11—16
		"
5,"<h1 class=""charactername"">
bowser
</h1>","
		Down Tilt
		","
		10/15
		","
		45
		","
		--
		","
		Damage based heavy armor (4%) on frame 7-9. Arm intangibility on frame 10-12 and 15-17
		","
		7.0/8.0
		","
		7/7
		","
		-/8
		","
		--
		","
		-22
		","
		10—12/15—17
		"
6,"<h1 class=""charactername"">
bowser
</h1>","
		Dash Attack
		","
		11
		","
		55
		","
		--
		","
		--
		","
		12.0/10.0
		","
		9/8
		","
		11/10
		","
		Early/Late
		","
		-33
		","
		11—14/15—20
		"
7,"<h1 class=""charactername"">
bowser
</h1>","
		Forward Smash
		","
		22
		","
		69
		","
		--
		","
		Damage based heavy armor (10%) frame 17-19. Leg Invincible 20-25. Charge hold frame 3
		","
		23.0
		","
		14
		","
		15
		","
		--
		","
		-32
		","
		22—23
		"
8,"<h1 class=""charactername"">
bowser
</h1>","
		Up Smash
		","
		16/37
		","
		57
		","
		--
		","
		Damage based heavy armor (8%) frame 11-13 and 28-31. Invincible 14-27. Charge hold frame 9
		","
		22.0/16.0/12.0
		","
		13/10/9
		","
		14/11/8
		","
		Sweet/sour/landing hit
		","
		-27/-30/-12
		","
		16—23/37
		"
9,"<h1 class=""charactername"">
bowser
</h1>","
		Down Smash
		","
		12/28
		","
		72
		","
		--
		","
		Damage based heavy armor (8%) frame 5-11. Charge hold is frame 4
		","
		16.0/15.0
		","
		10/10
		","
		11/10
		","
		--
		","
		-49/-34
		","
		12—14/28—30
		"
10,"<h1 class=""charactername"">
bowser
</h1>","
		Neutral Air
		","
		8/14/18/**
		","
		47
		","
		15
		","
		Autocancels on frame 1-3 and 41 onward
		","
		6.0
		","
		6
		","
		3
		","
		--
		","
		-12
		","
		8—29/14—29/18—29/18—29
		"
11,"<h1 class=""charactername"">
bowser
</h1>","
		Forward Air
		","
		11
		","
		41
		","
		14
		","
		Autocancels on frame 1-3 and 31 onward
		","
		13.0/12.0
		","
		9/8
		","
		5/4
		","
		Far/close
		","
		-9/-10
		","
		11—14
		"
12,"<h1 class=""charactername"">
bowser
</h1>","
		Back Air
		","
		9
		","
		44
		","
		24
		","
		Autocancels on frame 1-2 and 31 onward
		","
		19.0
		","
		12
		","
		7
		","
		--
		","
		-17
		","
		9—11
		"
13,"<h1 class=""charactername"">
bowser
</h1>","
		Up Air
		","
		9
		","
		44
		","
		17
		","
		Head intangibility on frame 3-13. Autocancels on frame 1-2 and 40 onward
		","
		15.0
		","
		10
		","
		5
		","
		--
		","
		-12
		","
		9—13
		"
