,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Jab 1
		","
		4
		","
		-12
		","
		4—5
		"
1,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Jab 2
		","
		4
		","
		-22
		","
		4—5
		"
2,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Rapid Jab
		","
		4/7/10...
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Rapid Jab Finisher
		","
		6
		","
		-32
		","
		6—7
		"
4,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Forward Tilt
		","
		7
		","
		-18/-16
		","
		7—9
		"
5,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Up Tilt
		","
		7
		","
		-19
		","
		7—14
		"
6,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Down Tilt
		","
		4/12/23
		","
		-11
		","
		4—6/12—14/23—25
		"
7,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Dash Attack
		","
		8/11/14/17/20/25
		","
		-17
		","
		8/11/14/17/20/25—26
		"
8,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Forward Smash
		","
		18/21/24/27/30/35
		","
		-12
		","
		18/21/24/27/30/35—37
		"
9,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Up Smash
		","
		7/9/12/15/18/22
		","
		-26
		","
		7—8/9/12/15/18/22—23
		"
10,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Down Smash
		","
		15
		","
		-32
		","
		15—17
		"
11,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Neutral Air
		","
		7
		","
		-6/-7/-7/-5/-6/-6
		","
		7—8(9—13/14—19)
		"
12,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Forward Air
		","
		10
		","
		-11
		","
		10—13(14—17/18—23)/2
		"
13,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Back Air
		","
		12
		","
		-9/-10
		","
		12—13(14—18)
		"
14,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Up Air
		","
		6
		","
		-5
		","
		6—9(10—13)
		"
15,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Down Air
		","
		15...
		","
		-11
		","
		15—38 (rehit: 3) / 39
		"
16,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Neutral B (Clown Cannon)
		","
		37-97
		","
		-23 to -17
		","
		**
		"
17,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Side B (Clown Kart Dash)
		","
		23
		","
		--
		","
		**
		"
18,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Clown Kart Dash (spinout)
		","
		3
		","
		-40
		","
		3—14
		"
19,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Up B (Abandon Ship)
		","
		21/56
		","
		--
		","
		**
		"
20,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Abandon Ship (Hammer)
		","
		8/13
		","
		--
		","
		8—9/13—14
		"
21,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Down B (Mechakoopa)
		","
		--
		","
		--
		","
		**
		"
22,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Grab
		","
		11
		","
		--
		","
		11—13
		"
23,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Dash Grab
		","
		14
		","
		--
		","
		14—16
		"
24,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Pivot Grab
		","
		15
		","
		--
		","
		15—17
		"
25,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Pummel
		","
		1
		","
		--
		","
		15—17
		"
26,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Forward Throw
		","
		14/16
		","
		--
		","
		15—17
		"
27,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Backward Throw
		","
		24
		","
		--
		","
		15—17
		"
28,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Up Throw
		","
		18
		","
		--
		","
		15—17
		"
29,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Down Throw
		","
		16/50
		","
		--
		","
		15—17
		"
30,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Spot Dodge
		","
		16/50
		","
		--
		","
		15—17
		"
31,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Forward Roll
		","
		16/50
		","
		--
		","
		15—17
		"
32,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Backward Roll
		","
		16/50
		","
		--
		","
		15—17
		"
33,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Neutral Air Dodge
		","
		16/50
		","
		--
		","
		15—17
		"
34,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Abandon Ship Air Dodge
		","
		16/50
		","
		--
		","
		15—17
		"
35,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Air Dodge, Down
		","
		16/50
		","
		--
		","
		15—17
		"
36,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Air Dodge, Diagonally Down
		","
		16/50
		","
		--
		","
		15—17
		"
37,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Air Dodge, Left/Right
		","
		16/50
		","
		--
		","
		15—17
		"
38,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Air Dodge, Diagonally Up
		","
		16/50
		","
		--
		","
		15—17
		"
39,"<h1 class=""charactername"">
Bowser Jr
</h1>","
		Air Dodge, Up
		","
		16/50
		","
		--
		","
		15—17
		"
40,"<h1 class=""charactername"">
Bowser Jr
</h1>","
			Ledge Grab
		","
		16/50
		","
		--
		","
		15—17
		"
41,"<h1 class=""charactername"">
Bowser Jr
</h1>","
			Ledge Grab
		","
		16/50
		","
		--
		","
		15—17
		"
42,"<h1 class=""charactername"">
Bowser Jr
</h1>","
				Ledge Hang
			","
		16/50
		","
		--
		","
		15—17
		"
