,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Jab 1
		","
		3
		","
		17
		","
		--
		","
		Transition to Jab 2 as early as frame 5. 
		","
		1.5
		","
		7
		","
		3
		","
		--
		","
		-11
		","
		3
		"
1,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Jab 2
		","
		5
		","
		18
		","
		--
		","
		Transitions to Jab 3 or Rapid Jab as early as frame 8. 
		","
		1.5
		","
		5
		","
		3
		","
		--
		","
		-10
		","
		5
		"
2,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Jab 3
		","
		6
		","
		32
		","
		--
		","
		--
		","
		5.0
		","
		12
		","
		6
		","
		--
		","
		-20
		","
		6—7
		"
3,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Rapid Jab
		","
		5/7/9
		","
		--
		","
		--
		","
		--
		","
		0.6
		","
		4
		","
		-
		","
		--
		","
		--
		","
		**
		"
4,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Rapid Jab Finisher
		","
		6
		","
		49
		","
		--
		","
		--
		","
		3.0
		","
		10
		","
		4
		","
		--
		","
		-39
		","
		6—7
		"
5,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Forward Tilt
		","
		7
		","
		29
		","
		--
		","
		Damage and shieldstun increases by 1.0 when angled
		","
		8.0/9.0
		","
		7/7
		","
		8/9
		","
		Close/Far
		","
		-14/-13
		","
		7—10
		"
6,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Up Tilt
		","
		14
		","
		36
		","
		--
		","
		Right foot intangible frames 14-17.
		","
		11.0
		","
		8
		","
		10
		","
		--
		","
		-12
		","
		14—17
		"
7,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Down Tilt
		","
		11
		","
		34
		","
		--
		","
		--
		","
		10.0
		","
		8
		","
		10
		","
		--
		","
		-13
		","
		11—12
		"
8,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Dash Attack
		","
		7
		","
		34
		","
		--
		","
		--
		","
		10.0/6.0
		","
		10/8
		","
		17/11
		","
		Early/Late
		","
		-10
		","
		7—9(10—16)
		"
9,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Forward Smash
		","
		19
		","
		59
		","
		--
		","
		Charge hold is frame 11
		","
		19.0/20.0
		","
		12/12
		","
		13/13
		","
		No Angle/Angled
		","
		-27
		","
		19—22
		"
10,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Up Smash
		","
		22/28
		","
		45
		","
		--
		","
		Right foot is invincible frames 22-23, left foot invincible frames 28-29. Charge hold is frame 8.
		","
		7.0/12.0/14.0
		","
		7/9/10
		","
		6/8/10
		","
		close/far/second
		","
		-7
		","
		22(23)/28—29
		"
11,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Down Smash
		","
		19/29
		","
		48
		","
		--
		","
		Charge hold is frame 11
		","
		14.0/18.0
		","
		10/11
		","
		10/12
		","
		--
		","
		-19/-7
		","
		19—20/29—30
		"
12,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Neutral Air
		","
		7/13
		","
		39
		","
		7
		","
		Autocancels on frame 1-3 and 32 onward
		","
		4.0/6.0
		","
		5/6
		","
		3/3
		","
		--
		","
		-4/-4
		","
		7—8/13—15
		"
13,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Forward Air
		","
		14
		","
		45
		","
		18
		","
		Autocancels on frame 1-4 and 42 onward
		","
		22.0/3.0
		","
		17/5
		","
		7/2
		","
		Early/late
		","
		-11/-15
		","
		14(15—30)
		"
14,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Back Air
		","
		10
		","
		35
		","
		10
		","
		Autocancels on frame 1-4 and 19 onward
		","
		13.0/8.0
		","
		9/6
		","
		5/3
		","
		Early/Late
		","
		-5/-7
		","
		10—11(12—15)
		"
15,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Up Air
		","
		7
		","
		31
		","
		10
		","
		Autocancels on frame 24 onward
		","
		10.0/9.0/8.0
		","
		8/7/7
		","
		4/4/4
		","
		Close/Far/Late
		","
		-6/-6/-6
		","
		7—10(11—12)
		"
16,"<h1 class=""charactername"">
Captain Falcon
</h1>","
		Down Air
		","
		16
		","
		44
		","
		12
		","
		Autocancels on frame 1-3 and 39 onward
		","
		14.0
		","
		10
		","
		5
		","
		--
		","
		-7
		","
		16—18
		"
