,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Chrom
</h1>","
		Jab
		","
		5
		","
		22
		","
		--
		","
		--
		","
		6.5
		","
		9
		","
		7
		","
		--
		","
		-10
		","
		5—7
		"
1,"<h1 class=""charactername"">
Chrom
</h1>","
		Forward Tilt
		","
		8
		","
		33
		","
		--
		","
		--
		","
		10.9
		","
		8
		","
		10
		","
		--
		","
		-15
		","
		8—10
		"
2,"<h1 class=""charactername"">
Chrom
</h1>","
		Up Tilt
		","
		6
		","
		38
		","
		--
		","
		--
		","
		10.4
		","
		8
		","
		10
		","
		Early/Normal/Late
		","
		-22
		","
		6/7—8/9—11
		"
3,"<h1 class=""charactername"">
Chrom
</h1>","
		Down Tilt
		","
		7
		","
		21
		","
		--
		","
		--
		","
		9.0
		","
		7
		","
		9
		","
		--
		","
		-5
		","
		7—8
		"
4,"<h1 class=""charactername"">
Chrom
</h1>","
		Dash Attack
		","
		13
		","
		45
		","
		--
		","
		--
		","
		12.0
		","
		12
		","
		11
		","
		--
		","
		-21
		","
		13—16
		"
5,"<h1 class=""charactername"">
Chrom
</h1>","
		Forward Smash
		","
		13
		","
		53
		","
		--
		","
		Charge hold is frame 6
		","
		18.0
		","
		15
		","
		12
		","
		--
		","
		-28
		","
		13—14
		"
6,"<h1 class=""charactername"">
Chrom
</h1>","
		Up Smash
		","
		12/13/15/17/19/22
		","
		58
		","
		--
		","
		Forearm intangibility on frame 10-23. Charge hold is frame 4
		","
		1.0/2.0/10.0
		","
		5/4/9
		","
		2/-/7
		","
		First/multi/final
		","
		-29
		","
		12/13/15/17/19/22—23
		"
7,"<h1 class=""charactername"">
Chrom
</h1>","
		Down Smash
		","
		6/21
		","
		62
		","
		--
		","
		Charge hold is frame 3
		","
		12.3/14.2
		","
		9/10
		","
		9/10
		","
		--
		","
		-47/-31
		","
		6—7/21—22
		"
8,"<h1 class=""charactername"">
Chrom
</h1>","
		Neutral Air
		","
		6/15
		","
		45
		","
		9
		","
		Autocancels on frame 47 onward
		","
		4.7/6.6
		","
		6/6
		","
		3/3
		","
		--
		","
		-6/-6
		","
		6—7/15—21
		"
9,"<h1 class=""charactername"">
Chrom
</h1>","
		Forward Air
		","
		10
		","
		29
		","
		8
		","
		Autocancels on frame 31 onward
		","
		9.0
		","
		7
		","
		4
		","
		--
		","
		-4
		","
		10—12
		"
