,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
cloud
</h1>","
		Jab 1
		","
		4
		","
		29
		","
		--
		","
		Transitions to jab 2 as early as frame 8
		","
		2.5
		","
		7
		","
		4
		","
		--
		","
		-21
		","
		4—5
		"
1,"<h1 class=""charactername"">
cloud
</h1>","
		Jab 2
		","
		5
		","
		32
		","
		--
		","
		Transitions to jab 3 as early as frame 9
		","
		2.0
		","
		5
		","
		3
		","
		--
		","
		-24
		","
		5—6
		"
2,"<h1 class=""charactername"">
cloud
</h1>","
		Jab 3
		","
		6
		","
		37
		","
		--
		","
		--
		","
		3.5
		","
		10
		","
		4
		","
		--
		","
		-27
		","
		6—7
		"
3,"<h1 class=""charactername"">
cloud
</h1>","
		Forward Tilt
		","
		9
		","
		35
		","
		--
		","
		--
		","
		11.0
		","
		8
		","
		10
		","
		--
		","
		-16
		","
		9—10
		"
4,"<h1 class=""charactername"">
cloud
</h1>","
		Up Tilt
		","
		6
		","
		32
		","
		--
		","
		--
		","
		8.0
		","
		7
		","
		8
		","
		--
		","
		-18
		","
		6—9
		"
5,"<h1 class=""charactername"">
cloud
</h1>","
		Down Tilt
		","
		7
		","
		40
		","
		--
		","
		--
		","
		7.0
		","
		7
		","
		7
		","
		--
		","
		-26
		","
		7—8(9—17)
		"
6,"<h1 class=""charactername"">
cloud
</h1>","
		Dash Attack
		","
		9
		","
		45
		","
		--
		","
		--
		","
		11.0/8.0
		","
		8/7
		","
		10/8
		","
		Early/Late
		","
		-26
		","
		9—13(14—18)
		"
7,"<h1 class=""charactername"">
cloud
</h1>","
		Forward Smash
		","
		19/24/28
		","
		66
		","
		--
		","
		Charge hold is frame 5
		","
		3.0/2.0/(13.0/12.0)
		","
		7/7/(16/15)
		","
		3/3/(9/8)
		","
		First/Second/(Final Close/Far)
		","
		-29/-30
		","
		19/24/28
		"
8,"<h1 class=""charactername"">
cloud
</h1>","
		Up Smash
		","
		12
		","
		45
		","
		--
		","
		Charge hold is frame 5
		","
		13.0/8.0
		","
		10/7
		","
		9/6
		","
		--
		","
		-24
		","
		12(13—14/15—16)
		"
9,"<h1 class=""charactername"">
cloud
</h1>","
		Down Smash
		","
		8/21
		","
		49
		","
		--
		","
		Charge hold is frame 2
		","
		3.0/11.0
		","
		5/11
		","
		3/8
		","
		--
		","
		-38/-20
		","
		8—9/21—23
		"
10,"<h1 class=""charactername"">
cloud
</h1>","
		Neutral Air
		","
		5
		","
		38
		","
		9
		","
		Autocancels on frame 31 onward
		","
		8.0
		","
		7
		","
		4
		","
		--
		","
		-5
		","
		5—15
		"
11,"<h1 class=""charactername"">
cloud
</h1>","
		Forward Air
		","
		18
		","
		53
		","
		11
		","
		Autocancels on frame 1-2 and 43 onward
		","
		13.0/14.0/11.0
		","
		12/12/8
		","
		5/5/4
		","
		Early/Tipper/Late
		","
		-6/-6/-7
		","
		18—19(20—25)
		"
12,"<h1 class=""charactername"">
cloud
</h1>","
		Back Air
		","
		11
		","
		42
		","
		8
		","
		Autocancels on frame 1-4 and 37 onward
		","
		13.0
		","
		9
		","
		5
		","
		--
		","
		-3
		","
		11—12
		"
13,"<h1 class=""charactername"">
cloud
</h1>","
		Up Air
		","
		8
		","
		44
		","
		9
		","
		Autocancels on frame 32 onward
		","
		11.0/8.0
		","
		10/7
		","
		4/4
		","
		Early/Late
		","
		-5/-5
		","
		8—9(10—23)
		"
14,"<h1 class=""charactername"">
cloud
</h1>","
		Down Air
		","
		11
		","
		64
		","
		16
		","
		Autocancels on frame 1-4 and 46 onward
		","
		13.0/8.0
		","
		14/9
		","
		5/4
		","
		Early/Late
		","
		-11/-12
		","
		11—13(14—39)
		"
15,"<h1 class=""charactername"">
cloud
</h1>","
		Neutral B (Blade Beam)
		","
		18(18)
		","
		53(60)
		","
		--
		","
		--
		","
		8.0/6.0(6.4/4.8)
		","
		7/6(6/6)
		","
		3/3(3/3)
		","
		Ground Early/Late (Air Early/Late)
		","
		-25(-33)
		","
		18—35(36—68)
		"
16,"<h1 class=""charactername"">
cloud
</h1>","
		Limit Blade Beam
		","
		16 (1/7/13/19/25/28)
		","
		60
		","
		--
		","
		Invulnerable on frame 10-17
		","
		6.0/2.0/3.0 (Air: 4.8/1.6/2.4)
		","
		-/4/5
		","
		-/2/2
		","
		First/Multi/Final
		","
		-9
		","
		16—63 (1/7/13/19/25/28—29)
		"
17,"<h1 class=""charactername"">
cloud
</h1>","
		Side B, Hit 1 (Cross Slash, Hit 1)
		","
		10
		","
		40
		","
		--
		","
		Transitions to next slash as early as frame 10 if you hit
		","
		4.0
		","
		5
		","
		5
		","
		--
		","
		-25
		","
		10—11
		"
