,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
corrin
</h1>","
		Jab 1
		","
		5
		","
		-19/-18
		","
		5—6
		"
1,"<h1 class=""charactername"">
corrin
</h1>","
		Jab 2
		","
		4
		","
		-22
		","
		4—5
		"
2,"<h1 class=""charactername"">
corrin
</h1>","
		Jab 3
		","
		6
		","
		-20/-19
		","
		6—7
		"
3,"<h1 class=""charactername"">
corrin
</h1>","
		Rapid Jab
		","
		12/16/20...
		","
		**
		","
		**
		"
4,"<h1 class=""charactername"">
corrin
</h1>","
		Rapid Jab Finisher
		","
		3
		","
		-32
		","
		3—4
		"
5,"<h1 class=""charactername"">
corrin
</h1>","
		Forward Tilt
		","
		8
		","
		-16
		","
		8—9
		"
6,"<h1 class=""charactername"">
corrin
</h1>","
		Up Tilt
		","
		7
		","
		-19
		","
		7—8(9—16)
		"
7,"<h1 class=""charactername"">
corrin
</h1>","
		Down Tilt
		","
		5
		","
		-17
		","
		5—7
		"
8,"<h1 class=""charactername"">
corrin
</h1>","
		Dash Attack
		","
		12/14/16/18/20/23
		","
		-22
		","
		12/14/16/18/20/23
		"
9,"<h1 class=""charactername"">
corrin
</h1>","
		Forward Smash
		","
		12/17
		","
		-26/-26/-22
		","
		12—**/17—18
		"
10,"<h1 class=""charactername"">
corrin
</h1>","
		Up Smash
		","
		13
		","
		-31/-29/-28
		","
		13—17
		"
11,"<h1 class=""charactername"">
corrin
</h1>","
		Down Smash
		","
		13
		","
		-27/-28/-25
		","
		13—15
		"
12,"<h1 class=""charactername"">
corrin
</h1>","
		Neutral Air
		","
		6
		","
		-7/-7
		","
		6—7(8—19)
		"
13,"<h1 class=""charactername"">
corrin
</h1>","
		Forward Air
		","
		9
		","
		-4
		","
		9—12
		"
14,"<h1 class=""charactername"">
corrin
</h1>","
		Back Air
		","
		13
		","
		-8/-9
		","
		13(14—16)
		"
15,"<h1 class=""charactername"">
corrin
</h1>","
		Up Air
		","
		7
		","
		-5
		","
		7—12
		"
