,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Jab 1
		","
		4
		","
		25
		","
		--
		","
		Transitions to jab 2 as early as frame 8
		","
		2.0
		","
		7
		","
		3
		","
		--
		","
		-18
		","
		4—5
		"
1,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Jab 2
		","
		5
		","
		29
		","
		--
		","
		Transitions to jab 3 as early as frame 8. To rapid jab as early as 7
		","
		2.0
		","
		5
		","
		3
		","
		--
		","
		-21
		","
		5—6
		"
2,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Jab 3
		","
		3
		","
		31
		","
		--
		","
		--
		","
		4.0
		","
		11
		","
		5
		","
		--
		","
		-23
		","
		3
		"
3,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Rapid Jab
		","
		6/8/10...
		","
		--
		","
		--
		","
		--
		","
		0.5
		","
		4
		","
		3
		","
		--
		","
		--
		","
		6/8/10...
		"
4,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Rapid Jab Finisher
		","
		4
		","
		47
		","
		--
		","
		--
		","
		2.0
		","
		9
		","
		3
		","
		--
		","
		-40
		","
		4—5
		"
5,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Forward Tilt
		","
		10
		","
		39
		","
		--
		","
		--
		","
		7.0/10.0
		","
		7/10
		","
		7/10
		","
		Close/Far
		","
		-22/-19
		","
		10—14
		"
6,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Up Tilt
		","
		6/15
		","
		32
		","
		--
		","
		--
		","
		4.0/5.0
		","
		5/6
		","
		5/6
		","
		--
		","
		-23/-13
		","
		6—8/15—16
		"
7,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Down Tilt
		","
		6
		","
		25
		","
		--
		","
		--
		","
		6.0
		","
		6
		","
		6
		","
		--
		","
		-13
		","
		6—7
		"
8,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Dash Attack
		","
		7
		","
		38
		","
		--
		","
		--
		","
		11.0
		","
		8
		","
		14
		","
		--
		","
		-17
		","
		7—9
		"
9,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Forward Smash
		","
		10/21
		","
		54
		","
		--
		","
		Charge hold is frame 3
		","
		5.0/10.0
		","
		6/8
		","
		4/7
		","
		--
		","
		-26
		","
		10/21—22
		"
10,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Up Smash
		","
		6/7/10/18
		","
		51
		","
		--
		","
		Charge hold is frame 2
		","
		3.0/*/2.0/8.0
		","
		5/*/4/9
		","
		3/*/3/6
		","
		First/First Late/Second/Third
		","
		-27
		","
		6/7/10/18
		"
11,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Down Smash
		","
		5/18
		","
		40
		","
		--
		","
		Charge hold is frame 2
		","
		12.0/10.0
		","
		9/8
		","
		8/7
		","
		Close/Far
		","
		-27/-28/-14/-15
		","
		5—6/18—20
		"
12,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Neutral Air
		","
		4/7/10/13/16/19/22/25
		","
		54
		","
		14
		","
		Autocancels on frame 1-3 and 30 onward
		","
		0.7/4.5
		","
		4/10
		","
		2/3
		","
		Multi/Final
		","
		-12/-11
		","
		4—5/7—8/10—11/13—14/16—17/19—20/22—23/25
		"
13,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Forward Air
		","
		11/14/18
		","
		46
		","
		12
		","
		Autocancels on frame 28 onward
		","
		2.5/6.0
		","
		5/14
		","
		2/3
		","
		Multi/Final
		","
		-10/-9
		","
		11—12/14—15/18—19
		"
14,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Back Air
		","
		10
		","
		40
		","
		9
		","
		Autocancels on frame 28 onward
		","
		8.0/12.0
		","
		8/11
		","
		4/5
		","
		Close/Far
		","
		-5/-4
		","
		10—12
		"
15,"<h1 class=""charactername"">
Dark Pit
</h1>","
		Up Air
		","
		10/13/16/19/22
		","
		40
		","
		14
		","
		Autocancels on frame 1-4 and 37 onward
		","
		1.5/5.0
		","
		4/11
		","
		2/3
		","
		--
		","
		-12/-11
		","
		10—12/13—15/16—18/19—21/22—23
		"
