,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
diddy kong
</h1>","
		Jab 1
		","
		3
		","
		-13
		","
		3
		"
1,"<h1 class=""charactername"">
diddy kong
</h1>","
		Jab 2
		","
		5
		","
		-12
		","
		5
		"
2,"<h1 class=""charactername"">
diddy kong
</h1>","
		Jab 3
		","
		5
		","
		-24
		","
		5
		"
3,"<h1 class=""charactername"">
diddy kong
</h1>","
		Forward Tilt
		","
		10
		","
		-16
		","
		10—11(12/13—16)
		"
4,"<h1 class=""charactername"">
diddy kong
</h1>","
		Up Tilt
		","
		6
		","
		-17
		","
		6—11
		"
5,"<h1 class=""charactername"">
diddy kong
</h1>","
		Down Tilt
		","
		4
		","
		-8
		","
		4—5
		"
6,"<h1 class=""charactername"">
diddy kong
</h1>","
		Dash Attack
		","
		8/16/22
		","
		-14
		","
		8—9/16—17/22—23
		"
7,"<h1 class=""charactername"">
diddy kong
</h1>","
		Forward Smash
		","
		12/21
		","
		-21
		","
		12(13)/21—23
		"
8,"<h1 class=""charactername"">
diddy kong
</h1>","
		Up Smash
		","
		5/12/19
		","
		-29
		","
		5(6—8)/12—14(15)/19—23
		"
9,"<h1 class=""charactername"">
diddy kong
</h1>","
		Down Smash
		","
		7/12
		","
		-35/-28
		","
		7—8/12—13
		"
10,"<h1 class=""charactername"">
diddy kong
</h1>","
		Neutral Air
		","
		8
		","
		-5
		","
		8—20
		"
11,"<h1 class=""charactername"">
diddy kong
</h1>","
		Forward Air
		","
		6
		","
		-12/-12
		","
		6—9(10—16)
		"
12,"<h1 class=""charactername"">
diddy kong
</h1>","
		Back Air
		","
		5
		","
		-3
		","
		5—8
		"
13,"<h1 class=""charactername"">
diddy kong
</h1>","
		Up Air
		","
		4
		","
		-10
		","
		4—7
		"
14,"<h1 class=""charactername"">
diddy kong
</h1>","
		Down Air
		","
		15
		","
		-26 (-13 landing)
		","
		15—16
		"
15,"<h1 class=""charactername"">
diddy kong
</h1>","
		Neutral B (Peanut Popgun)
		","
		16/17—121/124
		","
		-25 to -17/-19 to -13
		","
		**
		"
16,"<h1 class=""charactername"">
diddy kong
</h1>","
		Peanut Popgun, Misfire
		","
		123
		","
		-85
		","
		**
		"
17,"<h1 class=""charactername"">
diddy kong
</h1>","
		Peanuts (Thrown)
		","
		--
		","
		--
		","
		--
		"
18,"<h1 class=""charactername"">
diddy kong
</h1>","
		Side B (Monkey Flip)
		","
		18
		","
		--
		","
		18—36
		"
19,"<h1 class=""charactername"">
diddy kong
</h1>","
		Monkey Flip, Attack
		","
		6
		","
		-5/-8
		","
		6—10(11—25)
		"
20,"<h1 class=""charactername"">
diddy kong
</h1>","
		Monkey Flip, Grab Success
		","
		11/29/59...
		","
		--
		","
		**
		"
21,"<h1 class=""charactername"">
diddy kong
</h1>","
		Monkey Flip, Grab Attack
		","
		18/21
		","
		--
		","
		**
		"
22,"<h1 class=""charactername"">
diddy kong
</h1>","
		Monkey Flip, Grab Jump
		","
		18/27
		","
		--
		","
		**
		"
23,"<h1 class=""charactername"">
diddy kong
</h1>","
		Up B (Rocketbarrel Boost)
		","
		8—68
		","
		--
		","
		8—9(10—16/17—35)
		"
24,"<h1 class=""charactername"">
diddy kong
</h1>","
		Rocketbarrel Boost, Explosion
		","
		1
		","
		-39 to -41
		","
		1—2
		"
25,"<h1 class=""charactername"">
diddy kong
</h1>","
		Down B (Banana Peel)
		","
		--
		","
		--
		","
		20 (banana appears)
		"
26,"<h1 class=""charactername"">
diddy kong
</h1>","
		Grab
		","
		7
		","
		--
		","
		7—8
		"
27,"<h1 class=""charactername"">
diddy kong
</h1>","
		Dash Grab
		","
		10
		","
		--
		","
		10—11
		"
28,"<h1 class=""charactername"">
diddy kong
</h1>","
		Pivot Grab
		","
		11
		","
		--
		","
		11—12
		"
29,"<h1 class=""charactername"">
diddy kong
</h1>","
		Pummel
		","
		1
		","
		--
		","
		11—12
		"
30,"<h1 class=""charactername"">
diddy kong
</h1>","
		Forward Throw
		","
		21
		","
		--
		","
		11—12
		"
31,"<h1 class=""charactername"">
diddy kong
</h1>","
		Backward Throw
		","
		18
		","
		--
		","
		11—12
		"
32,"<h1 class=""charactername"">
diddy kong
</h1>","
		Up Throw
		","
		17/19
		","
		--
		","
		11—12
		"
33,"<h1 class=""charactername"">
diddy kong
</h1>","
		Down Throw
		","
		22
		","
		--
		","
		11—12
		"
34,"<h1 class=""charactername"">
diddy kong
</h1>","
		Spot Dodge
		","
		22
		","
		--
		","
		11—12
		"
35,"<h1 class=""charactername"">
diddy kong
</h1>","
		Forward Roll
		","
		22
		","
		--
		","
		11—12
		"
36,"<h1 class=""charactername"">
diddy kong
</h1>","
		Backward Roll
		","
		22
		","
		--
		","
		11—12
		"
37,"<h1 class=""charactername"">
diddy kong
</h1>","
		Neutral Air Dodge
		","
		22
		","
		--
		","
		11—12
		"
38,"<h1 class=""charactername"">
diddy kong
</h1>","
		Air Dodge, Down
		","
		22
		","
		--
		","
		11—12
		"
39,"<h1 class=""charactername"">
diddy kong
</h1>","
		Air Dodge, Diagonally Down
		","
		22
		","
		--
		","
		11—12
		"
40,"<h1 class=""charactername"">
diddy kong
</h1>","
		Air Dodge, Left/Right
		","
		22
		","
		--
		","
		11—12
		"
41,"<h1 class=""charactername"">
diddy kong
</h1>","
		Air Dodge, Diagonally Up
		","
		22
		","
		--
		","
		11—12
		"
