,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
donkey kong
</h1>","
		Jab 1
		","
		5
		","
		24
		","
		--
		","
		Transitions to Jab 2 as early as frame 8. 
		","
		4.0
		","
		8
		","
		5
		","
		--
		","
		-14
		","
		5—6
		"
1,"<h1 class=""charactername"">
donkey kong
</h1>","
		Jab 2
		","
		5
		","
		34
		","
		--
		","
		--
		","
		6.0
		","
		11
		","
		6
		","
		--
		","
		-24
		","
		5—6
		"
2,"<h1 class=""charactername"">
donkey kong
</h1>","
		Forward Tilt
		","
		7
		","
		34
		","
		--
		","
		Arm intangibility on frame 6-9
		","
		8.0/9.0
		","
		7/7
		","
		8/9
		","
		No angle/angled
		","
		-19/-18
		","
		7—9
		"
3,"<h1 class=""charactername"">
donkey kong
</h1>","
		Up Tilt
		","
		5
		","
		38
		","
		--
		","
		Arm intangibility on frame 5-11
		","
		10.0
		","
		8
		","
		10
		","
		--
		","
		-23
		","
		5—11
		"
4,"<h1 class=""charactername"">
donkey kong
</h1>","
		Down Tilt
		","
		6
		","
		24
		","
		--
		","
		Arm intangibility on frame 5-7
		","
		6.0
		","
		6
		","
		6
		","
		--
		","
		-12
		","
		6—7
		"
5,"<h1 class=""charactername"">
donkey kong
</h1>","
		Dash Attack
		","
		9
		","
		34
		","
		--
		","
		--
		","
		12.0/9.0
		","
		11/9
		","
		11/9
		","
		Early/Late
		","
		-14
		","
		9—12/13—24
		"
6,"<h1 class=""charactername"">
donkey kong
</h1>","
		Forward Smash
		","
		22
		","
		54
		","
		--
		","
		Arm and head intangibility on frame 20-26. Charge hold is frame 14. Cannot rebound.
		","
		22.0/21.0
		","
		16
		","
		14
		","
		Far/Close
		","
		-18
		","
		22—23
		"
7,"<h1 class=""charactername"">
donkey kong
</h1>","
		Up Smash
		","
		14
		","
		49
		","
		--
		","
		Arm and head intangibility on frame 12-15. Charge hold is frame 6. Cannot rebound.
		","
		19.0
		","
		12
		","
		13
		","
		--
		","
		-22
		","
		14—15
		"
8,"<h1 class=""charactername"">
donkey kong
</h1>","
		Down Smash
		","
		11
		","
		55
		","
		--
		","
		Arm intangibility on frame 11-14. Charge hold is frame 2. Cannot rebound.
		","
		17.0
		","
		11
		","
		11
		","
		--
		","
		-33
		","
		11—12/13—14
		"
9,"<h1 class=""charactername"">
donkey kong
</h1>","
		Neutral Air
		","
		10
		","
		38
		","
		10
		","
		Autocancels on frame 1-9 and 27 onward
		","
		12.0/9.0
		","
		8/7
		","
		4/4
		","
		Early/Late
		","
		-6
		","
		10—13/14—26
		"
10,"<h1 class=""charactername"">
donkey kong
</h1>","
		Forward Air
		","
		18
		","
		55
		","
		17
		","
		Autocancels on frame 56 onward
		","
		16.0/15.0
		","
		10/15
		","
		6/5
		","
		Early/Meteor
		","
		-11/-12
		","
		18—20/21—23
		"
11,"<h1 class=""charactername"">
donkey kong
</h1>","
		Back Air
		","
		7
		","
		31
		","
		11
		","
		Autocancels on frame 1-6 and 31 onward
		","
		13.0/8.0
		","
		9/7
		","
		5/4
		","
		Early/Late
		","
		-6/-7
		","
		7—8/9—16
		"
12,"<h1 class=""charactername"">
donkey kong
</h1>","
		Up Air
		","
		6
		","
		37
		","
		15
		","
		Head intangibility on frame 5-10. Autocancels on frame 1-5 and 26 onward
		","
		13.0
		","
		9
		","
		5
		","
		--
		","
		-10
		","
		6—10
		"
13,"<h1 class=""charactername"">
donkey kong
</h1>","
		Down Air
		","
		14
		","
		54
		","
		14
		","
		Autocancels on frame 1-2 and 50 onward
		","
		16.0
		","
		10
		","
		6
		","
		--
		","
		-8
		","
		14—16
		"
14,"<h1 class=""charactername"">
donkey kong
</h1>","
		Neutral B (Giant Punch)
		","
		19(+7)
		","
		62
		","
		--
		","
		Entering charge window takes 7 frames. 4 to cancel with shield. Arm intangibility on frame 4-20. Cannot rebound.
		","
		10.0—27.0
		","
		8—14
		","
		10—22
		","
		--
		","
		-33 to -21
		","
		26—27 (19—20 after starting charge)
		"
15,"<h1 class=""charactername"">
donkey kong
</h1>","
		Giant Punch, Full Charge
		","
		19
		","
		47
		","
		--
		","
		Ground version has Super Armor frames 11-20. Air version has Super Armor frames 17-20. Takes 121 frames to reach full charge. Cannot rebound.
		","
		28.0
		","
		15
		","
		24
		","
		--
		","
		-4
		","
		19—20
		"
16,"<h1 class=""charactername"">
donkey kong
</h1>","
		Side B (Headbutt)
		","
		20
		","
		62
		","
		--
		","
		Super armor on frame 5-14 on the ground and in the air.
		","
		10.0
		","
		8
		","
		10
		","
		--
		","
		-32
		","
		20—21
		"
17,"<h1 class=""charactername"">
donkey kong
</h1>","
		Up B (Spinning Kong)
		","
		19/25/32/40/49/55/62
		","
		104
		","
		--
		","
		Super armor on frame 5-17. Arm intangibility on frame 19-24
		","
		5.0/1.3/4.0
		","
		6/4/11
		","
		6/3/5
		","
		First/multi/Final
		","
		-37
		","
		¯\_(ツ)_/¯ 
		"
