,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Jab 1
		","
		2
		","
		19
		","
		--
		","
		Transitions to Jab 2 as early as frame 5
		","
		2.9
		","
		9
		","
		4
		","
		--
		","
		-13
		","
		2—3
		"
1,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Jab 2
		","
		2
		","
		21
		","
		--
		","
		Transitions to Jab 3 as early as frame 6
		","
		1.7
		","
		5
		","
		3
		","
		--
		","
		-16
		","
		2—3
		"
2,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Jab 3
		","
		3
		","
		33
		","
		--
		","
		--
		","
		4.7
		","
		12
		","
		5
		","
		--
		","
		-25
		","
		3—4
		"
3,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Forward Tilt
		","
		5
		","
		25
		","
		--
		","
		--
		","
		10.5
		","
		7
		","
		8
		","
		--
		","
		-12
		","
		5—7
		"
4,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Up Tilt
		","
		5
		","
		29
		","
		--
		","
		--
		","
		7.4
		","
		7
		","
		7
		","
		--
		","
		-17
		","
		5—11
		"
5,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Down Tilt
		","
		5
		","
		27
		","
		--
		","
		--
		","
		8.2/5.8
		","
		7/6
		","
		8/6
		","
		Close/Far
		","
		-14/-16
		","
		5—7
		"
6,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Dash Attack
		","
		6
		","
		37
		","
		--
		","
		--
		","
		11.5/7.0
		","
		9/7
		","
		19/12
		","
		Early/Late
		","
		-12
		","
		6—9/10—25
		"
7,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Forward Smash
		","
		15
		","
		47
		","
		--
		","
		Charge hold is frame 5.
		","
		20.9/17.2
		","
		16/15
		","
		14/12
		","
		Close/Far
		","
		-18/-20
		","
		15—17
		"
8,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Up Smash
		","
		9
		","
		39
		","
		--
		","
		Head Invulnerability on frame 9-13. Charge hold is frame 6.
		","
		16.4
		","
		11
		","
		11
		","
		--
		","
		-19
		","
		9—13
		"
9,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Down Smash
		","
		5/14
		","
		43
		","
		--
		","
		Charge hold is frame 2.
		","
		11.7/14.1
		","
		9/10
		","
		8/10
		","
		First/Second
		","
		-30/-19
		","
		5—6/14
		"
10,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Neutral Air
		","
		3
		","
		45
		","
		7
		","
		Autocancels on frame 1-2 and 34 onward. Stronger the longer it's out (opposite of most ""sex kicks"").
		","
		5.9/11.7
		","
		6/8
		","
		3/4
		","
		Early/Late
		","
		-4/-3
		","
		3—10/11—27
		"
11,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Forward Air
		","
		16
		","
		59
		","
		17
		","
		Auto cancels on frame 1-2 and frame 43 onward.
		","
		11.7/17.6/10.5
		","
		11/9/*
		","
		6/5/*
		","
		Early/Clean/Late
		","
		-11/-12
		","
		16/17—20/21
		"
12,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Back Air
		","
		6
		","
		33
		","
		10
		","
		Auto cancels on frame 1-5 and frame 19 onward.
		","
		14.1/8.2
		","
		10/7
		","
		5/4
		","
		Early/Late
		","
		-5/-6
		","
		6—8/9—13
		"
13,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Up Air
		","
		4
		","
		30
		","
		8
		","
		Auto cancels on frame 17 onward.
		","
		10.2
		","
		8
		","
		4
		","
		--
		","
		-4
		","
		4—7
		"
14,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Down Air
		","
		16
		","
		44
		","
		13
		","
		Auto cancels on frame 1-5 and frame 35 onward.
		","
		14.1
		","
		10
		","
		5
		","
		--
		","
		-8
		","
		16—19
		"
15,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Neutral B (Megavitamin Pill)
		","
		17
		","
		49
		","
		--
		","
		--
		","
		5.8/4.7
		","
		6/6
		","
		3/3
		","
		Early/Late
		","
		-23
		","
		17—46/47—86
		"
16,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Side B (Super Sheet)
		","
		12
		","
		35
		","
		--
		","
		Reflects on frame 9-22.
		","
		8.2
		","
		7
		","
		8
		","
		--
		","
		-15
		","
		12—14
		"
17,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Up B (Super Jump Punch)
		","
		3/7/9/11/13/15/17
		","
		--
		","
		30
		","
		--
		","
		14.1 / 7.0
		","
		10/7
		","
		13/7
		","
		Early/Late
		","
		--
		","
		3—5/6—19
		"
18,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Down B (Dr. Tornado)
		","
		10/14/18/22/26/30/40
		","
		74
		","
		--
		","
		Armor on frame 5-9 but only on the ground.
		","
		1.8/3.5
		","
		4/11
		","
		3/4
		","
		Multi/Final
		","
		-30
		","
		10/14/18/22/26/30/40—41
		"
19,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Grab
		","
		6
		","
		34
		","
		--
		","
		--		
		","
		--
		","
		4/11
		","
		3/4
		","
		Multi/Final
		","
		-30
		","
		6—7
		"
20,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Dash Grab
		","
		9
		","
		42
		","
		--
		","
		--		
		","
		--
		","
		4/11
		","
		3/4
		","
		Multi/Final
		","
		-30
		","
		9—10
		"
21,"<h1 class=""charactername"">
Dr. Mario
</h1>","
		Pivot Grab
		","
		10
		","
		36
		","
		--
		","
		--		
		","
		--
		","
		4/11
		","
		3/4
		","
		Multi/Final
		","
		-30
		","
		10—11
		"
