,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Duck Hunt
</h1>","
		Jab 1
		","
		4
		","
		25
		","
		--
		","
		Transitions to jab 2 as early as frame 7.
		","
		1.5
		","
		7
		","
		3
		","
		--
		","
		-18
		","
		4
		"
1,"<h1 class=""charactername"">
Duck Hunt
</h1>","
		Jab 2
		","
		5
		","
		**
		","
		--
		","
		Transitions to jab 3 as early as frame 8 and rapid jab as early as frame 7
		","
		1.5
		","
		5
		","
		3
		","
		--
		","
		-19
		","
		5—6
		"
2,"<h1 class=""charactername"">
Duck Hunt
</h1>","
		Jab 3
		","
		6
		","
		33
		","
		--
		","
		--
		","
		5.0
		","
		12
		","
		6
		","
		--
		","
		-21
		","
		6—7
		"
3,"<h1 class=""charactername"">
Duck Hunt
</h1>","
		Rapid Jab
		","
		5/7/9/...
		","
		**
		","
		--
		","
		--
		","
		0.4
		","
		4
		","
		3
		","
		--
		","
		--
		","
		**
		"
4,"<h1 class=""charactername"">
Duck Hunt
</h1>","
		Rapid Jab Finisher
		","
		5
		","
		45
		","
		--
		","
		--
		","
		3.0
		","
		10
		","
		4
		","
		--
		","
		-36
		","
		5
		"
5,"<h1 class=""charactername"">
Duck Hunt
</h1>","
		Forward Tilt
		","
		8
		","
		31
		","
		--
		","
		--
		","
		8.0
		","
		7
		","
		8
		","
		--
		","
		-15
		","
		8—11
		"
6,"<h1 class=""charactername"">
Duck Hunt
</h1>","
		Up Tilt
		","
		7
		","
		27
		","
		--
		","
		--
		","
		7.0
		","
		7
		","
		7
		","
		--
		","
		-13
		","
		7—11
		"
7,"<h1 class=""charactername"">
Duck Hunt
</h1>","
		Down Tilt
		","
		6
		","
		27
		","
		--
		","
		--
		","
		8.0
		","
		7
		","
		8
		","
		--
		","
		-13
		","
		6—7
		"
8,"<h1 class=""charactername"">
Duck Hunt
</h1>","
		Dash Attack
		","
		10
		","
		43
		","
		--
		","
		--
		","
		10.0/7.0
		","
		8/7
		","
		10/7
		","
		Early/Late
		","
		-23
		","
		10—13(14—19)
		"
9,"<h1 class=""charactername"">
Duck Hunt
</h1>","
		Forward Smash
		","
		17/23/29
		","
		66
		","
		--
		","
		Charge hold is frame 5.
		","
		4.0/9.0
		","
		5/7
		","
		4/7
		","
		Multi/Final
		","
		-30
		","
		17—18/23—24/29—30
		"
