,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Falco
</h1>","
		Jab 1
		","
		2
		","
		22
		","
		--
		","
		Transitions to Jab 2 as early as frame 5.
		","
		1.5
		","
		7
		","
		3
		","
		--
		","
		-17
		","
		2
		"
1,"<h1 class=""charactername"">
Falco
</h1>","
		Jab 2
		","
		3
		","
		25
		","
		--
		","
		Transitions to Rapid Jab as early as frame 7.
		","
		1.5
		","
		7
		","
		3
		","
		--
		","
		-19
		","
		3—4
		"
2,"<h1 class=""charactername"">
Falco
</h1>","
		Rapid Jab
		","
		5/7/9/...
		","
		--
		","
		--
		","
		--
		","
		0.3
		","
		4
		","
		3
		","
		--
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
Falco
</h1>","
		Rapid Jab Finisher
		","
		5
		","
		40
		","
		--
		","
		--
		","
		3.0
		","
		10
		","
		4
		","
		--
		","
		-31
		","
		5—6
		"
4,"<h1 class=""charactername"">
Falco
</h1>","
		Forward Tilt
		","
		6
		","
		24
		","
		--
		","
		--
		","
		6.0
		","
		6
		","
		6
		","
		--
		","
		-12
		","
		6—8
		"
5,"<h1 class=""charactername"">
Falco
</h1>","
		Up Tilt
		","
		5/12
		","
		29
		","
		--
		","
		--
		","
		3.5/2.7/4.0
		","
		5/5/8
		","
		4/4/5
		","
		first (early/late)/second
		","
		-12
		","
		5(6—9)/12(13—18)
		"
6,"<h1 class=""charactername"">
Falco
</h1>","
		Down Tilt
		","
		8
		","
		29
		","
		--
		","
		--
		","
		13.0/12.0/10.5
		","
		9/9/8
		","
		12/11/10
		","
		Close/far/farthest
		","
		-9/-10/-11
		","
		8—10
		"
7,"<h1 class=""charactername"">
Falco
</h1>","
		Dash Attack
		","
		8
		","
		39
		","
		--
		","
		--
		","
		9.0/6.0
		","
		7/6
		","
		9/6
		","
		Early/Late
		","
		-22
		","
		8—11
		"
8,"<h1 class=""charactername"">
Falco
</h1>","
		Forward Smash
		","
		17
		","
		48
		","
		--
		","
		Charge hold is frame 9
		","
		16.0/12.0
		","
		10
		","
		11
		","
		Early/Late
		","
		-20
		","
		17—19(20)
		"
9,"<h1 class=""charactername"">
Falco
</h1>","
		Up Smash
		","
		7/13
		","
		49
		","
		--
		","
		Leg intangibility on frame 7-18. Charge hold is frame 3
		","
		4.0/13.0
		","
		5/12
		","
		4/9
		","
		--
		","
		-27
		","
		7(8—12)/13—20
		"
10,"<h1 class=""charactername"">
Falco
</h1>","
		Down Smash
		","
		8
		","
		46
		","
		--
		","
		Leg intangibility on frame 3-8. Charge hold is frame 1
		","
		15.0/12.0
		","
		10
		","
		10
		","
		Far/Close
		","
		-28
		","
		8—10
		"
11,"<h1 class=""charactername"">
Falco
</h1>","
		Neutral Air
		","
		3/6/10/17
		","
		46
		","
		9
		","
		Autocancels on frame 1-2 and 43
		","
		3.0/2.0/4.0
		","
		5/4/11
		","
		2/2/3
		","
		First/Multi/Final
		","
		-7/-6
		","
		3—5/6—9/10—13/17—18
		"
12,"<h1 class=""charactername"">
Falco
</h1>","
		Forward Air
		","
		7...
		","
		49
		","
		15
		","
		Landing hit on frame 1. Autocancels on frame 1-4 and 42 onward
		","
		1.0/4.0/3.0
		","
		4/14/10
		","
		2/3/4
		","
		Multi/Final/Landing
		","
		-10
		","
		7—25(rehit: 4)/26—27
		"
13,"<h1 class=""charactername"">
Falco
</h1>","
		Back Air
		","
		9
		","
		37
		","
		13
		","
		Autocancels on frame 1-3 and 20 onward
		","
		13.0/7.0
		","
		9/7
		","
		5/3
		","
		Early/Late
		","
		-8/-10
		","
		9—10(11—16)
		"
14,"<h1 class=""charactername"">
Falco
</h1>","
		Up Air
		","
		7
		","
		33
		","
		9
		","
		Autocancels on frame 1-3 and 23 onward
		","
		9.0
		","
		7
		","
		4
		","
		--
		","
		-5
		","
		7—11
		"
15,"<h1 class=""charactername"">
Falco
</h1>","
		Down Air
		","
		10
		","
		43
		","
		11
		","
		Autocancels on frame 1-3 and 30 onward
		","
		13.0/8.0
		","
		12/7
		","
		5/4
		","
		Early/late
		","
		-6/-7
		","
		10—14/15—24
		"
16,"<h1 class=""charactername"">
Falco
</h1>","
		Neutral B (Blaster)
		","
		8/7
		","
		41/38
		","
		--
		","
		Fire rate of one shot per 26 frames (23 frames in the air).
		","
		3.0
		","
		7
		","
		2
		","
		Ground/Air
		","
		-24/-22
		","
		8—34/7—33
		"
17,"<h1 class=""charactername"">
Falco
</h1>","
		Side B (Falco Phantasm)
		","
		13/18
		","
		55/66
		","
		16
		","
		A frame 18 hit is impossible unless unnaturally inside of an opponent. Endlag is 31 when blocked on the ground, and 24 from the air. At lowest possible altitude Falco does not suffer hitlag from this attack.
		","
		7.0
		","
		9/7
		","
		3/3
		","
		Ground/Air
		","
		-19/-14
		","
		(13—16/16—19)/(18—24)
		"
18,"<h1 class=""charactername"">
Falco
</h1>","
		Up B (Fire Bird)
		","
		20/22/24/26/28/30/32/43-46/47/49/51/53/55/57/59/61
		","
		85
		","
		18
		","
		Starts traveling on 44. That hit is the only one that deals 3 damage. Total frames assumes travel along the ground
		","
		2.0/3.0
		","
		4
		","
		3
		","
		--
		","
		-21
		","
		20/22/24/26/28/30/32/43-46/47/49/51/53/55/57/59/61
		"
19,"<h1 class=""charactername"">
Falco
</h1>","
		Down B (Reflector)
		","
		5
		","
		44
		","
		--
		","
		Reflects on frame 1-33
		","
		5.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		5—14
		"
20,"<h1 class=""charactername"">
Falco
</h1>","
		Grab
		","
		6
		","
		34
		","
		--
		","
		--		
		","
		--
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		6—7
		"
21,"<h1 class=""charactername"">
Falco
</h1>","
		Dash Grab
		","
		9
		","
		42
		","
		--
		","
		--		
		","
		--
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		9—10
		"
22,"<h1 class=""charactername"">
Falco
</h1>","
		Pivot Grab
		","
		10
		","
		37
		","
		--
		","
		--		
		","
		--
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
23,"<h1 class=""charactername"">
Falco
</h1>","
		Pummel
		","
		1
		","
		19
		","
		Total frames includes 13 frames of hitlag.
		","
		--		
		","
		1.3
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
24,"<h1 class=""charactername"">
Falco
</h1>","
		Forward Throw
		","
		10/12
		","
		33
		","
		--
		","
		--		
		","
		4.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
25,"<h1 class=""charactername"">
Falco
</h1>","
		Backward Throw
		","
		9
		","
		41
		","
		--
		","
		Victim thrown at 9. Shoots blaster on 18.		
		","
		6.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
26,"<h1 class=""charactername"">
Falco
</h1>","
		Up Throw
		","
		7
		","
		38
		","
		--
		","
		Victim thrown at 7. Shoots blaster on 18.		
		","
		4.0/4.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
27,"<h1 class=""charactername"">
Falco
</h1>","
		Down Throw
		","
		26/33
		","
		43
		","
		--
		","
		--		
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
28,"<h1 class=""charactername"">
Falco
</h1>","
		Spot Dodge
		","
		26/33
		","
		20/25
		","
		--
		","
		Invulnerable on frame 3-17.		
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
29,"<h1 class=""charactername"">
Falco
</h1>","
		Forward Roll
		","
		26/33
		","
		29
		","
		--
		","
		Invulnerable on frame 4-15.		
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
30,"<h1 class=""charactername"">
Falco
</h1>","
		Backward Roll
		","
		26/33
		","
		34
		","
		--
		","
		Invulnerable on frame 5-16.		
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
31,"<h1 class=""charactername"">
Falco
</h1>","
		Neutral Air Dodge
		","
		26/33
		","
		43
		","
		10
		","
		Invulnerable on frame 2-27.		
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
32,"<h1 class=""charactername"">
Falco
</h1>","
		Air Dodge, Down
		","
		26/33
		","
		61
		","
		11-19
		","
		Invulnerable on frame 2-20.		
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
33,"<h1 class=""charactername"">
Falco
</h1>","
		Air Dodge, Diagonally Down
		","
		26/33
		","
		67
		","
		11-19
		","
		Invulnerable on frame 2-20.	
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
34,"<h1 class=""charactername"">
Falco
</h1>","
		Air Dodge, Left/Right
		","
		26/33
		","
		73
		","
		11-19
		","
		Invulnerable on frame 2-20.		
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
35,"<h1 class=""charactername"">
Falco
</h1>","
		Air Dodge, Diagonally Up
		","
		26/33
		","
		85
		","
		11-19
		","
		Invulnerable on frame 2-20.		
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
36,"<h1 class=""charactername"">
Falco
</h1>","
		Air Dodge, Up
		","
		26/33
		","
		94
		","
		11-19
		","
		Invulnerable on frame 2-20.	
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
37,"<h1 class=""charactername"">
Falco
</h1>","
			Ledge Grab
		","
		26/33
		","
		94
		","
		11-19
		","
		Invulnerable on frame 2-20.	
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
38,"<h1 class=""charactername"">
Falco
</h1>","
			Ledge Grab
		","
		26/33
		","
		94
		","
		11-19
		","
		Invulnerable on frame 2-20.	
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
39,"<h1 class=""charactername"">
Falco
</h1>","
				Ledge Hang
			","
		26/33
		","
		94
		","
		11-19
		","
		Invulnerable on frame 2-20.	
		","
		2.0/3.0
		","
		9
		","
		6
		","
		--
		","
		-33
		","
		10—11
		"
