,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
fox
</h1>","
		Jab 1
		","
		2
		","
		17
		","
		--
		","
		Transitions to Jab 2 as early as frame 5.
		","
		1.8
		","
		8
		","
		3
		","
		--
		","
		-12
		","
		2
		"
1,"<h1 class=""charactername"">
fox
</h1>","
		Jab 2
		","
		2
		","
		20
		","
		--
		","
		Transitions to Rapid Jab as early as frame 6.
		","
		1.0
		","
		5
		","
		2
		","
		--
		","
		-16
		","
		2
		"
2,"<h1 class=""charactername"">
fox
</h1>","
		Rapid Jab
		","
		5/7/9/...
		","
		--
		","
		--
		","
		--
		","
		0.6
		","
		4
		","
		--
		","
		--
		","
		--
		","
		5/7/9...
		"
3,"<h1 class=""charactername"">
fox
</h1>","
		Rapid Jab Finisher
		","
		3
		","
		38
		","
		--
		","
		--
		","
		2.0
		","
		14
		","
		3
		","
		--
		","
		-32
		","
		3
		"
4,"<h1 class=""charactername"">
fox
</h1>","
		Forward Tilt
		","
		6
		","
		23
		","
		--
		","
		Deals 1.0 more damage when angled.
		","
		6.0/7.0
		","
		6/7
		","
		6/7
		","
		No Angle/Angled
		","
		-11/-10
		","
		6—8
		"
5,"<h1 class=""charactername"">
fox
</h1>","
		Up Tilt
		","
		3
		","
		27
		","
		--
		","
		--
		","
		6.0/8.0
		","
		6/7
		","
		6/8
		","
		Close/Far
		","
		-18/-16
		","
		3—5(6—7)
		"
6,"<h1 class=""charactername"">
fox
</h1>","
		Down Tilt
		","
		7
		","
		27
		","
		--
		","
		--
		","
		8.0/7.0
		","
		7/7
		","
		8/7
		","
		Close/far
		","
		-12/-13
		","
		7—8
		"
7,"<h1 class=""charactername"">
fox
</h1>","
		Dash Attack
		","
		4
		","
		31
		","
		--
		","
		--
		","
		6.0/4.0
		","
		7/6
		","
		10/7
		","
		Early/Late
		","
		-17
		","
		4—7(8—15)
		"
8,"<h1 class=""charactername"">
fox
</h1>","
		Forward Smash
		","
		13
		","
		45
		","
		--
		","
		Charge hold is frame 4
		","
		14.0
		","
		10
		","
		10
		","
		--
		","
		-22
		","
		13—14
		"
9,"<h1 class=""charactername"">
fox
</h1>","
		Up Smash
		","
		8
		","
		55
		","
		--
		","
		Charge hold is frame 2
		","
		16.0/11.0
		","
		10/8
		","
		11/8
		","
		Early/Late
		","
		-36
		","
		8—9/10—11
		"
10,"<h1 class=""charactername"">
fox
</h1>","
		Down Smash
		","
		6
		","
		52
		","
		--
		","
		Leg intangibility on frame 6-7. Charge hold is frame 2
		","
		14.0
		","
		10
		","
		10
		","
		--
		","
		-36
		","
		6—7
		"
11,"<h1 class=""charactername"">
fox
</h1>","
		Neutral Air
		","
		4
		","
		38
		","
		7
		","
		Autocancels on frame 1-3 and 32 onward
		","
		9.0/6.0
		","
		7/6
		","
		4/3
		","
		Early/Late
		","
		-3/-4
		","
		4—6/7—23
		"
12,"<h1 class=""charactername"">
fox
</h1>","
		Forward Air
		","
		7/11/16/21/26
		","
		43
		","
		18
		","
		Landing hit on frame 1. Autocancels on frame 46 onward
		","
		1.8/1.2/1.72.7/4.8/2.0
		","
		4/4/4/5/12/9
		","
		2/2/2/2/3/3
		","
		Last one is landing hitbox
		","
		-14
		","
		7—8/11—12/16—17/21—22/26—27
		"
13,"<h1 class=""charactername"">
fox
</h1>","
		Back Air
		","
		9
		","
		48
		","
		9
		","
		Autocancels on frame 1-6 and 18 onward
		","
		13.0
		","
		9
		","
		5
		","
		--
		","
		-4
		","
		9—11
		"
14,"<h1 class=""charactername"">
fox
</h1>","
		Up Air
		","
		9/12
		","
		35
		","
		13
		","
		Autocancels on frame 1-8 and 25 onward
		","
		5.0/10.0
		","
		6/8
		","
		3/4
		","
		First/Second
		","
		-10/-9
		","
		9—10/12—13
		"
15,"<h1 class=""charactername"">
fox
</h1>","
		Down Air
		","
		5/8/11/14/17/20/23
		","
		49
		","
		17
		","
		Landing hit on frame 1. Autocancels on frame 1-4 and 28 onward
		","
		1.4/3.0/1.0
		","
		4/10/8
		","
		2/2/2
		","
		Multi/final/landing
		","
		-14
		","
		5—6/8—9/11—12/14—15/17—18/20—21/23/**
		"
16,"<h1 class=""charactername"">
fox
</h1>","
		Neutral B (Blaster)
		","
		11/13/20, 9/11/18
		","
		36, 34
		","
		--
		","
		Fire rate is one shot per 10 frames.
		","
		3.0/2.0/1.4
		","
		5/4/4
		","
		2/2/2
		","
		Ground Early/Normal/Late, Air Early/Normal/Late
		","
		-18/-19/-19
		","
		11—12/13—19/20—32, 9—10/11—17/18—30
		"
17,"<h1 class=""charactername"">
fox
</h1>","
		Side B (Fox Illusion)
		","
		25/25
		","
		55/72
		","
		16
		","
		Fox does not suffer hitlag/shieldlag from this attack. Advantage assumes lowest altitude possible.
		","
		8.0/5.0
		","
		7/6
		","
		3/3
		","
		Ground/Air
		","
		-20/-28
		","
		25—29/25—29
		"
18,"<h1 class=""charactername"">
fox
</h1>","
		Up B (Fire Fox)
		","
		20/22/24/26/28/30/32/43/47
		","
		91
		","
		20
		","
		Total frames is when traveling along the ground.
		","
		1.7/16.0
		","
		4/10
		","
		3/14
		","
		Multi/Final
		","
		-34
		","
		20/22/24/26/28/30/32/43—46/47—72
		"
19,"<h1 class=""charactername"">
fox
</h1>","
		Down B (Reflector)
		","
		3
		","
		36
		","
		--
		","
		Invulnerable on frame 2-3 Reflects as early as frame 4.
		","
		2.0
		","
		7
		","
		3
		","
		--
		","
		-30
		","
		--
		"
20,"<h1 class=""charactername"">
fox
</h1>","
		Grab
		","
		6
		","
		36
		","
		--
		","
		--		
		","
		--
		","
		7
		","
		3
		","
		--
		","
		-30
		","
		6—7
		"
21,"<h1 class=""charactername"">
fox
</h1>","
		Dash Grab
		","
		10
		","
		44
		","
		--
		","
		--		
		","
		--
		","
		7
		","
		3
		","
		--
		","
		-30
		","
		10—11
		"
