,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
greninja
</h1>","
		Jab 1
		","
		3
		","
		21
		","
		--
		","
		Transitions to jab 2 as early as frame 6
		","
		2.0
		","
		8
		","
		3
		","
		--
		","
		-15
		","
		3
		"
1,"<h1 class=""charactername"">
greninja
</h1>","
		Jab 2
		","
		3
		","
		21
		","
		--
		","
		Transitions to jab 3 as early as frame 6
		","
		2.0
		","
		5
		","
		3
		","
		--
		","
		-15
		","
		3—4
		"
2,"<h1 class=""charactername"">
greninja
</h1>","
		Jab 3
		","
		5
		","
		35
		","
		--
		","
		--
		","
		3.0
		","
		10
		","
		4
		","
		--
		","
		-26
		","
		5—6
		"
3,"<h1 class=""charactername"">
greninja
</h1>","
		Rapid Jab
		","
		5/8/11/14...
		","
		**
		","
		--
		","
		--
		","
		0.5
		","
		4
		","
		3
		","
		--
		","
		--
		","
		**
		"
4,"<h1 class=""charactername"">
greninja
</h1>","
		Rapid Jab Finisher
		","
		4
		","
		47
		","
		--
		","
		--
		","
		2.0
		","
		9
		","
		3
		","
		--
		","
		-39
		","
		4—5
		"
5,"<h1 class=""charactername"">
greninja
</h1>","
		Forward Tilt
		","
		10
		","
		32
		","
		--
		","
		--
		","
		7.3/8.3
		","
		7/7
		","
		7/8
		","
		No Angle/Angled
		","
		-15/-14
		","
		10—12
		"
6,"<h1 class=""charactername"">
greninja
</h1>","
		Up Tilt
		","
		9
		","
		32
		","
		--
		","
		--
		","
		4.5
		","
		5
		","
		5
		","
		--
		","
		-18
		","
		9—12
		"
7,"<h1 class=""charactername"">
greninja
</h1>","
		Down Tilt
		","
		5
		","
		22
		","
		--
		","
		--
		","
		4.0
		","
		5
		","
		5
		","
		--
		","
		-12
		","
		5—6
		"
8,"<h1 class=""charactername"">
greninja
</h1>","
		Dash Attack
		","
		7
		","
		28
		","
		--
		","
		--
		","
		8.0
		","
		7
		","
		8
		","
		--
		","
		-13
		","
		7—11
		"
9,"<h1 class=""charactername"">
greninja
</h1>","
		Forward Smash
		","
		13
		","
		49
		","
		--
		","
		Charge hold is frame 7
		","
		14.0
		","
		10
		","
		10
		","
		--
		","
		-26
		","
		13—15
		"
