,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Ice Climbers
</h1>","
				Ledge Hang
			","
		35/37
		","
		95
		","
		11-19
		","
		Invulnerable on frame 4-22		
		","
		10.0/4.0
		","
		12/8
		","
		18/-
		","
		Fall/landing
		","
		--
		","
		12—14
		"
1,"<h1 class=""charactername"">
Ice Climbers
</h1>","
		Jab 1
		","
		4
		","
		27
		","
		--
		","
		Transitions to Jab 2 as early as frame 10.
		","
		2.0(1.5)
		","
		6(6)
		","
		3(3)
		","
		--
		","
		-20(-15)
		","
		4—5
		"
2,"<h1 class=""charactername"">
Ice Climbers
</h1>","
		Jab 2
		","
		4
		","
		29
		","
		--
		","
		--
		","
		3.5(2.6)
		","
		9(9)
		","
		4(4)
		","
		--
		","
		-21(-12)
		","
		4—5
		"
3,"<h1 class=""charactername"">
Ice Climbers
</h1>","
		Forward Tilt
		","
		9
		","
		29
		","
		--
		","
		--
		","
		9.0(6.7)
		","
		7(6)
		","
		9(7)
		","
		--
		","
		-14(-10)
		","
		9—10
		"
4,"<h1 class=""charactername"">
Ice Climbers
</h1>","
		Up Tilt
		","
		8/11/14/17/20/23/27
		","
		48
		","
		--
		","
		--
		","
		0.8/4.5(0.6/3.0)
		","
		4/11(4/10)
		","
		2/5(2/4)
		","
		--
		","
		-16(-7)
		","
		8—9/11—12/14—15/17—18/20—21/23—24/27
		"
5,"<h1 class=""charactername"">
Ice Climbers
</h1>","
		Down Tilt
		","
		8
		","
		30
		","
		--
		","
		--
		","
		6.0(4.5)
		","
		6(5)
		","
		6(5)
		","
		--
		","
		-16(-10)
		","
		8—11
		"
6,"<h1 class=""charactername"">
Ice Climbers
</h1>","
		Dash Attack
		","
		11
		","
		41
		","
		--
		","
		--
		","
		6.0(4.5)
		","
		6(5)
		","
		6(5)
		","
		--
		","
		-24(-18)
		","
		11—14
		"
7,"<h1 class=""charactername"">
Ice Climbers
</h1>","
		Forward Smash
		","
		11
		","
		46
		","
		--
		","
		Charge hold is frame 4
		","
		12.0(9.0)
		","
		9(7)
		","
		8(7)
		","
		--
		","
		-27(-22)
		","
		11—13
		"
8,"<h1 class=""charactername"">
Ice Climbers
</h1>","
		Up Smash
		","
		12
		","
		49
		","
		--
		","
		Charge hold is frame 7
		","
		11.0(8.2)
		","
		8(7)
		","
		8(6)
		","
		--
		","
		-29(-24)
		","
		12—17
		"
9,"<h1 class=""charactername"">
Ice Climbers
</h1>","
		Down Smash
		","
		9/16
		","
		40
		","
		--
		","
		Charge hold is frame 4
		","
		13.0(9.7)
		","
		9/8
		","
		9/7
		","
		--
		","
		-22/-17
		","
		9—11/16
		"
