,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
incineroar
</h1>","
		Jab 1
		","
		5
		","
		23
		","
		--
		","
		Transitions to jab 2 on frame 8
		","
		2.5
		","
		5
		","
		4
		","
		--
		","
		-14
		","
		5—6
		"
1,"<h1 class=""charactername"">
incineroar
</h1>","
		Jab 2
		","
		4
		","
		31
		","
		--
		","
		Transitions to jab 3 on frame 13
		","
		2.8
		","
		6
		","
		4
		","
		--
		","
		-23
		","
		4—5
		"
2,"<h1 class=""charactername"">
incineroar
</h1>","
		Jab 3
		","
		4
		","
		37
		","
		--
		","
		--
		","
		6.7
		","
		6
		","
		5
		","
		--
		","
		-28
		","
		4—5
		"
3,"<h1 class=""charactername"">
incineroar
</h1>","
		Forward Tilt
		","
		12
		","
		36
		","
		--
		","
		--
		","
		13.0
		","
		11
		","
		12
		","
		--
		","
		-12
		","
		12—14
		"
4,"<h1 class=""charactername"">
incineroar
</h1>","
		Up Tilt
		","
		6
		","
		34
		","
		--
		","
		Head intangibility on frame 6-11
		","
		9.0
		","
		7
		","
		9
		","
		--
		","
		-19
		","
		6—11
		"
5,"<h1 class=""charactername"">
incineroar
</h1>","
		Down Tilt
		","
		9
		","
		29
		","
		--
		","
		Leg intangibility on frame 8-12
		","
		9.0
		","
		7
		","
		9
		","
		--
		","
		-11
		","
		9—11
		"
6,"<h1 class=""charactername"">
incineroar
</h1>","
		Dash Attack
		","
		8
		","
		41
		","
		--
		","
		--
		","
		13.0/9.0
		","
		9/7
		","
		12/9
		","
		Early/Late
		","
		-21
		","
		8—11/12—15
		"
7,"<h1 class=""charactername"">
incineroar
</h1>","
		Forward Smash
		","
		16
		","
		51
		","
		--
		","
		Charge hold is frame 1
		","
		20.0/16.0
		","
		14/10
		","
		13/11
		","
		Close/Far
		","
		-22/-24
		","
		16—18
		"
8,"<h1 class=""charactername"">
incineroar
</h1>","
		Up Smash
		","
		13
		","
		47
		","
		--
		","
		Arm intangibility on frame 13-18. Charge hold is frame 5
		","
		17.0
		","
		10
		","
		11
		","
		--
		","
		-23
		","
		13—18
		"
9,"<h1 class=""charactername"">
incineroar
</h1>","
		Down Smash
		","
		18
		","
		57
		","
		--
		","
		Charge hold is frame 1
		","
		16.0
		","
		10
		","
		11
		","
		--
		","
		-28
		","
		18—20
		"
10,"<h1 class=""charactername"">
incineroar
</h1>","
		Neutral Air
		","
		5
		","
		41
		","
		11
		","
		Autocancels on frame 1-3 and 36 onward
		","
		13.0/7.0
		","
		9/7
		","
		5/3
		","
		Early/Late
		","
		-6/-8
		","
		5—6/7—25
		"
11,"<h1 class=""charactername"">
incineroar
</h1>","
		Forward Air
		","
		8
		","
		44
		","
		14
		","
		Autocancels on frame 1-6 and 46 onward
		","
		12.0/13.0/9.0/9.6
		","
		9/10
		","
		5/5
		","
		Close/Far
		","
		-9/-9
		","
		8—10(11—14)
		"
12,"<h1 class=""charactername"">
incineroar
</h1>","
		Back Air
		","
		7
		","
		41
		","
		11
		","
		Autocancels on frame 1-5 and 36 onward
		","
		11.0/13.0
		","
		8/10
		","
		4/5
		","
		Close/Far
		","
		-7/-6
		","
		7—10
		"
13,"<h1 class=""charactername"">
incineroar
</h1>","
		Up Air
		","
		7
		","
		31
		","
		8
		","
		Autocancels on frame 1-5 and 26 onward
		","
		8.0
		","
		7
		","
		4
		","
		--
		","
		-4
		","
		7—11
		"
14,"<h1 class=""charactername"">
incineroar
</h1>","
		Down Air
		","
		16
		","
		44
		","
		16
		","
		Autocancels on frame 1-3 and 45 onward
		","
		15.0/14.0/9.0/8.0
		","
		10/10/7
		","
		5/5/4
		","
		Meteor/Close/Late
		","
		-11/-11/-12
		","
		16—19/20—21
		"
15,"<h1 class=""charactername"">
incineroar
</h1>","
		Neutral B (Darkest Lariat)
		","
		5/15/23/37/50/56
		","
		84
		","
		--
		","
		On the ground: Invincible on frame 5-6, head/arm invincible on frame 7, and arm invincible on frame 7-57.
		","
		16.0—6.0
		","
		12—7
		","
		14—8
		","
		--
		","
		-65
		","
		5—10/15—16/23—30/37—44/50—51/56—57
		"
16,"<h1 class=""charactername"">
incineroar
</h1>","
		Side B (Alolan Whip, Grab)
		","
		16
		","
		57
		","
		--
		","
		Follow with: Lariat, Back Body Drop, or Chest Bounce. 
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		16—32(grab)
		"
17,"<h1 class=""charactername"">
incineroar
</h1>","
		Alolan Whip, Lariat Attack
		","
		7
		","
		47
		","
		--
		","
		Following a grab, successful window for a lariat is frame 43-47. Any later is a failure and results in Back Body Drop or Chest Bounce. Damage-based armor 1—58 (14.338% in 1v1, 11.99% base).
		","
		20.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		**
		"
18,"<h1 class=""charactername"">
incineroar
</h1>","
		Alolan Whip, Back Body Drop
		","
		8
		","
		42
		","
		--
		","
		You can hold the button to guarantee this particular attack. Damage-based armor 1—... (14.338% in 1v1, 11.99% base).
		","
		12.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		**
		"
19,"<h1 class=""charactername"">
incineroar
</h1>","
	Alolan Whip, Chest Bounce (Failure)
		","
		**
		","
		32
		","
		--
		","
		Damage-based armor 1—4 (14.338% in 1v1, 11.99% base).
		","
		4.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		**
		"
