,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
inkling
</h1>","
				Ledge Hang
			","
		20/21
		","
		93
		","
		11-19
		","
		Invulnerable on frame 5-21. Bat within on frame 1-4.		
		","
		3.0/5.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		11—12
		"
1,"<h1 class=""charactername"">
inkling
</h1>","
		Jab 1
		","
		3
		","
		19
		","
		--
		","
		**
		","
		2.0
		","
		7
		","
		3
		","
		--
		","
		-13
		","
		3—4
		"
2,"<h1 class=""charactername"">
inkling
</h1>","
		Jab 2
		","
		2
		","
		21
		","
		--
		","
		--
		","
		2.0
		","
		7
		","
		3
		","
		--
		","
		-16
		","
		2—3
		"
3,"<h1 class=""charactername"">
inkling
</h1>","
		Jab 3
		","
		4
		","
		29
		","
		--
		","
		--
		","
		3.5
		","
		10
		","
		4
		","
		--
		","
		-21
		","
		4—5
		"
4,"<h1 class=""charactername"">
inkling
</h1>","
		Rapid Jab
		","
		4/7/10...
		","
		--
		","
		--
		","
		Will not hit opponents when out of Ink
		","
		0.4
		","
		4
		","
		3
		","
		--
		","
		**
		","
		4/7/10...
		"
5,"<h1 class=""charactername"">
inkling
</h1>","
		Rapid Jab Finisher
		","
		6
		","
		48
		","
		--
		","
		Will not hit opponents when out of Ink
		","
		2.5
		","
		4
		","
		3
		","
		--
		","
		-38
		","
		6
		"
6,"<h1 class=""charactername"">
inkling
</h1>","
		Forward Tilt
		","
		8
		","
		34
		","
		--
		","
		--
		","
		9.0
		","
		7
		","
		9
		","
		--
		","
		-17
		","
		8—10
		"
7,"<h1 class=""charactername"">
inkling
</h1>","
		Up Tilt
		","
		7
		","
		29
		","
		--
		","
		--
		","
		6.0
		","
		6
		","
		6
		","
		--
		","
		-16
		","
		7—12
		"
8,"<h1 class=""charactername"">
inkling
</h1>","
		Down Tilt
		","
		5/12
		","
		31
		","
		--
		","
		--
		","
		3.0/6.0
		","
		5/6
		","
		4/6
		","
		--
		","
		-13
		","
		5—8/12—15
		"
9,"<h1 class=""charactername"">
inkling
</h1>","
		Dash Attack
		","
		8
		","
		35
		","
		--
		","
		--
		","
		8.0/6.0
		","
		7/6
		","
		11/9
		","
		--
		","
		-16
		","
		8—9/10—13
		"
10,"<h1 class=""charactername"">
inkling
</h1>","
		Forward Smash
		","
		16
		","
		51
		","
		--
		","
		Gets weaker when out of ink. Charge hold is frame 5
		","
		14.0/16.0
		","
		10/10
		","
		10/11
		","
		Close/Far
		","
		-25/-24
		","
		16—17
		"
11,"<h1 class=""charactername"">
inkling
</h1>","
		Up Smash
		","
		9/18
		","
		57
		","
		--
		","
		Gets weaker when out of ink. Charge hold is frame 3
		","
		4.0/15.0/10.0
		","
		5/10/8
		","
		4/10/7
		","
		First/Close/Far
		","
		-44/-29/-32
		","
		9—10/18—20
		"
