,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Jab 1
		","
		5
		","
		16
		","
		--
		","
		Transitions to Jab 2 as early as frame 7.
		","
		3.0
		","
		6
		","
		4
		","
		--
		","
		-7
		","
		5—6
		"
1,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Jab 2
		","
		5
		","
		19
		","
		--
		","
		--
		","
		3.0
		","
		9
		","
		4
		","
		--
		","
		-10
		","
		5—6
		"
2,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Forward Tilt
		","
		7
		","
		24
		","
		--
		","
		--
		","
		10.0
		","
		8
		","
		10
		","
		--
		","
		-7
		","
		7—10
		"
3,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Up Tilt
		","
		9
		","
		24
		","
		--
		","
		--
		","
		9.0/8.0
		","
		7/7
		","
		9/8
		","
		Early/Late
		","
		-6
		","
		9—10(11—13)
		"
4,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Down Tilt
		","
		10
		","
		30
		","
		--
		","
		--
		","
		10.0
		","
		8
		","
		10
		","
		--
		","
		-10
		","
		10—12
		"
5,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Dash Attack
		","
		5
		","
		39
		","
		--
		","
		--
		","
		12.0/8.0
		","
		9/7
		","
		11/8
		","
		Early/Late
		","
		-23
		","
		5—7(8—20)
		"
6,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Forward Smash
		","
		16
		","
		49
		","
		--
		","
		Charge hold is frame 4
		","
		16.0/14.0
		","
		10/10
		","
		11/10
		","
		Early/Late
		","
		-22
		","
		16—19(20—24)
		"
7,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Up Smash
		","
		16
		","
		45
		","
		--
		","
		Charge hold is frame 8
		","
		15.0
		","
		10
		","
		10
		","
		--
		","
		-19
		","
		16—19
		"
8,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Down Smash
		","
		14
		","
		48
		","
		--
		","
		Charge hold is frame 4
		","
		11.0
		","
		8
		","
		8
		","
		--
		","
		-26
		","
		14—16
		"
9,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Neutral Air
		","
		6
		","
		43
		","
		9
		","
		Autocancels on frame 1-3 and 40 onward
		","
		11.0/6.0
		","
		8/6
		","
		4/3
		","
		Early/Late
		","
		-5/-6
		","
		6—7(8—30)
		"
10,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Forward Air
		","
		8
		","
		36
		","
		9
		","
		Autocancels on frame 1-3 and 28 onward
		","
		9.0/6.0
		","
		7/6
		","
		4/3
		","
		Early/Late
		","
		-5/-6
		","
		8—9(10—20)
		"
11,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Back Air
		","
		10
		","
		37
		","
		11
		","
		Autocancels on frame 1-3 and 26 onward
		","
		13.0
		","
		11
		","
		5
		","
		--
		","
		-6
		","
		10—11
		"
12,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Up Air
		","
		9
		","
		39
		","
		9
		","
		Autocancels on frame 1-3 and 35 onward
		","
		9.0
		","
		7
		","
		4
		","
		--
		","
		-5
		","
		9—21
		"
13,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Down Air
		","
		7/10/13/16/19/22/25/28/31
		","
		52
		","
		12
		","
		Autocancels on frame 42 onward
		","
		1.5/2.0
		","
		4/10
		","
		2/2
		","
		Multi/Final
		","
		-13
		","
		7—8/10—11/13—14/16—17/19—20/22—23/25—26/28—29/31—32
		"
14,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Neutral B (Rollout)
		","
		~40/~60
		","
		--
		","
		--
		","
		Reaches full charge at about frame 60. Partial charge at about 40. Endlag on hit is 52 on level ground. Jigglypuff is helpless if she does not land or grab an edge after a hit, but she will pass through shields
		","
		10.0—20.0
		","
		9—12
		","
		11—18
		","
		--
		","
		**
		","
		**
		"
15,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Side B (Pound)
		","
		13
		","
		39
		","
		--
		","
		--
		","
		11.0
		","
		8
		","
		15
		","
		--
		","
		-11
		","
		13—28
		"
16,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Up B (Sing)
		","
		27/61/100
		","
		149
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		27—36/61—70/100—115
		"
17,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Down B (Rest)
		","
		2
		","
		209 (186 on hit)
		","
		--
		","
		Invulnerable on frame 1-27
		","
		20.0
		","
		12
		","
		18
		","
		--
		","
		-166
		","
		2—4
		"
18,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Grab
		","
		6
		","
		32
		","
		--
		","
		--		
		","
		--
		","
		12
		","
		18
		","
		--
		","
		-166
		","
		6—7
		"
19,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Dash Grab
		","
		9
		","
		39
		","
		--
		","
		--		
		","
		--
		","
		12
		","
		18
		","
		--
		","
		-166
		","
		9—10
		"
20,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Pivot Grab
		","
		10
		","
		34
		","
		--
		","
		--		
		","
		--
		","
		12
		","
		18
		","
		--
		","
		-166
		","
		10—11
		"
21,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Pummel
		","
		1
		","
		19
		","
		**
		","
		Total frames includes 13 frames of hitlag. Active 1—2.		
		","
		1.3
		","
		12
		","
		18
		","
		--
		","
		-166
		","
		10—11
		"
22,"<h1 class=""charactername"">
jigglypuff
</h1>","
		Forward Throw
		","
		10/12
		","
		35
		","
		--
		","
		--		
		","
		5.0/5.0
		","
		12
		","
		18
		","
		--
		","
		-166
		","
		10—11
		"
