,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
joker
</h1>","
				Ledge Hang
			","
		40
		","
		102
		","
		11-19
		","
		Invulnerable on frame 4-22
		","
		**
		","
		--
		","
		--
		","
		Front, Reverse
		","
		--
		","
		12—14
		"
1,"<h1 class=""charactername"">
joker
</h1>","
		Jab 1
		","
		4
		","
		23
		","
		--
		","
		Transitions to jab 2 on frame 7
		","
		2.0(2.7)
		","
		7/7
		","
		3/3
		","
		--
		","
		-16
		","
		4—5(4—5)
		"
2,"<h1 class=""charactername"">
joker
</h1>","
		Jab 2
		","
		3
		","
		23
		","
		--
		","
		Transitions to jab 3 on frame 11
		","
		1.5(2.2)
		","
		7/7
		","
		3/3
		","
		--
		","
		-17
		","
		3—4(3—4)
		"
3,"<h1 class=""charactername"">
joker
</h1>","
		Jab 3
		","
		3
		","
		34
		","
		--
		","
		--
		","
		4.0(7.1)
		","
		9/10
		","
		5/5
		","
		--
		","
		-26
		","
		3—4(3—4)
		"
4,"<h1 class=""charactername"">
joker
</h1>","
		Forward Tilt
		","
		8/13
		","
		34
		","
		--
		","
		Down-angled Forward Tilt does the most knockback of the three angles. 
		","
		3.0/5.0(3.0/10.0)
		","
		5/6 // 5/10
		","
		4/6 // 4/10
		","
		--
		","
		**/-15(**/-11)
		","
		8—9/13—15(8—9/13—19)
		"
5,"<h1 class=""charactername"">
joker
</h1>","
		Up Tilt
		","
		8/11/14/17/20
		","
		40
		","
		--
		","
		Rehit rate: 3
		","
		4.0/1.0/1.0 (4.0/1.7/3.9)
		","
		5/4/4 // 5/4/9
		","
		5/2/2 // 5/*/5
		","
		First/Multi/Final
		","
		-27
		","
		8/9(11—19) [Final Hit: 20—23(20—23)]
		"
6,"<h1 class=""charactername"">
joker
</h1>","
		Down Tilt
		","
		8
		","
		37
		","
		--
		","
		--
		","
		6.0(13.0)
		","
		6/10
		","
		6/10
		","
		--
		","
		-22(-19)
		","
		8—9/10—11/12—14(8—9/10—11/12—14)
		"
7,"<h1 class=""charactername"">
joker
</h1>","
		Dash Attack
		","
		6/15
		","
		45
		","
		--
		","
		--
		","
		2.0/6.0 (2.0/12.0)
		","
		4/6 // 4/10
		","
		3/6 // 3/7
		","
		--
		","
		**/-23
		","
		6—7/15—21(--/15—21)
		"
8,"<h1 class=""charactername"">
joker
</h1>","
		Forward Smash
		","
		16
		","
		47
		","
		--
		","
		Charge hold is frame 5
		","
		14.0(22.0)
		","
		10/11
		","
		10/12
		","
		--
		","
		-21
		","
		16—18(16—19)
		"
9,"<h1 class=""charactername"">
joker
</h1>","
		Up Smash
		","
		10
		","
		51
		","
		--
		","
		Charge hold is frame 4
		","
		12.0(17.0)
		","
		9/12
		","
		8/10
		","
		--
		","
		-32(-30)
		","
		10—14(10—14)
		"
10,"<h1 class=""charactername"">
joker
</h1>","
		Down Smash
		","
		12/16
		","
		51
		","
		--
		","
		Charge hold is frame 5
		","
		12.0(18.0)
		","
		9/11
		","
		8/9
		","
		--
		","
		-24/-20(--/-18)
		","
		12—13/16—17(12—13/16—17)
		"
11,"<h1 class=""charactername"">
joker
</h1>","
		Neutral Air
		","
		12
		","
		54
		","
		8
		","
		Arsene version has a separate hit covering Joker's back. Autocancels on frame 1-4 and 48 onward
		","
		7.0/—(7.0/4.0)
		","
		7 // 7/5
		","
		3 // 3/3
		","
		front/back
		","
		-5
		","
		12—27(12—27)
		"
12,"<h1 class=""charactername"">
joker
</h1>","
		Forward Air
		","
		7/12
		","
		47
		","
		12
		","
		Autocancels on frame 1-3 and 42 onward
		","
		2.0/5.0(2.0/13.0)
		","
		4/6 // 4/11
		","
		2/3 // 2/4
		","
		--
		","
		-10/-9
		","
		7—8/12—14(--/12—14)
		"
