,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
king dedede
</h1>","
		Jab 1
		","
		10
		","
		32
		","
		--
		","
		Transitions to Jab 2 as early as frame 13  
		","
		2.5
		","
		7
		","
		4
		","
		--
		","
		-18
		","
		10—11
		"
1,"<h1 class=""charactername"">
king dedede
</h1>","
		Jab 2
		","
		11
		","
		27
		","
		--
		","
		Transitions to Rapid jab as early as frame 22
		","
		2.2
		","
		7
		","
		3
		","
		--
		","
		-13
		","
		23—24
		"
2,"<h1 class=""charactername"">
king dedede
</h1>","
		Rapid Jab
		","
		5/8/11...
		","
		--
		","
		--
		","
		--
		","
		0.5
		","
		4
		","
		3
		","
		--
		","
		--
		","
		34—**
		"
3,"<h1 class=""charactername"">
king dedede
</h1>","
		Rapid Jab Finisher 
		","
		4
		","
		49
		","
		--
		","
		--
		","
		3.0
		","
		10
		","
		4
		","
		--
		","
		-41
		","
		**
		"
4,"<h1 class=""charactername"">
king dedede
</h1>","
		Forward Tilt
		","
		12/16/20/23
		","
		48
		","
		--
		","
		--
		","
		2.0/3.0
		","
		4/10
		","
		3/4
		","
		Multi/Final
		","
		-21
		","
		12—21/23
		"
5,"<h1 class=""charactername"">
king dedede
</h1>","
		Up Tilt
		","
		7
		","
		38
		","
		--
		","
		Head intangible on frame 7-13.
		","
		10.0/8.0
		","
		8/7
		","
		10/8
		","
		Close/Far
		","
		-21/-23
		","
		7—13
		"
6,"<h1 class=""charactername"">
king dedede
</h1>","
		Down Tilt
		","
		6
		","
		37
		","
		--
		","
		Clanks with projectiles doing less than 26.8% damage.
		","
		10.0/6.0
		","
		8/6
		","
		10/6
		","
		Early/Late
		","
		-21
		","
		6—7(8—11)
		"
7,"<h1 class=""charactername"">
king dedede
</h1>","
		Dash Attack
		","
		26
		","
		66
		","
		--
		","
		--
		","
		16.0/13.0
		","
		13/9
		","
		14/12
		","
		Early/Late
		","
		-26
		","
		26—27(28—41)
		"
8,"<h1 class=""charactername"">
king dedede
</h1>","
		Forward Smash
		","
		40
		","
		77
		","
		--
		","
		This attack hits directly above Dedede only on frame 40. Hammer comes down on 43. Shockwave on 44. Charge hold is frame 33. Multiple hitboxes: an aerial only hitbox that does 0%, sweetspot near tip of hammer, weak hit near Dedede.
		","
		16.0/18.5/25.0/11.0
		","
		?/12/14/8
		","
		?/-/16/8
		","
		Early/close/far/Shockwave
		","
		?/-/-18/-25
		","
		40
		"
9,"<h1 class=""charactername"">
king dedede
</h1>","
		Up Smash
		","
		17
		","
		67
		","
		--
		","
		Charge hold is frame 6
		","
		16.0
		","
		10
		","
		11
		","
		--
		","
		-39
		","
		17—24
		"
10,"<h1 class=""charactername"">
king dedede
</h1>","
		Down Smash
		","
		12/20
		","
		52
		","
		--
		","
		Charge hold is frame 3
		","
		13.0
		","
		9
		","
		9
		","
		--
		","
		-31/-23
		","
		14—22
		"
11,"<h1 class=""charactername"">
king dedede
</h1>","
		Neutral Air
		","
		7
		","
		39
		","
		9
		","
		Autocancels on frame 1-2 and 35 onward
		","
		12.0/7.0
		","
		9/7
		","
		5/3
		","
		Early/Late
		","
		-4/-6
		","
		7—8(9—29)
		"
12,"<h1 class=""charactername"">
king dedede
</h1>","
		Forward Air
		","
		13
		","
		41
		","
		18
		","
		Autocancels on frame 1-4 and 40 onward
		","
		12.0
		","
		9
		","
		5
		","
		--
		","
		-13
		","
		13—15
		"
13,"<h1 class=""charactername"">
king dedede
</h1>","
		Back Air
		","
		17
		","
		37
		","
		13
		","
		Autocancels on frame 1-4 and 33 onward
		","
		16.0
		","
		13
		","
		6
		","
		--
		","
		-8
		","
		17—19
		"
14,"<h1 class=""charactername"">
king dedede
</h1>","
		Up Air
		","
		10/12/14/16/18/20/22/24
		","
		44
		","
		13
		","
		Autocancels on frame 1-4 and 42 onward
		","
		1.0/5.0
		","
		4/12
		","
		-/3
		","
		Multi/Final
		","
		-10
		","
		10/12/14/16/18/20/22/24—25
		"
15,"<h1 class=""charactername"">
king dedede
</h1>","
		Down Air
		","
		22
		","
		47
		","
		18
		","
		Autocancels on frame 1-6 and 44 onward
		","
		15.0/8.0
		","
		15/7
		","
		5/4
		","
		Meteor/Late
		","
		-13/-14
		","
		22—23
		"
16,"<h1 class=""charactername"">
king dedede
</h1>","
		Neutral B (Inhale)
		","
		14
		","
		74
		","
		--
		","
		Startup and total frames refer to minimum usage. 19 endlag after extended usage. Can inhale projectiles starting on frame 14 and involuntarily spit them back
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		17—**
		"
17,"<h1 class=""charactername"">
king dedede
</h1>","
		Inhale, Spit
		","
		6
		","
		29
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		**
		"
18,"<h1 class=""charactername"">
king dedede
</h1>","
		Side B (Gordo Throw)
		","
		29
		","
		60
		","
		--
		","
		--
		","
		10.0/9.5—14.0
		","
		8/12—15/15
		","
		10/4—5/14
		","
		Hammer/gordo/both
		","
		-21/-11/-17
		","
		29(5—146)
		"
19,"<h1 class=""charactername"">
king dedede
</h1>","
		Up B (Super Dedede Jump)
		","
		69
		","
		--
		","
		60/30
		","
		Cancelling incurs 30 frames landing lag. Invulnerable on frame 18-21. Super Armor (infinite %) on frames 22-34 and then 69-76. Leg intangibility frame 69-landing. Landing hitbox on frame 3—4. Stars on frame 5—24. Hitbox 69—landing. 
		","
		15.0/12.0/5.0
		","
		10/9/6
		","
		14/-/3
		","
		Falling/landing/stars
		","
		-46
		","
		69/4—5/6—20
		"
20,"<h1 class=""charactername"">
king dedede
</h1>","
		Down B (Jet Hammer, Partial Charge)
		","
		10(+17)
		","
		59
		","
		--
		","
		10 startup from release. 17 to enter charge state. 136 frames to reach full charge. Heavy armor (14%) on frame 1-14 from release but only on ground version.
		","
		11.0—29.8 
		","
		8—15
		","
		10—25
		","
		--
		","
		-39 to -24
		","
		27—29
		"
21,"<h1 class=""charactername"">
king dedede
</h1>","
		Down B, Full Charge (Jet Hammer, Full Charge)
		","
		10
		","
		69
		","
		--
		","
		Heavy armor on frame 1-14 from release but only on ground version.
		","
		40.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		10—11
		"
22,"<h1 class=""charactername"">
king dedede
</h1>","
		Grab
		","
		8
		","
		39
		","
		--
		","
		--		
		","
		--
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		8—10
		"
23,"<h1 class=""charactername"">
king dedede
</h1>","
		Dash Grab
		","
		11
		","
		47
		","
		--
		","
		--		
		","
		--
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		11—13
		"
24,"<h1 class=""charactername"">
king dedede
</h1>","
		Pivot Grab
		","
		12
		","
		42
		","
		--
		","
		--		
		","
		--
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
25,"<h1 class=""charactername"">
king dedede
</h1>","
		Pummel
		","
		2
		","
		21
		","
		--
		","
		Total frames includes 14 frames of hitlag
		","
		1.6
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
26,"<h1 class=""charactername"">
king dedede
</h1>","
		Forward Throw
		","
		14
		","
		37
		","
		--
		","
		Hit is 12/13, throw is 14
		","
		4.0/6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
27,"<h1 class=""charactername"">
king dedede
</h1>","
		Backward Throw
		","
		19
		","
		41
		","
		--
		","
		Hit is 16—18, throw is 19
		","
		4.0/9.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
28,"<h1 class=""charactername"">
king dedede
</h1>","
		Up Throw
		","
		19
		","
		39
		","
		--
		","
		Hit is 16—18, throw is 19		
		","
		4.0/5.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
29,"<h1 class=""charactername"">
king dedede
</h1>","
		Down Throw
		","
		26
		","
		41
		","
		--
		","
		--		
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
30,"<h1 class=""charactername"">
king dedede
</h1>","
		Spot Dodge
		","
		26
		","
		23/28
		","
		--
		","
		Invulnerable on frame 3-18
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
31,"<h1 class=""charactername"">
king dedede
</h1>","
		Forward Roll
		","
		26
		","
		32
		","
		--
		","
		Invulnerable on frame 4-16
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
32,"<h1 class=""charactername"">
king dedede
</h1>","
		Backward Roll
		","
		26
		","
		37
		","
		--
		","
		Invulnerable on frame 5-17
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
33,"<h1 class=""charactername"">
king dedede
</h1>","
		Neutral Air Dodge
		","
		26
		","
		43
		","
		10
		","
		Invulnerable on frame 4-32
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
34,"<h1 class=""charactername"">
king dedede
</h1>","
		Air Dodge, Down
		","
		26
		","
		58
		","
		11-19
		","
		Invulnerable on frame 4-23		
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
35,"<h1 class=""charactername"">
king dedede
</h1>","
		Air Dodge, Diagonally Down
		","
		26
		","
		66
		","
		11-19
		","
		Invulnerable on frame 4-23	
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
36,"<h1 class=""charactername"">
king dedede
</h1>","
		Air Dodge, Left/Right
		","
		26
		","
		72
		","
		11-19
		","
		Invulnerable on frame 4-23
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
37,"<h1 class=""charactername"">
king dedede
</h1>","
		Air Dodge, Diagonally Up
		","
		26
		","
		86
		","
		11-19
		","
		Invulnerable on frame 4-23
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
38,"<h1 class=""charactername"">
king dedede
</h1>","
		Air Dodge, Up
		","
		26
		","
		96
		","
		11-19
		","
		Invulnerable on frame 4-23
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
39,"<h1 class=""charactername"">
king dedede
</h1>","
			Ledge Grab
		","
		26
		","
		96
		","
		11-19
		","
		Invulnerable on frame 4-23
		","
		6.0
		","
		16
		","
		34
		","
		--
		","
		-26
		","
		12—14
		"
