,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
king k. rool
</h1>","
				Ledge Hang
			","
		33
		","
		104
		","
		11-19
		","
		Invulnerable on frame 3-21.	
		","
		8.0
		","
		**
		","
		**
		","
		--
		","
		**
		","
		14—15
		"
1,"<h1 class=""charactername"">
king k. rool
</h1>","
		Jab 1
		","
		4
		","
		24
		","
		--
		","
		--
		","
		2.5
		","
		9
		","
		4
		","
		--
		","
		-16
		","
		4—5
		"
2,"<h1 class=""charactername"">
king k. rool
</h1>","
		Jab 2
		","
		3
		","
		27
		","
		--
		","
		--
		","
		2.5
		","
		6
		","
		4
		","
		--
		","
		-20
		","
		3—4
		"
3,"<h1 class=""charactername"">
king k. rool
</h1>","
		Jab 3
		","
		5
		","
		33
		","
		--
		","
		--
		","
		7.0
		","
		13
		","
		7
		","
		--
		","
		-21
		","
		5—8
		"
4,"<h1 class=""charactername"">
king k. rool
</h1>","
		Forward Tilt
		","
		12
		","
		42
		","
		--
		","
		Belly armor on frame 5-11
		","
		11.0/13.0
		","
		12/13
		","
		10/12
		","
		Close/Far
		","
		-20/-18
		","
		12—13
		"
5,"<h1 class=""charactername"">
king k. rool
</h1>","
		Up Tilt
		","
		5
		","
		37
		","
		--
		","
		Arm intangibility on frame 4-9
		","
		11.5/8.2/6.8
		","
		10/9/8
		","
		11/8/7
		","
		Early/Late Far/Close
		","
		-21
		","
		5—6/7—13
		"
6,"<h1 class=""charactername"">
king k. rool
</h1>","
		Down Tilt
		","
		13
		","
		42
		","
		--
		","
		--
		","
		13.0/8.0/7.0
		","
		9/8/7
		","
		12/10/7
		","
		Frame 13/Close/Far
		","
		-17
		","
		13/14—15
		"
7,"<h1 class=""charactername"">
king k. rool
</h1>","
		Dash Attack
		","
		7
		","
		60
		","
		--
		","
		Belly armor on frame 7-28
		","
		15.0/11.0
		","
		11/9
		","
		15/10
		","
		Early/Late
		","
		-38
		","
		7—14/15—25
		"
8,"<h1 class=""charactername"">
king k. rool
</h1>","
		Forward Smash
		","
		19
		","
		61
		","
		--
		","
		Charge hold on frame 9
		","
		19.0/16.5/19.5/16.9/19.9/17.3
		","
		13/--/14/--/14/12
		","
		13/--/13/--/13/12
		","
		(neutral far/close)/(Down far/close)/(Up far/close)
		","
		-29/--/-29/--/-29/-30
		","
		19—20
		"
9,"<h1 class=""charactername"">
king k. rool
</h1>","
		Up Smash
		","
		6/19/22
		","
		71
		","
		--
		","
		Head intangibility on frame 6-11. Belly armor on frame 6-19.  Charge hold is frame 2
		","
		15.0/3.0/8.0
		","
		11/0/10
		","
		10/--/7
		","
		Hit 1/Hit 2/Hit 3
		","
		-55/-42
		","
		(6—9/10—11)(19/20/21—23)(22—23)
		"
10,"<h1 class=""charactername"">
king k. rool
</h1>","
		Down Smash
		","
		22
		","
		63
		","
		--
		","
		Belly armor on frame 8-21. Charge hold is frame 1
		","
		18.0/4.0
		","
		10/5
		","
		12/4
		","
		Body/Shockwave
		","
		-29/-34
		","
		22—24/25
		"
11,"<h1 class=""charactername"">
king k. rool
</h1>","
		Neutral Air
		","
		7
		","
		45
		","
		9
		","
		Belly armor on frame 6-30. Autocancels on frame 1-3 and 40 onward
		","
		12.0/8.0
		","
		9/7
		","
		5/4
		","
		Early/Late
		","
		-4/-5
		","
		7—8/9—30
		"
12,"<h1 class=""charactername"">
king k. rool
</h1>","
		Forward Air
		","
		11
		","
		57
		","
		11
		","
		Autocancels on frame 1-2 and 40 onward
		","
		15.5/13.5/10.0/8.0
		","
		10/9/8/7
		","
		6/5/4/4
		","
		Early far/close, Late far/close
		","
		-5/-6/-7/-7
		","
		11/12—14/15—17
		"
13,"<h1 class=""charactername"">
king k. rool
</h1>","
		Back Air
		","
		18
		","
		49
		","
		14
		","
		Autocancels on frame 1-3 and 50 onward
		","
		19.0/14.5
		","
		13/10
		","
		7/5
		","
		Far/Close
		","
		-7/-9
		","
		18—20
		"
14,"<h1 class=""charactername"">
king k. rool
</h1>","
		Up Air
		","
		7
		","
		71
		","
		13
		","
		Head intangibility on frame 7-13. Belly armor on frame 7-20. Autocancels on frame 1-2 and 70 onward
		","
		14.0/10.0
		","
		10/8
		","
		5/4
		","
		Early/Late
		","
		-8/-9
		","
		7—13/14—19
		"
15,"<h1 class=""charactername"">
king k. rool
</h1>","
		Down Air
		","
		14
		","
		61
		","
		14
		","
		Belly armor on frame 14-25. Autocancels on frame 1-3 and 40 onward
		","
		12.0/9.0
		","
		9/7
		","
		5/4
		","
		Early/Late
		","
		-9/-10
		","
		14—15/16—21
		"
16,"<h1 class=""charactername"">
king k. rool
</h1>","
		Neutral B (Blunderbuss Kannonball)
		","
		25
		","
		65
		","
		--
		","
		Transitions to Vacuum on frame 50. K Rool can pass under platforms during any stage of this attack.
		","
		13.0
		","
		9
		","
		5
		","
		--
		","
		-25
		","
		30—150
		"
17,"<h1 class=""charactername"">
king k. rool
</h1>","
		Blunderbuss, Vacuum
		","
		7
		","
		--
		","
		--
		","
		Max hold of 120 frames
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		7—36
		"
18,"<h1 class=""charactername"">
king k. rool
</h1>","
		Blunderbuss, Second Shot
		","
		35
		","
		55
		","
		--
		","
		12.0 damage dealt to vacuumed victim
		","
		18.0/17.0
		","
		11/11
		","
		16/5
		","
		Person/Cannonball
		","
		+7/-4
		","
		**
		"
19,"<h1 class=""charactername"">
king k. rool
</h1>","
		Side B (Crownerang)
		","
		27
		","
		63
		","
		--
		","
		17 frame animation of catching the crown. Armor on frame 6-63 (12.0% / 14.4% in 1v1) . If picked up as an item, Crown pickup is 27 frames (as a Projectile, 17 frames).
		","
		9.0/7.0
		","
		7/7
		","
		4/3
		","
		Throw/Return
		","
		-26
		","
		27—64/65—...
		"
20,"<h1 class=""charactername"">
king k. rool
</h1>","
		Up B (Propellerpack)
		","
		11
		","
		--
		","
		30
		","
		Rehit rate of 14 frames. K Rool does not suffer hitlag from this attack
		","
		3.0
		","
		5
		","
		4
		","
		--
		","
		**
		","
		11/26/41/56/71/...108
		"
21,"<h1 class=""charactername"">
king k. rool
</h1>","
		Down B (Gut Check)
		","
		5 (Start of Counter)
		","
		62
		","
		--
		","
		Invulnerable on frame 4-15. Counters or reflects on 5-28. Must be facing attacker to activate.
		","
		**
		","
		**
		","
		**
		","
		--
		","
		**
		","
		**
		"
22,"<h1 class=""charactername"">
king k. rool
</h1>","
		Gut Check, Counterattack
		","
		3, 9
		","
		38
		","
		--
		","
		**
		","
		--
		","
		--
		","
		--
		","
		Front, Reverse
		","
		--
		","
		3—6, 9—12
		"
23,"<h1 class=""charactername"">
king k. rool
</h1>","
		Grab
		","
		8
		","
		40
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		Front, Reverse
		","
		--
		","
		8—10
		"
24,"<h1 class=""charactername"">
king k. rool
</h1>","
		Dash Grab
		","
		11
		","
		48
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		Front, Reverse
		","
		--
		","
		11—13
		"
25,"<h1 class=""charactername"">
king k. rool
</h1>","
		Pivot Grab
		","
		12
		","
		43
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		Front, Reverse
		","
		--
		","
		12—14
		"
26,"<h1 class=""charactername"">
king k. rool
</h1>","
		Pummel
		","
		**
		","
		**
		","
		--
		","
		**
		","
		**
		","
		--
		","
		--
		","
		Front, Reverse
		","
		--
		","
		12—14
		"
27,"<h1 class=""charactername"">
king k. rool
</h1>","
		Forward Throw
		","
		28
		","
		39
		","
		--
		","
		--		
		","
		**
		","
		--
		","
		--
		","
		Front, Reverse
		","
		--
		","
		12—14
		"
