,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
link
</h1>","
		Jab 1
		","
		8
		","
		24
		","
		--
		","
		Transitions to Jab 2 as early as frame 12
		","
		3.0
		","
		8
		","
		4
		","
		--
		","
		-12
		","
		8—9
		"
1,"<h1 class=""charactername"">
link
</h1>","
		Jab 2
		","
		5
		","
		25
		","
		--
		","
		Transitions to Jab 3 as early as frame 8.
		","
		3.0
		","
		6
		","
		4
		","
		--
		","
		-16
		","
		5—6
		"
2,"<h1 class=""charactername"">
link
</h1>","
		Jab 3
		","
		6
		","
		34
		","
		--
		","
		--
		","
		4.0
		","
		11
		","
		5
		","
		--
		","
		-23
		","
		6—7
		"
3,"<h1 class=""charactername"">
link
</h1>","
		Forward Tilt
		","
		15
		","
		39
		","
		--
		","
		Hits targets above him on frame 15
		","
		13.0
		","
		9
		","
		12
		","
		--
		","
		-12
		","
		15(16—19)
		"
4,"<h1 class=""charactername"">
link
</h1>","
		Up Tilt
		","
		8
		","
		35
		","
		--
		","
		--
		","
		11.0
		","
		8
		","
		10
		","
		--
		","
		-17
		","
		8—12
		"
5,"<h1 class=""charactername"">
link
</h1>","
		Down Tilt
		","
		10
		","
		30
		","
		--
		","
		--
		","
		9.0
		","
		7
		","
		9
		","
		--
		","
		-11
		","
		10—11
		"
6,"<h1 class=""charactername"">
link
</h1>","
		Dash Attack
		","
		20
		","
		56
		","
		--
		","
		--
		","
		14.0
		","
		9
		","
		15
		","
		--
		","
		-21
		","
		20—23
		"
7,"<h1 class=""charactername"">
link
</h1>","
		Forward Smash 1
		","
		17
		","
		50
		","
		--
		","
		Transitions to second swing as early as frame 22. Sword Sword Beam is active 17-48 when at minimum charge and 17-56 when at maximum charge (only when Link is at 0%). Charge hold frame is 9.
		","
		7.0/14.0/5.0
		","
		7/10/6
		","
		6/10/4
		","
		Close/Tipper/projectile
		","
		-27/-23/**
		","
		17—18
		"
8,"<h1 class=""charactername"">
link
</h1>","
		Forward Smash 2
		","
		10
		","
		60
		","
		--
		","
		--
		","
		13.0
		","
		14
		","
		9
		","
		--
		","
		-41
		","
		10—11
		"
9,"<h1 class=""charactername"">
link
</h1>","
		Up Smash
		","
		10/25/41
		","
		77
		","
		--
		","
		Charge hold frame is 5.
		","
		4.0/3.0/10.0
		","
		5/5/8
		","
		4/3/8
		","
		--
		","
		-28
		","
		10—13(14—15) / 25—28(29—30) / 41—45
		"
10,"<h1 class=""charactername"">
link
</h1>","
		Down Smash
		","
		12/24
		","
		56
		","
		--
		","
		Charge hold frame is 4
		","
		16.0/12.0
		","
		10/9
		","
		11/8
		","
		--
		","
		-33/-24
		","
		12—13/24—25
		"
11,"<h1 class=""charactername"">
link
</h1>","
		Neutral Air
		","
		7
		","
		38
		","
		6
		","
		Autocancels on frame 1-3 and 36 onward
		","
		11.0/6.0
		","
		8/6
		","
		4/3
		","
		Early/Late
		","
		-2/-3
		","
		7—8(9—31)
		"
12,"<h1 class=""charactername"">
link
</h1>","
		Forward Air
		","
		16/24
		","
		51
		","
		11
		","
		Autocancels on frame 53 onward
		","
		8.0/10.0
		","
		7/10
		","
		4/4
		","
		--
		","
		-7/-7
		","
		16—17/24—25
		"
13,"<h1 class=""charactername"">
link
</h1>","
		Back Air
		","
		6/15
		","
		30
		","
		6
		","
		Autocancels on frame 29 onward
		","
		5.0/7.0
		","
		6/7
		","
		3/3
		","
		First/Second
		","
		-3/-3
		","
		6—8/15—17
		"
14,"<h1 class=""charactername"">
link
</h1>","
		Up Air
		","
		11
		","
		59
		","
		14
		","
		Autocancels on frame 1-10 and 43 onward
		","
		15.0/13.0
		","
		12/11
		","
		5/5
		","
		Early/Late
		","
		-9
		","
		11—13(14—40)
		"
15,"<h1 class=""charactername"">
link
</h1>","
		Down Air
		","
		14
		","
		79
		","
		19
		","
		Autocancels on frame 1-9 and 65 onward. Can hit same target once again after 30 frames due to pogo effect.
		","
		18.0/15.0
		","
		14/12
		","
		6/5
		","
		Early/Late
		","
		**
		","
		14—19(20—64)
		"
16,"<h1 class=""charactername"">
link
</h1>","
		Neutral B (Hero's Bow)
		","
		16-52
		","
		44-80
		","
		--
		","
		Reaches full charge on frame 52. Arrows travel for 46 frames after being fired. Arrows will stick into the ground for 3 seconds and can be picked up to either item-throw or fire two arrows. When firing two arrows at once, the second one generates three frames after the first.
		","
		4.0—12.0
		","
		5—9
		","
		2—4
		","
		Uncharged—Full Charge
		","
		-21 to -15
		","
		16—61
		"
17,"<h1 class=""charactername"">
link
</h1>","
		Side B (Boomerang)
		","
		27
		","
		45
		","
		--
		","
		9 frame animation of catching boomerang if no other action is being performed.
		","
		8.0/9.6
		","
		7/8
		","
		3/4
		","
		Clean/Late/Returning
		","
		-8/-6
		","
		27—35(36—63/64—155)
		"
