,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
lucario
</h1>","
				Ledge Hang
			","
		18/26/34/42
		","
		107
		","
		11-19
		","
		Invulnerable on frame 2-19
		","
		1.0/5.0
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		11—12
		"
1,"<h1 class=""charactername"">
lucario
</h1>","
		Jab 1
		","
		7
		","
		31
		","
		--
		","
		Transitions to jab 2 as early as frame 12 
		","
		1.6 | 2.5 | 4.0
		","
		6 | 7 | 8
		","
		3 | 4 | 5
		","
		--
		","
		-21 | -20 | -19
		","
		7—8
		"
2,"<h1 class=""charactername"">
lucario
</h1>","
		Jab 2
		","
		5
		","
		34
		","
		--
		","
		Transitions to jab 3 as early as frame 8
		","
		1.3 | 2.0 | 3.2
		","
		5 | 5 | 6
		","
		3 | 3 | 4
		","
		--
		","
		-26 | -26 | -25
		","
		5—6
		"
3,"<h1 class=""charactername"">
lucario
</h1>","
		Jab 3
		","
		9
		","
		38
		","
		--
		","
		--
		","
		1.9 | 3.0 | 4.8
		","
		7 | 8 | 9
		","
		3 | 4 | 5
		","
		--
		","
		-26 | -25 | -24
		","
		9—10
		"
4,"<h1 class=""charactername"">
lucario
</h1>","
		Forward Tilt
		","
		12/15
		","
		32
		","
		--
		","
		--
		","
		2.6/3.9 | 4.0/6.0 | 6.4/9.6
		","
		5/5 | 5/6 | 6/8
		","
		-/5 | -/6 | -/9
		","
		First/Second
		","
		-12 | -11 | -8
		","
		12—14/15—16
		"
5,"<h1 class=""charactername"">
lucario
</h1>","
		Up Tilt
		","
		6
		","
		32
		","
		--
		","
		--
		","
		3.3/3.9 | 5.0/6.0 | 8.0/9.6
		","
		5/5 | 6/6 | 7/8
		","
		4/5 | 6/6 | 8/9
		","
		Close/far
		","
		-22/-21 | -20/-20 | -18/-17
		","
		6—13
		"
6,"<h1 class=""charactername"">
lucario
</h1>","
		Down Tilt
		","
		9
		","
		22
		","
		--
		","
		--
		","
		3.3 | 5.0 | 8.0
		","
		5 | 6 | 7
		","
		4 | 6 | 8
		","
		--
		","
		-9 | -7 | -5
		","
		9—12
		"
7,"<h1 class=""charactername"">
lucario
</h1>","
		Dash Attack
		","
		7
		","
		41
		","
		--
		","
		--
		","
		5.6/6.6/4.6/3.9 | 8.5/10.0/7.0/6.0 | 13.6/16.0/11.2/9.6
		","
		6/6/6/5 | 7/8/7/6 | 9/10/8/8
		","
		6/7/55 | 8/10/7/6| 12/14/10/9
		","
		Early close/far, Late close/far
		","
		-28/-27 | -26/-24 | -22/-20
		","
		7—9(10—15)
		"
8,"<h1 class=""charactername"">
lucario
</h1>","
		Forward Smash
		","
		19
		","
		54
		","
		--
		","
		Charge hold is frame 3
		","
		10.5/8.5 | 16.0/13.0 | 25.6 / 20.8
		","
		8/7 | 10/9 | 15/13
		","
		8/6 | 11/9 | 16/14
		","
		Close/far
		","
		-27/-25 | -24/-26 | -19/-21
		","
		19—20(21—22)
		"
9,"<h1 class=""charactername"">
lucario
</h1>","
		Up Smash
		","
		15/19
		","
		63
		","
		--
		","
		Charge hold is frame 11
		","
		2.6/9.2/7.9 | 4.0/14.0/12.0 | 6.4/22.4/19.2
		","
		5/8/7 | 5/10/9 | 6/13/12
		","
		3/7/6 | 4/10/8 | 5/14/13
		","
		First, second far, second close
		","
		-37/-38 | -34/-36 | -30/-31
		","
		15—17/19—20/21—23
		"
