,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
lucas
</h1>","
		Jab 1
		","
		2
		","
		19
		","
		--
		","
		Transitions to Jab 2 as early as frame 5
		","
		2.5
		","
		8
		","
		4
		","
		--
		","
		-13
		","
		2
		"
1,"<h1 class=""charactername"">
lucas
</h1>","
		Jab 2
		","
		3
		","
		19
		","
		--
		","
		Transitions to Jab 3 as early as frame 5
		","
		1.5
		","
		8
		","
		3
		","
		--
		","
		-13
		","
		3
		"
2,"<h1 class=""charactername"">
lucas
</h1>","
		Jab 3
		","
		6
		","
		29
		","
		--
		","
		--
		","
		3.5
		","
		11
		","
		4
		","
		--
		","
		-19
		","
		6—7
		"
3,"<h1 class=""charactername"">
lucas
</h1>","
		Forward Tilt
		","
		7
		","
		25
		","
		--
		","
		--
		","
		7.5/11.0
		","
		7/13
		","
		8/10
		","
		Cose/far
		","
		-10/-8
		","
		7—9
		"
4,"<h1 class=""charactername"">
lucas
</h1>","
		Up Tilt
		","
		4/7
		","
		33
		","
		--
		","
		--
		","
		1.5/8.0/5.0
		","
		7/11/9
		","
		-/8/6
		","
		first/second/late
		","
		-18
		","
		4/7—10(11—14/15—16)
		"
5,"<h1 class=""charactername"">
lucas
</h1>","
		Down Tilt
		","
		3
		","
		15
		","
		--
		","
		--
		","
		5.0
		","
		6
		","
		6
		","
		--
		","
		-6
		","
		3—4
		"
6,"<h1 class=""charactername"">
lucas
</h1>","
		Dash Attack
		","
		13
		","
		37
		","
		--
		","
		--
		","
		9.0/13.0
		","
		11/15
		","
		9/12
		","
		Close/Far
		","
		-15/-12
		","
		13—17
		"
7,"<h1 class=""charactername"">
lucas
</h1>","
		Forward Smash
		","
		14
		","
		45
		","
		--
		","
		Reflects on frame 11-20. Charge hold is frame 7
		","
		14.0/15.0
		","
		10/12
		","
		10/10
		","
		Close/far
		","
		-21
		","
		14—15
		"
8,"<h1 class=""charactername"">
lucas
</h1>","
		Up Smash
		","
		28/30
		","
		98
		","
		--
		","
		Invincible on frame 1-7. Head intangibility on frame 15-29. Charge hold is frame 4. **Invincibility during the first 4 frames of charging (but goes away after the initial 4), upon release you gain the other 3 frames immediately.
		","
		2.0/21.0
		","
		4/16
		","
		-/14
		","
		--
		","
		-54
		","
		28/30—32(33—37/38—42/43—47/48—52/53—54)
		"
9,"<h1 class=""charactername"">
lucas
</h1>","
		Down Smash
		","
		20/29/39
		","
		59
		","
		--
		","
		Charge hold is frame 5. Shield damage: -10.0/-8.0/-6.0.
		","
		17.0/14.0/11.0
		","
		15/15/13
		","
		-/-/8
		","
		--
		","
		-12
		","
		20—22/29—31/39—41
		"
10,"<h1 class=""charactername"">
lucas
</h1>","
		Neutral Air
		","
		7.../26
		","
		44
		","
		12
		","
		Autocancels on frame 37 onward
		","
		2.0/4.0
		","
		7/10
		","
		2/3
		","
		Multi/Final
		","
		-10/-9
		","
		7—21 (rehit: 5) / 26
		"
11,"<h1 class=""charactername"">
lucas
</h1>","
		Forward Air
		","
		9
		","
		41
		","
		7
		","
		Autocancels on frame 34 onward
		","
		9.0/12.5
		","
		7/15
		","
		4/5
		","
		Close/Far
		","
		-3/-2
		","
		9—10/11—12
		"
12,"<h1 class=""charactername"">
lucas
</h1>","
		Back Air
		","
		15
		","
		39
		","
		9
		","
		Autocancels on frame 1-2 and 34 onward
		","
		9.0 / 12.0 / 7.0
		","
		11/13/10
		","
		4/5/3
		","
		Close/medium/far
		","
		-5/-4/-6
		","
		15—19(20—22)
		"
13,"<h1 class=""charactername"">
lucas
</h1>","
		Up Air
		","
		7
		","
		31
		","
		7
		","
		Autocancels on frame 34 onward
		","
		11.0
		","
		9
		","
		4
		","
		--
		","
		-3
		","
		7—10
		"
14,"<h1 class=""charactername"">
lucas
</h1>","
		Down Air
		","
		10/18/26/34
		","
		56
		","
		16
		","
		Autocancels on frame 47 onward
		","
		3.5/5.0
		","
		8/9
		","
		2/3
		","
		Multi/Final
		","
		-14/-13
		","
		10—12/18—20/26—28/34—36
		"
15,"<h1 class=""charactername"">
lucas
</h1>","
		Z Air
		","
		9
		","
		51
		","
		8
		","
		Tethers on frame 7.
		","
		5.0
		","
		6
		","
		6
		","
		--
		","
		-2
		","
		9—12(13—21)
		"
16,"<h1 class=""charactername"">
lucas
</h1>","
		Neutral B (PK Freeze)
		","
		40-92
		","
		66-118
		","
		--
		","
		From charge release, startup is 5 and total frames is 31
		","
		10.0—23.0
		","
		8—14
		","
		4—7
		","
		--
		","
		-14 to -5
		","
		40—43(92—95)
		"
17,"<h1 class=""charactername"">
lucas
</h1>","
		Side B (PK Fire)
		","
		21
		","
		52
		","
		19
		","
		Explosion 1 frame after projectile hits something. Does not erupt on shields. PK Fire Burst is frames 1-20.
		","
		3.0/7.0
		","
		5
		","
		2
		","
		Spark/explosion
		","
		-24
		","
		21—38(1—19)
		"
18,"<h1 class=""charactername"">
lucas
</h1>","
		Up B (PK Thunder)
		","
		20
		","
		--
		","
		--
		","
		Hits every six frames as it passes through somebody. 44 endlag when projectile ends
		","
		2.5/0.7
		","
		5
		","
		2
		","
		Head/Tail
		","
		--
		","
		20—**
		"
19,"<h1 class=""charactername"">
lucas
</h1>","
		Up B, Self-hit (PK Thunder 2)
		","
		1/4/6/8/10/12/14/17/20/23/26/29
		","
		60
		","
		30
		","
		Total frames refers to travel along the ground.
		","
		5.0/2.0/1.5/10.0
		","
		9/7/7/15
		","
		-/-/-10
		","
		First/early/late/final
		","
		-21
		","
		1—2/4—5/6—7/8—9/10—11/12—13/14—15/17—19/20—21/23—24/26—27/29—30
		"
20,"<h1 class=""charactername"">
lucas
</h1>","
		Down B (PSI Magnet)
		","
		19 (7 is start of absorb)
		","
		27
		","
		--
		","
		Absorbs as early as frame 7. On release, startup is 1 with 9 total frames
		","
		8.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		19
		"
21,"<h1 class=""charactername"">
lucas
</h1>","
		Grab
		","
		12
		","
		46
		","
		--
		","
		--		
		","
		--
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		12—17
		"
22,"<h1 class=""charactername"">
lucas
</h1>","
		Dash Grab
		","
		14
		","
		54
		","
		--
		","
		--		
		","
		--
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		14—19
		"
23,"<h1 class=""charactername"">
lucas
</h1>","
		Pivot Grab
		","
		15
		","
		49
		","
		--
		","
		--		
		","
		--
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
24,"<h1 class=""charactername"">
lucas
</h1>","
		Pummel
		","
		1
		","
		19
		","
		--
		","
		Total frames includes 13 frames of hitlag
		","
		1.3
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
25,"<h1 class=""charactername"">
lucas
</h1>","
		Forward Throw
		","
		23
		","
		52
		","
		--
		","
		--		
		","
		10.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
26,"<h1 class=""charactername"">
lucas
</h1>","
		Backward Throw
		","
		20
		","
		52
		","
		--
		","
		--		
		","
		10.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
27,"<h1 class=""charactername"">
lucas
</h1>","
		Up Throw
		","
		25
		","
		55
		","
		--
		","
		--		
		","
		10.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
28,"<h1 class=""charactername"">
lucas
</h1>","
		Down Throw
		","
		41
		","
		57
		","
		--
		","
		--		
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
29,"<h1 class=""charactername"">
lucas
</h1>","
		Spot Dodge
		","
		41
		","
		20/25
		","
		--
		","
		Invulnerable on frame 3-17
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
30,"<h1 class=""charactername"">
lucas
</h1>","
		Forward Roll
		","
		41
		","
		29
		","
		--
		","
		Invulnerable on frame 4-15
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
31,"<h1 class=""charactername"">
lucas
</h1>","
		Backward Roll
		","
		41
		","
		34
		","
		--
		","
		Invulnerable on frame 5-16
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
32,"<h1 class=""charactername"">
lucas
</h1>","
		Neutral Air Dodge
		","
		41
		","
		56
		","
		10
		","
		Invulnerable on frame 3-30
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
33,"<h1 class=""charactername"">
lucas
</h1>","
		Air Dodge, Down
		","
		41
		","
		75
		","
		11-19
		","
		Invulnerable on frame 3-21		
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
34,"<h1 class=""charactername"">
lucas
</h1>","
		Air Dodge, Diagonally Down
		","
		41
		","
		85
		","
		11-19
		","
		Invulnerable on frame 3-21	
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
35,"<h1 class=""charactername"">
lucas
</h1>","
		Air Dodge, Left/Right
		","
		41
		","
		95
		","
		11-19
		","
		Invulnerable on frame 3-21
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
36,"<h1 class=""charactername"">
lucas
</h1>","
		Air Dodge, Diagonally Up
		","
		41
		","
		117
		","
		11-19
		","
		Invulnerable on frame 3-21
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
37,"<h1 class=""charactername"">
lucas
</h1>","
		Air Dodge, Up
		","
		41
		","
		126
		","
		11-19
		","
		Invulnerable on frame 3-21
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
38,"<h1 class=""charactername"">
lucas
</h1>","
			Ledge Grab
		","
		41
		","
		126
		","
		11-19
		","
		Invulnerable on frame 3-21
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
39,"<h1 class=""charactername"">
lucas
</h1>","
			Ledge Grab
		","
		41
		","
		126
		","
		11-19
		","
		Invulnerable on frame 3-21
		","
		11.0
		","
		11
		","
		8
		","
		--
		","
		+0
		","
		15—20
		"
