,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
lucina
</h1>","
		Jab 1
		","
		5
		","
		25
		","
		--
		","
		Transitions to Jab 2 as early as frame 11.
		","
		3.3
		","
		7
		","
		4
		","
		--
		","
		-16
		","
		5—6
		"
1,"<h1 class=""charactername"">
lucina
</h1>","
		Jab 2
		","
		4
		","
		28
		","
		--
		","
		--
		","
		4.7
		","
		7
		","
		5
		","
		--
		","
		-19
		","
		4—5
		"
2,"<h1 class=""charactername"">
lucina
</h1>","
		Forward Tilt
		","
		8
		","
		33
		","
		--
		","
		--
		","
		11.0
		","
		8
		","
		10
		","
		--
		","
		-15
		","
		8—11
		"
3,"<h1 class=""charactername"">
lucina
</h1>","
		Up Tilt
		","
		6
		","
		33
		","
		--
		","
		--
		","
		7.6/8.0
		","
		7/7
		","
		8/8
		","
		Early/Late
		","
		-19
		","
		6—8/9—12
		"
4,"<h1 class=""charactername"">
lucina
</h1>","
		Down Tilt
		","
		7
		","
		23
		","
		--
		","
		--
		","
		8.5
		","
		7
		","
		8
		","
		--
		","
		-8
		","
		7—8
		"
5,"<h1 class=""charactername"">
lucina
</h1>","
		Dash Attack
		","
		13
		","
		49
		","
		--
		","
		--
		","
		10.9
		","
		8
		","
		15
		","
		--
		","
		-21
		","
		13—16
		"
6,"<h1 class=""charactername"">
lucina
</h1>","
		Forward Smash
		","
		10
		","
		51
		","
		--
		","
		Charge hold is frame 3.
		","
		15.0
		","
		10
		","
		10
		","
		--
		","
		-31
		","
		10—13
		"
7,"<h1 class=""charactername"">
lucina
</h1>","
		Up Smash
		","
		13
		","
		58
		","
		--
		","
		Launcher and sword hits generate on the same frame. Charge hold is frame 5
		","
		3.0/14.2
		","
		0/10
		","
		4/10
		","
		Body Launcher/Sword
		","
		-41/-35
		","
		13—14/13—17
		"
8,"<h1 class=""charactername"">
lucina
</h1>","
		Down Smash
		","
		6/21
		","
		55
		","
		--
		","
		Charge hold is frame 4.
		","
		9.5/14.0
		","
		8/10
		","
		7/10
		","
		--
		","
		-42/-24
		","
		6—7/21—23
		"
9,"<h1 class=""charactername"">
lucina
</h1>","
		Neutral Air
		","
		6/15
		","
		49
		","
		7
		","
		Autocancels on frame 47 onward
		","
		4.2/8.5
		","
		5/7
		","
		3/4
		","
		--
		","
		-4/-3
		","
		6—7/15—21
		"
10,"<h1 class=""charactername"">
lucina
</h1>","
		Forward Air
		","
		6
		","
		37
		","
		10
		","
		Autocancels on frame 36 onward
		","
		10.5
		","
		8
		","
		4
		","
		--
		","
		-6
		","
		6—8
		"
11,"<h1 class=""charactername"">
lucina
</h1>","
		Back Air
		","
		7
		","
		39
		","
		10
		","
		Autocancels on frame 1-2 and 32 onward
		","
		11.8
		","
		9
		","
		5
		","
		--
		","
		-5
		","
		7—11
		"
12,"<h1 class=""charactername"">
lucina
</h1>","
		Up Air
		","
		5
		","
		45
		","
		8
		","
		Autocancels on frame 1-2 and 38 onward
		","
		11.4
		","
		8
		","
		5
		","
		--
		","
		-3
		","
		5—9
		"
13,"<h1 class=""charactername"">
lucina
</h1>","
		Down Air
		","
		9/11
		","
		59
		","
		14
		","
		Autocancels on frame 1-2 and 55 onward
		","
		12.3/14.2
		","
		9/12
		","
		5/5
		","
		Sour/Meteor
		","
		-9/-9
		","
		9—13/11
		"
14,"<h1 class=""charactername"">
lucina
</h1>","
		Neutral B (Shieldbreaker)
		","
		19—78
		","
		50—109
		","
		--
		","
		On release, startup is 8 and total frames is 39
		","
		8.5—23
		","
		13—18
		","
		8—Shieldbreak
		","
		--
		","
		-23 to Shieldbreak
		","
		19—20 (or frames 1—2 after release)
		"
15,"<h1 class=""charactername"">
lucina
</h1>","
		Side B (Dancing Blade)
		","
		9
		","
		39/29
		","
		--
		","
		Second total frames is the air version. Can transition to next slash on frame 12-30
		","
		2.8
		","
		5
		","
		4
		","
		--
		","
		-26/-16
		","
		9—11
		"
16,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 2 Neutral
		","
		5
		","
		38
		","
		--
		","
		Can transition to next slash on frame 8-29
		","
		2.8
		","
		5
		","
		4
		","
		--
		","
		-29
		","
		5—7
		"
17,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 3 Neutral
		","
		4
		","
		43
		","
		--
		","
		Can transition to next slash on frame 7-24
		","
		3.3
		","
		5
		","
		4
		","
		--
		","
		-35
		","
		4—6
		"
18,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 4 Neutral
		","
		7
		","
		55
		","
		--
		","
		--
		","
		4.7
		","
		7
		","
		5
		","
		--
		","
		-43
		","
		7—9
		"
19,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 2 Up
		","
		4
		","
		38
		","
		--
		","
		Can transition to next slash on frame 8-29
		","
		2.8
		","
		5
		","
		4
		","
		--
		","
		-30
		","
		4—7
		"
20,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 3 Up
		","
		5
		","
		43
		","
		--
		","
		Can transition to next slash on frame 8-24
		","
		3.3
		","
		5
		","
		4
		","
		--
		","
		-34
		","
		5—7
		"
21,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 4 Up
		","
		6
		","
		44
		","
		--
		","
		--
		","
		5.6
		","
		6
		","
		6
		","
		--
		","
		-32
		","
		6—10
		"
22,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 3 Down
		","
		5
		","
		43
		","
		--
		","
		Can transition to next slash on frame 8-24
		","
		3.3
		","
		5
		","
		4
		","
		--
		","
		-34
		","
		5—7
		"
23,"<h1 class=""charactername"">
lucina
</h1>","
		Dancing Blade 4 Down
		","
		7
		","
		74
		","
		--
		","
		--
		","
		2.0/4.2
		","
		4/5
		","
		-/5
		","
		Multi/Final
		","
		-50
		","
		7/10/13/16/19—21
		"
24,"<h1 class=""charactername"">
lucina
</h1>","
		Up B (Dolphin Slash)
		","
		5
		","
		--
		","
		24
		","
		Intangibile on frame 4-5. 1-5 in the air.
		","
		11.0/7.0
		","
		8/7
		","
		10/7
		","
		Early/Late
		","
		--
		","
		5—6/6—11
		"
25,"<h1 class=""charactername"">
lucina
</h1>","
		Down B (Counter)
		","
		6 (Start of Counter)
		","
		64
		","
		--
		","
		Intangibility on 5-6 when detecting. Counter window 6-27.
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		**
		"
26,"<h1 class=""charactername"">
lucina
</h1>","
		Counter, Attack
		","
		4
		","
		40
		","
		--
		","
		Intangible on frame 1-8 in addition to counter freeze frames. 8% Minimum base damage, x1.2 enemy's attack.
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		4—7
		"
27,"<h1 class=""charactername"">
lucina
</h1>","
		Grab
		","
		6
		","
		34
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		6—7
		"
28,"<h1 class=""charactername"">
lucina
</h1>","
		Dash Grab
		","
		9
		","
		42
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		9—10
		"
29,"<h1 class=""charactername"">
lucina
</h1>","
		Pivot Grab
		","
		10
		","
		37
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		10—11
		"
30,"<h1 class=""charactername"">
lucina
</h1>","
		Pummel
		","
		1
		","
		19
		","
		--
		","
		Total frames includes 13 frames of hitlag
		","
		1.3
		","
		--
		","
		--
		","
		--
		","
		--
		","
		10—11
		"
31,"<h1 class=""charactername"">
lucina
</h1>","
		Forward Throw
		","
		18
		","
		34
		","
		--
		","
		Visualization does not linclude hitlag	
		","
		4.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		10—11
		"
32,"<h1 class=""charactername"">
lucina
</h1>","
		Backward Throw
		","
		19
		","
		47
		","
		--
		","
		Visualization does not linclude hitlag		
		","
		4.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		10—11
		"
33,"<h1 class=""charactername"">
lucina
</h1>","
		Up Throw
		","
		13
		","
		44
		","
		--
		","
		--		
		","
		5.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		10—11
		"
34,"<h1 class=""charactername"">
lucina
</h1>","
		Down Throw
		","
		20
		","
		46
		","
		--
		","
		Visualization does not linclude hitlag	
		","
		4.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		10—11
		"
35,"<h1 class=""charactername"">
lucina
</h1>","
		Spot Dodge
		","
		20
		","
		20/25
		","
		--
		","
		Invulnerable on frame 3-17
		","
		4.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		10—11
		"
36,"<h1 class=""charactername"">
lucina
</h1>","
		Forward Roll
		","
		20
		","
		29
		","
		--
		","
		Invulnerable on frame 4-15
		","
		4.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		10—11
		"
