,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Mario
</h1>","
		Jab 1
		","
		2
		","
		19
		","
		--
		","
		Transitions to Jab 2 as early as frame 5
		","
		2.2
		","
		8
		","
		3
		","
		--
		","
		-14
		","
		2—3
		"
1,"<h1 class=""charactername"">
Mario
</h1>","
		Jab 2
		","
		2
		","
		21
		","
		--
		","
		Transitions to Jab 3 as early as frame 6
		","
		1.7
		","
		5
		","
		3
		","
		--
		","
		-16
		","
		2—3
		"
2,"<h1 class=""charactername"">
Mario
</h1>","
		Jab 3
		","
		3
		","
		33
		","
		--
		","
		--
		","
		4.0
		","
		11
		","
		5
		","
		--
		","
		-29
		","
		3—4
		"
3,"<h1 class=""charactername"">
Mario
</h1>","
		Forward Tilt
		","
		5
		","
		25
		","
		--
		","
		--
		","
		7.0
		","
		7
		","
		7
		","
		--
		","
		-13
		","
		5—7
		"
4,"<h1 class=""charactername"">
Mario
</h1>","
		Up Tilt
		","
		5
		","
		29
		","
		--
		","
		--
		","
		5.5
		","
		6
		","
		6
		","
		--
		","
		-18
		","
		5—11
		"
5,"<h1 class=""charactername"">
Mario
</h1>","
		Down Tilt
		","
		5
		","
		27
		","
		--
		","
		--
		","
		7.0/5.0
		","
		7/6
		","
		7/6
		","
		Close/Far
		","
		-15/-16
		","
		5—7
		"
6,"<h1 class=""charactername"">
Mario
</h1>","
		Dash Attack
		","
		6
		","
		37
		","
		--
		","
		--
		","
		8.0/6.0
		","
		9/8
		","
		14/11
		","
		Early/Late
		","
		-17
		","
		6—9(10—25)
		"
7,"<h1 class=""charactername"">
Mario
</h1>","
		Forward Smash
		","
		15
		","
		47
		","
		--
		","
		Charge hold is frame 5.
		","
		17.7/14.6
		","
		11/10
		","
		12/10
		","
		Far/Close
		","
		-22/-20
		","
		15—17
		"
8,"<h1 class=""charactername"">
Mario
</h1>","
		Up Smash
		","
		9
		","
		39
		","
		--
		","
		Head Invulnerability on frame 9-12. Charge hold is frame 6.
		","
		14.0
		","
		10
		","
		10
		","
		--
		","
		-20
		","
		9—12
		"
9,"<h1 class=""charactername"">
Mario
</h1>","
		Down Smash
		","
		5/14
		","
		43
		","
		--
		","
		Charge hold is frame 2.
		","
		10.0/12.0
		","
		8/9
		","
		7/8
		","
		First/Second
		","
		-31/-21
		","
		5—6/14
		"
10,"<h1 class=""charactername"">
Mario
</h1>","
		Neutral Air
		","
		3
		","
		45
		","
		6
		","
		Auto cancels on frame 1-2 and frame 39 onward.
		","
		8.0/5.0
		","
		7/6
		","
		4/3
		","
		Early/Late
		","
		-2/-3/-3/-3
		","
		3—5(6—27)
		"
11,"<h1 class=""charactername"">
Mario
</h1>","
		Forward Air
		","
		16
		","
		59
		","
		17
		","
		Auto cancels on frame 1-2 and frame 43 onward.
		","
		12.0/14.0/10.0
		","
		9/10/9
		","
		5/5/5
		","
		Early/Clean/Late
		","
		-12/-12/-12
		","
		16/17—20/21
		"
12,"<h1 class=""charactername"">
Mario
</h1>","
		Back Air
		","
		6
		","
		33
		","
		6
		","
		Auto cancels on frame 1-5 and frame 19 onward.
		","
		10.5/7.0
		","
		8/7
		","
		4/3
		","
		Early/Late
		","
		-2/-3/-2/-3
		","
		6—7(8—10)
		"
13,"<h1 class=""charactername"">
Mario
</h1>","
		Up Air
		","
		4
		","
		30
		","
		6
		","
		Auto cancels on frame 17 onward.
		","
		7.0
		","
		7
		","
		3
		","
		--
		","
		-3
		","
		4—7
		"
14,"<h1 class=""charactername"">
Mario
</h1>","
		Down Air
		","
		5/7/9/11/13/23
		","
		37
		","
		15
		","
		Auto cancels on frame 1-4 and frame 33 onward.
		","
		1.3/5.5/2.0
		","
		4/6/4
		","
		2/3/3
		","
		Multihit/Final/Landing
		","
		-11
		","
		5/7/9/11/13/23(1—2)
		"
15,"<h1 class=""charactername"">
Mario
</h1>","
		Neutral B (Fireball)
		","
		17
		","
		49
		","
		--
		","
		Fireball disappears on frame 88.
		","
		5.0/4.0
		","
		6/5
		","
		3/2
		","
		Early/Late
		","
		-23
		","
		17—21(22—46/47—86)
		"
16,"<h1 class=""charactername"">
Mario
</h1>","
		Side B (Cape)
		","
		12
		","
		35
		","
		--
		","
		Reflects on frame 9-20.
		","
		7.0
		","
		7
		","
		7
		","
		--
		","
		-16
		","
		12—14
		"
17,"<h1 class=""charactername"">
Mario
</h1>","
		Up B (Super Jump Punch)
		","
		3...
		","
		--
		","
		30
		","
		Invulnerable on frame 3-6. Hits 2-6 rehit rate of 2.
		","
		5.0 / 0.6 / 3.0
		","
		6/4/5
		","
		6/2/4
		","
		First/multihit/Final
		","
		--
		","
		3-6/7-16/17-18
		"
18,"<h1 class=""charactername"">
Mario
</h1>","
		Down B (F.L.U.D.D.)
		","
		2 (+19)
		","
		48
		","
		--
		","
		Startup is 2 from a charging state. Entering charge state takes 19 frames and is shield cancellable on 20.
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		21—**
		"
19,"<h1 class=""charactername"">
Mario
</h1>","
		Down B, Fully Charged (F.L.U.D.D.)
		","
		21
		","
		67
		","
		--
		","
		Takes 100 frames to reach full charge.
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		21—**
		"
20,"<h1 class=""charactername"">
Mario
</h1>","
		Grab
		","
		6
		","
		34
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		6—7
		"
21,"<h1 class=""charactername"">
Mario
</h1>","
		Dash Grab
		","
		9
		","
		42
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		9—10
		"
