,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
meta knight
</h1>","
		Rapid Jab
		","
		4/7/10...
		","
		15
		","
		--
		","
		Rapid Jab loop is 22 frames.
		","
		1.0
		","
		4
		","
		-
		","
		--
		","
		--
		","
		4/7/10...
		"
1,"<h1 class=""charactername"">
meta knight
</h1>","
		Rapid Jab Finisher
		","
		3
		","
		30
		","
		--
		","
		--
		","
		2.0
		","
		12
		","
		3
		","
		--
		","
		-24
		","
		3
		"
2,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Tilt 1
		","
		6
		","
		25
		","
		--
		","
		Transitions to next hit as early as frame 10.
		","
		2.0
		","
		4
		","
		3
		","
		--
		","
		-16
		","
		6
		"
3,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Tilt 2
		","
		2
		","
		27
		","
		--
		","
		Transitions to next hit as early as frame 7
		","
		2.0
		","
		4
		","
		3
		","
		--
		","
		-22
		","
		2
		"
4,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Tilt 3
		","
		2
		","
		30
		","
		--
		","
		--
		","
		4.0
		","
		11
		","
		5
		","
		--
		","
		-23
		","
		2
		"
5,"<h1 class=""charactername"">
meta knight
</h1>","
		Up Tilt
		","
		8
		","
		34
		","
		--
		","
		--
		","
		6.0/7.0
		","
		7/8
		","
		6/7
		","
		Close/Tipper
		","
		-20/-19
		","
		8—10/11—14
		"
6,"<h1 class=""charactername"">
meta knight
</h1>","
		Down Tilt
		","
		3
		","
		18
		","
		--
		","
		--
		","
		5.0
		","
		6
		","
		6
		","
		--
		","
		-9
		","
		3—4
		"
7,"<h1 class=""charactername"">
meta knight
</h1>","
		Dash Attack
		","
		7
		","
		32
		","
		--
		","
		--
		","
		7.0/6.0
		","
		7/7
		","
		7/7
		","
		Early/Late
		","
		-18
		","
		7—11
		"
8,"<h1 class=""charactername"">
meta knight
</h1>","
		Forward Smash
		","
		24
		","
		41
		","
		--
		","
		Charge hold is frame 20
		","
		16.0
		","
		15
		","
		11
		","
		--
		","
		-6
		","
		24
		"
9,"<h1 class=""charactername"">
meta knight
</h1>","
		Up Smash
		","
		8/12/17
		","
		49
		","
		--
		","
		Charge hold is frame 3
		","
		4.0/3.0/5.0
		","
		5/5/12
		","
		3/3/4
		","
		--
		","
		-28
		","
		8/12/17
		"
