,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
mii brawler
</h1>","
		Jab 1
		","
		2
		","
		15
		","
		--
		","
		Transitions to jab 2 as early as frame 5
		","
		1.8
		","
		8
		","
		3
		","
		--
		","
		-10
		","
		2—3
		"
1,"<h1 class=""charactername"">
mii brawler
</h1>","
		Jab 2
		","
		2
		","
		18
		","
		--
		","
		Transitions to rapid jab as early as frame 7
		","
		1.0
		","
		5
		","
		2
		","
		--
		","
		-14
		","
		2—3
		"
2,"<h1 class=""charactername"">
mii brawler
</h1>","
		Rapid Jab
		","
		5/7/9...
		","
		40
		","
		--
		","
		--
		","
		0.5
		","
		4
		","
		2
		","
		--
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
mii brawler
</h1>","
		Rapid Jab Finisher
		","
		4
		","
		40
		","
		--
		","
		--
		","
		2.0
		","
		14
		","
		3
		","
		--
		","
		-33
		","
		4—5
		"
4,"<h1 class=""charactername"">
mii brawler
</h1>","
		Forward Tilt
		","
		6
		","
		27
		","
		--
		","
		--
		","
		8.0/8.3/8.5
		","
		7/7/7
		","
		8/8/8
		","
		neutral/down/up
		","
		-13/-13/-13
		","
		6—8
		"
5,"<h1 class=""charactername"">
mii brawler
</h1>","
		Up Tilt
		","
		5
		","
		29
		","
		--
		","
		--
		","
		6.0
		","
		6
		","
		6
		","
		--
		","
		-18
		","
		5—12
		"
6,"<h1 class=""charactername"">
mii brawler
</h1>","
		Down Tilt
		","
		7
		","
		27
		","
		--
		","
		--
		","
		8.0
		","
		7
		","
		8
		","
		--
		","
		-12
		","
		7—8
		"
7,"<h1 class=""charactername"">
mii brawler
</h1>","
		Dash Attack
		","
		6
		","
		35
		","
		--
		","
		--
		","
		11.0/6.0
		","
		8/6
		","
		10/6
		","
		Early/Late
		","
		-19
		","
		6—9(10—17)
		"
8,"<h1 class=""charactername"">
mii brawler
</h1>","
		Forward Smash
		","
		17
		","
		67
		","
		--
		","
		Charge hold is frame 5
		","
		18.0
		","
		15
		","
		12
		","
		--
		","
		-38
		","
		17—18
		"
9,"<h1 class=""charactername"">
mii brawler
</h1>","
		Up Smash
		","
		8
		","
		47
		","
		--
		","
		Legs intangibile on frame 8-11. Charge hold is frame 3
		","
		14.0/10.0
		","
		11/9
		","
		10/7
		","
		Early/Late
		","
		-29
		","
		8—12(13—14)
		"
