,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
				Ledge Hang
			","
		16
		","
		97
		","
		11-19
		","
		Invulnerable on frame 3-21	
		","
		5.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		11—12
		"
1,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Jab
		","
		4
		","
		15
		","
		--
		","
		Transitions to rapid jab as early as 7.
		","
		3.0
		","
		7
		","
		4
		","
		--
		","
		-7
		","
		4—5
		"
2,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Rapid Jab
		","
		5/11/17...
		","
		--
		","
		--
		","
		--
		","
		0.8
		","
		4
		","
		-
		","
		--
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Rapid Jab Finisher
		","
		2
		","
		34
		","
		--
		","
		--
		","
		3.0
		","
		11
		","
		4
		","
		--
		","
		-28
		","
		2
		"
4,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Forward Tilt
		","
		8
		","
		37
		","
		--
		","
		--
		","
		12.0
		","
		9
		","
		11
		","
		--
		","
		-18
		","
		8—9(10—20)
		"
5,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Up Tilt
		","
		10/20
		","
		33
		","
		--
		","
		--
		","
		7.0/7.0
		","
		7/7
		","
		7/7
		","
		--
		","
		-16/-6
		","
		10—12/20—22
		"
6,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Down Tilt
		","
		6
		","
		42
		","
		--
		","
		Can only hit grounded opponents. More info.
","
		9.0
		","
		7
		","
		9
		","
		--
		","
		-27
		","
		6—8
		"
7,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Dash Attack
		","
		6
		","
		38
		","
		--
		","
		--
		","
		10.0/6.5
		","
		8/6
		","
		10/7
		","
		Early/Late
		","
		-21
		","
		6—9(10—19)
		"
8,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Forward Smash
		","
		17
		","
		42
		","
		--
		","
		Charge hold is frame 7
		","
		14.0/18.0
		","
		10/11
		","
		10/12
		","
		Close/Far
		","
		-15/-13
		","
		17—18
		"
9,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Up Smash
		","
		21
		","
		38
		","
		--
		","
		Invincible on frame 21-25. Charge hold is frame 15
		","
		16.0
		","
		10
		","
		11
		","
		--
		","
		-6
		","
		21—25
		"
10,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Down Smash
		","
		12
		","
		37
		","
		--
		","
		Charge hold is frame 6, hammer heads ground the opponent.
		","
		13.0/15.0
		","
		9/10
		","
		9/10
		","
		Close/Far
		","
		-16/-15
		","
		12—16
		"
11,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Neutral Air
		","
		7/12/17/22
		","
		42
		","
		7
		","
		Autocancels on frame 1-2 and 40 onward
		","
		3.0/4.0
		","
		5/11
		","
		2/3
		","
		Multi/Final
		","
		-5/-4
		","
		7—10/12—15/17—20/22—23
		"
12,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Forward Air
		","
		10/44
		","
		47
		","
		17
		","
		Bomb leaves his hands on 14, exploding automatically on 44 or upon touching ground. Autocancels on frame 42 onward. Advantage assumes landing on the same frame as bomb.
		","
		3.0/12.0
		","
		5/9
		","
		2/5
		","
		--
		","
		-3
		","
		10—13/**
		"
13,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Back Air
		","
		10/14/18/22
		","
		39
		","
		18
		","
		Landing hit on frame 1. Autocancels on frame 1-9 and 38 onward. The turtle's name is Augustus Philippe. 
		","
		2.0/3.0/3.0
		","
		4/13/5
		","
		2/2/4
		","
		Multi/Final/landing
		","
		-13
		","
		10—13/14—17/18—21/22/1
		"
14,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Up Air
		","
		9/15/21/27/33/37
		","
		42
		","
		12
		","
		Attack is a projectile. Autocancels on frame 44 onward
		","
		1.7/3.0
		","
		3/3
		","
		0/0
		","
		Multi/Final 
		","
		**
		","
		9/15/21/27/33/37—41
		"
15,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Down Air
		","
		12
		","
		49
		","
		22
		","
		landing hit on frame 1. Autocancels on frame 1-5 and 50 onward
		","
		11.0/3.5
		","
		8/5
		","
		4/4
		","
		Meteor/Late/Landing
		","
		-17
		","
		12—13/14—38/1—2
		"
16,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Neutral B (Chef)
		","
		18
		","
		54
		","
		--
		","
		Projectile and melee attack generate on same frame. Generates new sausage every 32 frames
		","
		5.0/13.0
		","
		6/7
		","
		3/8
		","
		Sausage/Pan
		","
		-28
		","
		18—20/**
		"
17,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Side B (Judge)
		","
		16 
		","
		49
		","
		--
		","
		Judge 1: Deals 12.0 recoil and no knockback.
		Judge 3: Deals bonus shield damage.
		Judge 5: Hits on frame 16/19/22/25.
		Judge 7: Spawns three food items.
		Judge 8: Freezes the opponent.
		","
		1: 2.0, 2: 4.0, 3: 6.0, 4: 8.0, 5: 3.0, 6: 12.0, 7: 14.0, 8: 13.0, 9: 32.0
		","
		4, 5, 6, 7, 7, 9, 10, 9, 21
		","
		3, 5, 6, 8, 4, 11, 13, 12, 27
		","
		--
		","
		-30, -28, -27, -25, -20, -22, -20, -21, -6
		","
		16—23 (Judge 5: 16—18/19—21/22—24/25—27)
		"
18,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Up B (Fire)
		","
		3/9
		","
		--
		","
		7
		","
		Invulnerable frame 5-13 Takes 7 frames to exit parachute by pressing down and avoiding landing lag. Can cancel directly with attacks as well. Opens parachute on frame 37.
		","
		3.0/6.0
		","
		7/6
		","
		4/6
		","
		Early/Late
		","
		**
		","
		3—4/9—18
		"
19,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Down B (Oil Panic)
		","
		6 (Start of Absorb/Reflect)
		","
		43
		","
		--
		","
		Begins absorbing/reflecting on frame 6. Takes 13 frames to put away bucket after extended usage. Has a 2x Damage Multiplier per unit. Maximum Damage of 16% per unit, this is also the minimum damage output. If an attack deals more than 10% it fills 2 Units, 20% for 3. Takes 6F to turn around.
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		6—30 (absorb)
		"
20,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Oil Panic, Overload
		","
		2
		","
		49
		","
		--
		","
		Successful absorbs incur a 24 frame animation that is completely invulnerable.
		","
		16.0—48.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		2—7(8—14/15—26)
		"
21,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Grab
		","
		6
		","
		34
		","
		--
		","
		--		
		","
		--
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		6—7
		"
22,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Dash Grab
		","
		9
		","
		42
		","
		--
		","
		--		
		","
		--
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		9—10
		"
23,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Pivot Grab
		","
		10
		","
		37
		","
		--
		","
		--		
		","
		--
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
24,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Pummel
		","
		1
		","
		19
		","
		Total frames includes 13 frames of hitlag.
		","
		--		
		","
		1.3
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
25,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Forward Throw
		","
		26
		","
		40
		","
		--
		","
		--		
		","
		8.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
26,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Backward Throw
		","
		26
		","
		40
		","
		--
		","
		--		
		","
		8.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
27,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Up Throw
		","
		26
		","
		40
		","
		--
		","
		--		
		","
		12.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
28,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Down Throw
		","
		35
		","
		49
		","
		--
		","
		--		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
29,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Spot Dodge
		","
		35
		","
		21/25
		","
		--
		","
		Invulnerable on frame 3-17.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
30,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Forward Roll
		","
		35
		","
		30
		","
		--
		","
		Invulnerable on frame 4-15.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
31,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Backward Roll
		","
		35
		","
		35
		","
		--
		","
		Invulnerable on frame 5-16.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
32,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Neutral Air Dodge
		","
		35
		","
		59
		","
		10
		","
		Invulnerable on frame 3-28.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
33,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Air Dodge, Down
		","
		35
		","
		84
		","
		11-19
		","
		Invulnerable on frame 3-21.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
34,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Air Dodge, Diagonally Down
		","
		35
		","
		93
		","
		11-19
		","
		Invulnerable on frame 3-21.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
35,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Air Dodge, Left/Right
		","
		35
		","
		100
		","
		11-19
		","
		Invulnerable on frame 3-21.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
36,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Air Dodge, Diagonally Up
		","
		35
		","
		123
		","
		11-19
		","
		Invulnerable on frame 3-21.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
37,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
		Air Dodge, Up
		","
		35
		","
		132
		","
		11-19
		","
		Invulnerable on frame 3-21.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
38,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
			Ledge Grab
		","
		35
		","
		132
		","
		11-19
		","
		Invulnerable on frame 3-21.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
39,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
			Ledge Grab
		","
		35
		","
		132
		","
		11-19
		","
		Invulnerable on frame 3-21.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
40,"<h1 class=""charactername"">
Mr. Game &amp; Watch
</h1>","
				Ledge Hang
			","
		35
		","
		132
		","
		11-19
		","
		Invulnerable on frame 3-21.		
		","
		4.0
		","
		**
		","
		**
		","
		Early/Late/Later
		","
		**
		","
		10—11
		"
