,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
ness
</h1>","
		Jab 1
		","
		3
		","
		19
		","
		--
		","
		Transitions to Jab 2 as early as frame 5
		","
		2.0
		","
		8
		","
		3
		","
		--
		","
		-13
		","
		3
		"
1,"<h1 class=""charactername"">
ness
</h1>","
		Jab 2
		","
		3
		","
		19
		","
		--
		","
		Transitions to Jab 3 as early as frame 6
		","
		1.5
		","
		5
		","
		3
		","
		--
		","
		-13
		","
		3
		"
2,"<h1 class=""charactername"">
ness
</h1>","
		Jab 3
		","
		6
		","
		29
		","
		--
		","
		--
		","
		4.0
		","
		11
		","
		5
		","
		--
		","
		-18
		","
		6—7
		"
3,"<h1 class=""charactername"">
ness
</h1>","
		Forward Tilt
		","
		7
		","
		34
		","
		--
		","
		--
		","
		10.0
		","
		8
		","
		10
		","
		--
		","
		-17
		","
		7—10
		"
4,"<h1 class=""charactername"">
ness
</h1>","
		Up Tilt
		","
		5
		","
		28
		","
		--
		","
		--
		","
		7.0/5.0
		","
		7/6
		","
		7/6
		","
		Close/Far
		","
		-16/-17
		","
		5—6(7—8)
		"
5,"<h1 class=""charactername"">
ness
</h1>","
		Down Tilt
		","
		3
		","
		11
		","
		--
		","
		Can transition to another Dtilt as early as frame 6.
		","
		4.5/3.0
		","
		5/5
		","
		5/4
		","
		Close/Far
		","
		-3/-4
		","
		3—4
		"
6,"<h1 class=""charactername"">
ness
</h1>","
		Dash Attack
		","
		8/15/23
		","
		39
		","
		--
		","
		--
		","
		4.0/2.0/4.0
		","
		5/4/9
		","
		5/3/5
		","
		--
		","
		-12
		","
		8/15—16/23—24
		"
7,"<h1 class=""charactername"">
ness
</h1>","
		Forward Smash
		","
		21
		","
		54
		","
		--
		","
		Reflects on frame 18-30. Charge hold is frame 10.
		","
		18.0/20.0/22.0
		","
		11/12/15
		","
		12/13/14
		","
		close/med/far
		","
		-21/-20/-19
		","
		21—22
		"
8,"<h1 class=""charactername"">
ness
</h1>","
		Up Smash
		","
		10
		","
		52
		","
		--
		","
		Charge hold on frame 10 and also creates a hitbox hitting every 6 frames
		","
		13.0
		","
		4/9
		","
		2/9
		","
		charging/launch
		","
		-33
		","
		10/**
		"
9,"<h1 class=""charactername"">
ness
</h1>","
		Down Smash
		","
		12/17/23/31
		","
		45
		","
		--
		","
		Charge hold on frame 12 and also creates a hitbox hitting every 6 frames
		","
		1.0/10.0
		","
		4/8
		","
		2/7
		","
		weak/strong
		","
		-21/-7
		","
		12—15(17—18)/23—25(31—32)
		"
