,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
pac man
</h1>","
		Jab 1
		","
		4
		","
		-12
		","
		4
		"
1,"<h1 class=""charactername"">
pac man
</h1>","
		Jab 2
		","
		4
		","
		-14
		","
		4
		"
2,"<h1 class=""charactername"">
pac man
</h1>","
		Jab 3
		","
		4
		","
		-24
		","
		4—5
		"
3,"<h1 class=""charactername"">
pac man
</h1>","
		Forward Tilt
		","
		5
		","
		-17
		","
		5—7
		"
4,"<h1 class=""charactername"">
pac man
</h1>","
		Up Tilt
		","
		7
		","
		-10
		","
		7—10
		"
5,"<h1 class=""charactername"">
pac man
</h1>","
		Down Tilt
		","
		7
		","
		-13
		","
		7—9
		"
6,"<h1 class=""charactername"">
pac man
</h1>","
		Dash Attack
		","
		10/19/28/37
		","
		-3
		","
		10—11/19—20/28—29/37
		"
7,"<h1 class=""charactername"">
pac man
</h1>","
		Forward Smash
		","
		16
		","
		-25
		","
		16—18(19—29)
		"
8,"<h1 class=""charactername"">
pac man
</h1>","
		Up Smash
		","
		11/15
		","
		-24
		","
		11/15—17(18—28)
		"
9,"<h1 class=""charactername"">
pac man
</h1>","
		Down Smash
		","
		15
		","
		-30
		","
		15—17(18—28)
		"
10,"<h1 class=""charactername"">
pac man
</h1>","
		Neutral Air
		","
		3
		","
		-3/-4
		","
		3—5(6—9/10—19)
		"
11,"<h1 class=""charactername"">
pac man
</h1>","
		Forward Air
		","
		5
		","
		-6
		","
		5—8
		"
12,"<h1 class=""charactername"">
pac man
</h1>","
		Back Air
		","
		9
		","
		-8/-10
		","
		9—11(12—16)
		"
13,"<h1 class=""charactername"">
pac man
</h1>","
		Up Air
		","
		9
		","
		-6
		","
		9—16
		"
14,"<h1 class=""charactername"">
pac man
</h1>","
		Down Air
		","
		6/13/20/27
		","
		-10/-9
		","
		6—7/13—14/20—21/27—28
		"
15,"<h1 class=""charactername"">
pac man
</h1>","
		Neutral B (Bonus Fruit, Throw)
		","
		12(+7)
		","
		-22/-20/-19/-17/-16/-18/-19/-14
		","
		**
		"
16,"<h1 class=""charactername"">
pac man
</h1>","
		Side B (Power Pellet (Travel | Dash))
		","
		24—42 | 35—53
		","
		-42 to -54
		","
		**
		"
17,"<h1 class=""charactername"">
pac man
</h1>","
		Up B (Pac-Jump)
		","
		4
		","
		**
		","
		4—11(12—16/17—21)
		"
18,"<h1 class=""charactername"">
pac man
</h1>","
		Down B (Fire Hydrant)
		","
		12
		","
		-11
		","
		**
		"
19,"<h1 class=""charactername"">
pac man
</h1>","
		Grab
		","
		12
		","
		-11
		","
		12—33
		"
20,"<h1 class=""charactername"">
pac man
</h1>","
		Dash Grab
		","
		14
		","
		-11
		","
		14—35
		"
21,"<h1 class=""charactername"">
pac man
</h1>","
		Pivot Grab
		","
		15
		","
		-11
		","
		15—36
		"
22,"<h1 class=""charactername"">
pac man
</h1>","
		Pummel
		","
		1
		","
		-11
		","
		15—36
		"
23,"<h1 class=""charactername"">
pac man
</h1>","
		Forward Throw
		","
		13
		","
		-11
		","
		15—36
		"
24,"<h1 class=""charactername"">
pac man
</h1>","
		Backward Throw
		","
		25
		","
		-11
		","
		15—36
		"
25,"<h1 class=""charactername"">
pac man
</h1>","
		Up Throw
		","
		18
		","
		-11
		","
		15—36
		"
26,"<h1 class=""charactername"">
pac man
</h1>","
		Down Throw
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
27,"<h1 class=""charactername"">
pac man
</h1>","
		Spot Dodge
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
28,"<h1 class=""charactername"">
pac man
</h1>","
		Forward Roll
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
29,"<h1 class=""charactername"">
pac man
</h1>","
		Backward Roll
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
30,"<h1 class=""charactername"">
pac man
</h1>","
		Neutral Air Dodge
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
31,"<h1 class=""charactername"">
pac man
</h1>","
		Air Dodge, Down
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
32,"<h1 class=""charactername"">
pac man
</h1>","
		Air Dodge, Diagonally Down
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
33,"<h1 class=""charactername"">
pac man
</h1>","
		Air Dodge, Left/Right
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
34,"<h1 class=""charactername"">
pac man
</h1>","
		Air Dodge, Diagonally Up
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
35,"<h1 class=""charactername"">
pac man
</h1>","
		Air Dodge, Up
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
36,"<h1 class=""charactername"">
pac man
</h1>","
			Ledge Grab
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
37,"<h1 class=""charactername"">
pac man
</h1>","
			Ledge Grab
		","
		16/24/32/34
		","
		-11
		","
		15—36
		"
38,"<h1 class=""charactername"">
pac man
</h1>","
				Ledge Hang
			","
		16/24/32/34
		","
		-11
		","
		15—36
		"
