,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
palutena
</h1>","
		Jab 1
		","
		8
		","
		24
		","
		--
		","
		Transitions to rapid jab as early as frame 13
		","
		3.0
		","
		8
		","
		4
		","
		--
		","
		-12
		","
		8—9
		"
1,"<h1 class=""charactername"">
palutena
</h1>","
		Rapid Jab
		","
		4/7/10...
		","
		--
		","
		--
		","
		--
		","
		0.6
		","
		4
		","
		-
		","
		--
		","
		--
		","
		4/7/10...
		"
2,"<h1 class=""charactername"">
palutena
</h1>","
		Rapid Jab Finisher
		","
		3
		","
		39
		","
		--
		","
		--
		","
		3.5
		","
		11
		","
		4
		","
		--
		","
		-32
		","
		3
		"
3,"<h1 class=""charactername"">
palutena
</h1>","
		Forward Tilt
		","
		14/24
		","
		59
		","
		--
		","
		Right-arm intangible 14—35
		","
		6.0/7.0
		","
		6/7
		","
		6/7
		","
		--
		","
		-28
		","
		14—23/24—35
		"
4,"<h1 class=""charactername"">
palutena
</h1>","
		Up Tilt
		","
		8...
		","
		55
		","
		--
		","
		--
		","
		1.4/4.5
		","
		4/7
		","
		3/4
		","
		Multi/Final
		","
		-27
		","
		8—22/24—25 (rehit: 3)
		"
5,"<h1 class=""charactername"">
palutena
</h1>","
		Down Tilt
		","
		14
		","
		39
		","
		--
		","
		--
		","
		8.5 (grounded opponents) // 5.0 (aerial opponents)
		","
		7
		","
		8
		","
		--
		","
		-17
		","
		14—27
		"
6,"<h1 class=""charactername"">
palutena
</h1>","
		Dash Attack
		","
		6
		","
		37
		","
		--
		","
		Head, torso, and arm invincibility on frame 5-6. Arm invincibility continues frame 7-16
		","
		11.0/7.0
		","
		8/7
		","
		10/7
		","
		Early/Late
		","
		-21
		","
		6—9/10—17
		"
7,"<h1 class=""charactername"">
palutena
</h1>","
		Forward Smash
		","
		18
		","
		63
		","
		--
		","
		Charge hold is frame 10
		","
		16.0/13.0
		","
		10/9
		","
		11/9
		","
		Close/Far
		","
		-34/-36
		","
		18—20
		"
8,"<h1 class=""charactername"">
palutena
</h1>","
		Up Smash
		","
		18
		","
		63
		","
		--
		","
		Charge hold is frame 12
		","
		16.0/9.0
		","
		10/9
		","
		11/8
		","
		Close/Far
		","
		-34/-37
		","
		18—35
		"
9,"<h1 class=""charactername"">
palutena
</h1>","
		Down Smash
		","
		17
		","
		68
		","
		--
		","
		Charge hold is frame 13
		","
		15.0/13.0
		","
		14/9
		","
		10/9
		","
		Close/Far
		","
		-41/-42
		","
		17—19
		"
10,"<h1 class=""charactername"">
palutena
</h1>","
		Neutral Air
		","
		5...
		","
		51
		","
		12
		","
		Autocancels on frame 1-3 and 40 onward. Final hitbox has an inner and outer circle as of 7.0.0 -- inner circle only hits aerial opponents, outer circle only hits grounded opponents. 
		","
		1.4/5.0
		","
		4/9
		","
		2/3
		","
		Multi/Final
		","
		-10/-9
		","
		5—27/29—30 (rehit: 4)
		"
11,"<h1 class=""charactername"">
palutena
</h1>","
		Forward Air
		","
		9
		","
		44
		","
		7
		","
		Autocancels on frame 1-3 and 24 onward
		","
		10.0
		","
		8
		","
		4
		","
		--
		","
		-3
		","
		9—11
		"
12,"<h1 class=""charactername"">
palutena
</h1>","
		Back Air
		","
		8
		","
		49
		","
		10
		","
		Arm invinicibility on frame 7-10. Autocancels on frame 1-2 and 35 onward
		","
		12.0
		","
		11
		","
		5
		","
		--
		","
		-5
		","
		8—10
		"
13,"<h1 class=""charactername"">
palutena
</h1>","
		Up Air
		","
		10...
		","
		51
		","
		14
		","
		Autocancels on frame 1-2 and 42 onward
		","
		1.0/5.0
		","
		4/9
		","
		2/3
		","
		Multi/Final
		","
		-12/-11
		","
		10—22/24—25 (rehit: 3)
		"
14,"<h1 class=""charactername"">
palutena
</h1>","
		Down Air
		","
		10
		","
		58
		","
		11
		","
		Autocancels on frame 1-2 and 48 onward
		","
		11.0
		","
		13
		","
		4
		","
		--
		","
		-7
		","
		10—11
		"
15,"<h1 class=""charactername"">
palutena
</h1>","
		Neutral B (Autoreticle)
		","
		24/30/36
		","
		67
		","
		--
		","
		Targets on frame 8
		","
		3.5
		","
		5
		","
		2
		","
		--
		","
		-24
		","
		24/30/36
		"
16,"<h1 class=""charactername"">
palutena
</h1>","
		Side B (Explosive Flame)
		","
		28/33/38/43/48/53/57
		","
		71
		","
		--
		","
		Area of explosion dictated on frame 1. Smash input for farther distance
		","
		1.5/5.5
		","
		4/9
		","
		-/3
		","
		Multi/Final
		","
		-2
		","
		28/33/38/43/48/53/57
		"
17,"<h1 class=""charactername"">
palutena
</h1>","
		Up B (Warp)
		","
		**
		","
		67
		","
		22
		","
		Invulnerable on frame 16-32. Total frames refers to ending on the ground. 
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		**
		"
18,"<h1 class=""charactername"">
palutena
</h1>","
		Down B (Counter)
		","
		7 (Start of Counter/Reflect)
		","
		70
		","
		--
		","
		Invulnerable on frame 6. Counters/Reflects on frame 7-34
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		**
		"
19,"<h1 class=""charactername"">
palutena
</h1>","
		Counter, Attack/Reflect
		","
		4/--
		","
		36/34
		","
		--
		","
		Attack: Invulnerable on frame 1-5 in addition to counter freeze frames.
		Reflect: Barrier lasts until frame 40 for additional reflects.
		","
		--
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		4—6
		"
20,"<h1 class=""charactername"">
palutena
</h1>","
		Grab
		","
		7
		","
		39
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		7—8
		"
21,"<h1 class=""charactername"">
palutena
</h1>","
		Dash Grab
		","
		10
		","
		47
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		10—11
		"
22,"<h1 class=""charactername"">
palutena
</h1>","
		Pivot Grab
		","
		11
		","
		42
		","
		--
		","
		--		
		","
		--
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
23,"<h1 class=""charactername"">
palutena
</h1>","
		Pummel
		","
		1
		","
		19
		","
		--
		","
		Total frames includes 13 frames of hitlag
		","
		1.3
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
24,"<h1 class=""charactername"">
palutena
</h1>","
		Forward Throw
		","
		20
		","
		44
		","
		--
		","
		--		
		","
		9.0
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
25,"<h1 class=""charactername"">
palutena
</h1>","
		Backward Throw
		","
		20
		","
		54
		","
		--
		","
		--		
		","
		10.0
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
26,"<h1 class=""charactername"">
palutena
</h1>","
		Up Throw
		","
		17
		","
		54
		","
		--
		","
		--	
		","
		8.0
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
27,"<h1 class=""charactername"">
palutena
</h1>","
		Down Throw
		","
		25
		","
		45
		","
		--
		","
		--	
		","
		5.0
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
28,"<h1 class=""charactername"">
palutena
</h1>","
		Spot Dodge
		","
		25
		","
		20/25
		","
		--
		","
		Invulnerable on frame 3-17
		","
		5.0
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
29,"<h1 class=""charactername"">
palutena
</h1>","
		Forward Roll
		","
		25
		","
		29
		","
		--
		","
		Invulnerable on frame 4-15
		","
		5.0
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
30,"<h1 class=""charactername"">
palutena
</h1>","
		Backward Roll
		","
		25
		","
		34
		","
		--
		","
		Invulnerable on frame 5-16
		","
		5.0
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
31,"<h1 class=""charactername"">
palutena
</h1>","
		Neutral Air Dodge
		","
		25
		","
		49
		","
		10
		","
		Invulnerable on frame 3-30
		","
		5.0
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
32,"<h1 class=""charactername"">
palutena
</h1>","
		Air Dodge, Down
		","
		25
		","
		70
		","
		11-19
		","
		Invulnerable on frame 3-21		
		","
		5.0
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
33,"<h1 class=""charactername"">
palutena
</h1>","
		Air Dodge, Diagonally Down
		","
		25
		","
		77
		","
		11-19
		","
		Invulnerable on frame 3-21	
		","
		5.0
		","
		--
		","
		--
		","
		Attack/Reflect
		","
		--
		","
		11—12
		"
