,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
pichu
</h1>","
		Jab
		","
		2
		","
		16
		","
		--
		","
		Transitions to next Jab as early as frame 7.
		","
		1.2
		","
		4
		","
		3
		","
		--
		","
		-11
		","
		2—3
		"
1,"<h1 class=""charactername"">
pichu
</h1>","
		Forward Tilt
		","
		5
		","
		24
		","
		--
		","
		1.2 base recoil damage
		","
		8.0
		","
		11
		","
		8
		","
		--
		","
		-11
		","
		5—12
		"
2,"<h1 class=""charactername"">
pichu
</h1>","
		Up Tilt
		","
		7
		","
		23
		","
		--
		","
		--
		","
		5.0
		","
		6
		","
		6
		","
		--
		","
		-10
		","
		7—14
		"
3,"<h1 class=""charactername"">
pichu
</h1>","
		Down Tilt
		","
		7
		","
		18
		","
		--
		","
		--
		","
		6.0
		","
		6
		","
		7
		","
		--
		","
		-4
		","
		7—8
		"
4,"<h1 class=""charactername"">
pichu
</h1>","
		Dash Attack
		","
		6
		","
		34
		","
		--
		","
		--
		","
		8.0/6.0
		","
		7/6
		","
		8/7
		","
		Early/Late
		","
		-20
		","
		6—9/10—15
		"
5,"<h1 class=""charactername"">
pichu
</h1>","
		Forward Smash
		","
		16/19/22/25/28/31
		","
		53
		","
		--
		","
		Charge hold is frame 13. 2.4 base recoil damage
		","
		2.0/8.0
		","
		7/11
		","
		-/6
		","
		Multi/Final
		","
		-16
		","
		16—18/19—21/22—24/25—27/28—30/31—33
		"
6,"<h1 class=""charactername"">
pichu
</h1>","
		Up Smash
		","
		9
		","
		40
		","
		--
		","
		Ear intangibility on frame 9-11. Charge hold is frame 4.
		","
		14.0
		","
		10
		","
		10
		","
		--
		","
		-21
		","
		9—11
		"
7,"<h1 class=""charactername"">
pichu
</h1>","
		Down Smash
		","
		8/11/15/19/23
		","
		50
		","
		--
		","
		Invulnerable on frame 7-10. Charge hold is frame 4. 1.5 base recoil damage
		","
		1.5/8.0
		","
		7/11
		","
		2/6
		","
		Multi/Final
		","
		-21
		","
		8—9/11—12/15—16/19—20/23—24
		"
8,"<h1 class=""charactername"">
pichu
</h1>","
		Neutral Air
		","
		3
		","
		39
		","
		7
		","
		Autocancels on frame 1-2 and 35 onward
		","
		7.0/5.0
		","
		7/6
		","
		3/3
		","
		Early/Late
		","
		-4/-4
		","
		3—9/10—27
		"
9,"<h1 class=""charactername"">
pichu
</h1>","
		Forward Air
		","
		10/14/18/22
		","
		39
		","
		12
		","
		Autocancels on frame 1-9 and 34 onward. 1.8 base recoil damage
		","
		3.5/3.5
		","
		8/8
		","
		2/2
		","
		Multi/Final
		","
		-10/-10
		","
		10—12/14—16/18—20/22—23
		"
10,"<h1 class=""charactername"">
pichu
</h1>","
		Back Air
		","
		5/11/15/19/26/30
		","
		54
		","
		18
		","
		Autocancels on frame 1-4 and 38 onward. 1.8 base recoil damage
		","
		2.0/2.5
		","
		7/7
		","
		2/2
		","
		Multi/Final
		","
		-16/-16
		","
		5—6/11—12/15—16/19—20/26—27/30—31
		"
11,"<h1 class=""charactername"">
pichu
</h1>","
		Up Air
		","
		4
		","
		26
		","
		11
		","
		Autocancels on frame 1-3 and 18 onward
		","
		4.0
		","
		5
		","
		3
		","
		--
		","
		-8
		","
		4—9
		"
12,"<h1 class=""charactername"">
pichu
</h1>","
		Down Air
		","
		14
		","
		47
		","
		22
		","
		Ear intangibility on frame 14-17. Landing hit on frame 1. Autocancels on frame 32 onward. Recoil damage is 1.8 when hitbox comes out and 0.5 on landing
		","
		13.0/12.0/4.0
		","
		14/13/8
		","
		5/5/5
		","
		Early/Late/Landing
		","
		-16
		","
		14—17/18—26/1—2
		"
13,"<h1 class=""charactername"">
pichu
</h1>","
		Neutral B (Thunderjolt)
		","
		18
		","
		51
		","
		--
		","
		0.8 base recoil damage. Grounded has a life of 84 frames, aerial 100.
		","
		10.0/7.0—5.0
		","
		12/10—9
		","
		4/3—3
		","
		Projectile/Arc
		","
		-29/-30
		","
		18—47/48—77/78—101
		"
14,"<h1 class=""charactername"">
pichu
</h1>","
		Side B (Skull Bash)
		","
		17
		","
		96/86
		","
		--
		","
		25 on hit endlag. Second total frames is from the air. Startup is 5 from charge release. 2.1 base recoil damage.
		","
		4.0—33.0
		","
		8—18
		","
		5—28
		","
		--
		","
		-20 to +3
		","
		17—52 (4—39 on charge release)
		"
15,"<h1 class=""charactername"">
pichu
</h1>","
		Up B (Agility)
		","
		**
		","
		53/70
		","
		24
		","
		Total frames is for one/two dashes ending on the ground. 0.9 base recoil damage on first dash, and 1.4 on second. Can grab ledges as early as frame 14.
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		(No Hitbox)
		"
16,"<h1 class=""charactername"">
pichu
</h1>","
		Down B (Thunder)
		","
		9/26
		","
		86/66
		","
		--
		","
		First total frames is if the bolt misses. Invulnerable on frame 26-35 if bolt hits and incurs 4.2 base recoil damage
		","
		4.0/14.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9/26
		"
17,"<h1 class=""charactername"">
pichu
</h1>","
		Grab
		","
		6
		","
		31
		","
		--
		","
		--		
		","
		--
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		6—7
		"
18,"<h1 class=""charactername"">
pichu
</h1>","
		Dash Grab
		","
		8
		","
		39
		","
		--
		","
		--		
		","
		--
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		8—9
		"
19,"<h1 class=""charactername"">
pichu
</h1>","
		Pivot Grab
		","
		9
		","
		36
		","
		--
		","
		--		
		","
		--
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
20,"<h1 class=""charactername"">
pichu
</h1>","
		Pummel
		","
		1
		","
		18
		","
		--
		","
		0.1 base recoil damage. Total frames includes 13 frames of hitlag
		","
		1.4
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
21,"<h1 class=""charactername"">
pichu
</h1>","
		Forward Throw
		","
		11/15/19/23/27
		","
		43
		","
		--
		","
		0.5 base recoil damage		
		","
		1.5/6.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
22,"<h1 class=""charactername"">
pichu
</h1>","
		Backward Throw
		","
		26
		","
		49
		","
		--
		","
		--		
		","
		9.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
23,"<h1 class=""charactername"">
pichu
</h1>","
		Up Throw
		","
		14/15
		","
		35
		","
		--
		","
		--		
		","
		5.0/5.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
24,"<h1 class=""charactername"">
pichu
</h1>","
		Down Throw
		","
		14/19
		","
		39
		","
		--
		","
		--		
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
25,"<h1 class=""charactername"">
pichu
</h1>","
		Spot Dodge
		","
		14/19
		","
		19/24
		","
		--
		","
		Invulnerable on frame 3-16
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
26,"<h1 class=""charactername"">
pichu
</h1>","
		Forward Roll
		","
		14/19
		","
		28
		","
		--
		","
		Invulnerable on frame 4-14
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
27,"<h1 class=""charactername"">
pichu
</h1>","
		Backward Roll
		","
		14/19
		","
		33
		","
		--
		","
		Invulnerable on frame 4-15
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
28,"<h1 class=""charactername"">
pichu
</h1>","
		Neutral Air Dodge
		","
		14/19
		","
		42
		","
		10
		","
		Invulnerable on frame 2-26
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
29,"<h1 class=""charactername"">
pichu
</h1>","
		Air Dodge, Down
		","
		14/19
		","
		60
		","
		11-19
		","
		Invulnerable on frame 2-19		
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
30,"<h1 class=""charactername"">
pichu
</h1>","
		Air Dodge, Diagonally Down
		","
		14/19
		","
		65
		","
		11-19
		","
		Invulnerable on frame 2-19	
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
31,"<h1 class=""charactername"">
pichu
</h1>","
		Air Dodge, Left/Right
		","
		14/19
		","
		70
		","
		11-19
		","
		Invulnerable on frame 2-19
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
32,"<h1 class=""charactername"">
pichu
</h1>","
		Air Dodge, Diagonally Up
		","
		14/19
		","
		80
		","
		11-19
		","
		Invulnerable on frame 2-19
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
33,"<h1 class=""charactername"">
pichu
</h1>","
		Air Dodge, Up
		","
		14/19
		","
		88
		","
		11-19
		","
		Invulnerable on frame 2-19
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
34,"<h1 class=""charactername"">
pichu
</h1>","
			Ledge Grab
		","
		14/19
		","
		88
		","
		11-19
		","
		Invulnerable on frame 2-19
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
35,"<h1 class=""charactername"">
pichu
</h1>","
			Ledge Grab
		","
		14/19
		","
		88
		","
		11-19
		","
		Invulnerable on frame 2-19
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
36,"<h1 class=""charactername"">
pichu
</h1>","
				Ledge Hang
			","
		14/19
		","
		88
		","
		11-19
		","
		Invulnerable on frame 2-19
		","
		4.0/4.0
		","
		8/15
		","
		2/13
		","
		Projectile/Discharge
		","
		-27
		","
		9—10
		"
