,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Jab 1
		","
		4
		","
		22
		","
		--
		","
		Transitions to jab 2 as early as frame 7
		","
		2.5
		","
		7
		","
		4
		","
		--
		","
		-14
		","
		4—5
		"
1,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Jab 2
		","
		5
		","
		25
		","
		--
		","
		Transitions to jab 3 as early as frame 8 
		","
		2.5
		","
		6
		","
		4
		","
		--
		","
		-16
		","
		5—6
		"
2,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Jab 3
		","
		7
		","
		33
		","
		--
		","
		--
		","
		5.0
		","
		9
		","
		6
		","
		--
		","
		-20
		","
		7—8
		"
3,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Forward Tilt
		","
		12
		","
		37
		","
		--
		","
		--
		","
		7.0/11.0
		","
		7/8
		","
		7/10
		","
		Close/Far
		","
		-18/-15
		","
		12—13
		"
4,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Up Tilt
		","
		9
		","
		33
		","
		--
		","
		--
		","
		8.0
		","
		7
		","
		8
		","
		--
		","
		-16
		","
		9—12
		"
5,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Down Tilt
		","
		9
		","
		30
		","
		--
		","
		--
		","
		10.0
		","
		10
		","
		10
		","
		--
		","
		-11
		","
		9—10
		"
6,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Dash Attack
		","
		10
		","
		39
		","
		--
		","
		--
		","
		13.0/10.0
		","
		9/8
		","
		17/14
		","
		Early/Late
		","
		-12
		","
		10—12/13—20
		"
7,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Forward Smash
		","
		22
		","
		69
		","
		--
		","
		Invulnerable on frame 20-24. Charge hold is frame 15
		","
		19.0/16.4
		","
		15/10
		","
		11/10
		","
		Close/Far
		","
		-36/-37
		","
		22/23—24
		"
8,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Up Smash
		","
		6/14
		","
		46
		","
		--
		","
		Charge hold is frame 2
		","
		5.0/11.0
		","
		6/8
		","
		4/8
		","
		Hit 1(Ground Only/Late) / Hit 2
		","
		-24
		","
		(6/7—9) / 14—19
		"
9,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Down Smash
		","
		14
		","
		60
		","
		--
		","
		Charge hold is frame 1
		","
		16.0
		","
		10
		","
		11
		","
		--
		","
		-35
		","
		14—16
		"
10,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Neutral Air
		","
		8
		","
		39
		","
		10
		","
		Autocancels on frame 1-3 and 31 onward 
		","
		9.0/12.0
		","
		7/9
		","
		4/5
		","
		Close/Far
		","
		-6/-5
		","
		8—20
		"
11,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Forward Air
		","
		8
		","
		45
		","
		19
		","
		Autocancels on frame 1-4 and 35 onward
		","
		12.0/13.0
		","
		9/9
		","
		5/5
		","
		Close/Far
		","
		-14/-14
		","
		8—9/10—12
		"
12,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Back Air
		","
		14
		","
		45
		","
		20
		","
		Autocancels on frame 1-3 and 44 onward
		","
		11.0/14.0/16.0
		","
		8/10/10
		","
		4/5/6
		","
		Close/far/farther
		","
		-16/-15/-14
		","
		14/15—16
		"
13,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Up Air
		","
		12
		","
		45
		","
		13
		","
		Head intangibility on frame 11-15. Autocancels on frame 1-3 and 38 onward
		","
		13.0
		","
		9
		","
		5
		","
		--
		","
		-8
		","
		12—15
		"
14,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Down Air
		","
		18
		","
		51
		","
		21
		","
		Autocancels on frame 1-5 and 42 onward
		","
		14.0/8.0
		","
		10/7
		","
		5/4
		","
		Early/Late
		","
		-16/-17
		","
		18—20/21—24
		"
15,"<h1 class=""charactername"">
Pokemon Trainer: Charizard
</h1>","
		Neutral B (Flamethrower)
		","
		19/26/33/40
		","
		70
		","
		--
		","
		Startup and total frames are the minimum. Endlag is 27 from extended use
		","
		2.0/1.0
		","
		4/4
		","
		2/2
		","
		Close/Far
		","
		-24
		","
		19—22/26—29/33—36/40—43
		"
