,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Jab 1
		","
		7
		","
		-17
		","
		7—8
		"
1,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Jab 2
		","
		5
		","
		-19
		","
		5—6
		"
2,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Rapid Jab
		","
		4/7/10...
		","
		--
		","
		4/7/10...
		"
3,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Rapid Jab Finisher
		","
		4
		","
		-32
		","
		4—5
		"
4,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Forward Tilt
		","
		10/12/14/16/18/20/22
		","
		-20
		","
		10/12/14/16/18/20/22
		"
5,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Up Tilt
		","
		7
		","
		-18
		","
		7—13
		"
6,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Down Tilt
		","
		4
		","
		-21
		","
		4—6
		"
7,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Dash Attack
		","
		4
		","
		-27
		","
		4—11/12—19
		"
8,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Forward Smash
		","
		15
		","
		-33
		","
		15—18/19—20
		"
9,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Up Smash
		","
		26
		","
		-21
		","
		26—29
		"
10,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Down Smash
		","
		13
		","
		-26/-25/-24
		","
		13—14
		"
11,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Neutral Air
		","
		7/10/13/16/19/22/25/28
		","
		-14/-14
		","
		7—26/28—29
		"
12,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Forward Air
		","
		14
		","
		-8
		","
		14—18
		"
13,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Back Air
		","
		7/13
		","
		-5/-4
		","
		7—9/13—15
		"
14,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Up Air
		","
		12
		","
		-6
		","
		12—13
		"
15,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Down Air
		","
		11
		","
		-9
		","
		11—12
		"
16,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Neutral B (Bullet Seed)
		","
		7/13/20/26/32/38...
		","
		-34
		","
		7—8/13/20/26/32/38...
		"
17,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Side B (Razor Leaf)
		","
		24
		","
		-14 
		","
		24-34/35-53/54-73
		"
18,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Up B (Vinewhip)
		","
		15
		","
		-22/-20
		","
		15—17
		"
19,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Down B (Pokemon Change)
		","
		--
		","
		--
		","
		**
		"
20,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Grab
		","
		13
		","
		--
		","
		13—14
		"
21,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Dash Grab
		","
		13
		","
		--
		","
		13—14
		"
22,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Pivot Grab
		","
		13
		","
		--
		","
		13—14
		"
23,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Pummel
		","
		1
		","
		--
		","
		13—14
		"
24,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Forward Throw
		","
		16/17
		","
		--
		","
		13—14
		"
25,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Backward Throw
		","
		20
		","
		--
		","
		13—14
		"
26,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Up Throw
		","
		20/21
		","
		--
		","
		13—14
		"
27,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Down Throw
		","
		19
		","
		--
		","
		13—14
		"
28,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Spot Dodge
		","
		19
		","
		--
		","
		13—14
		"
29,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Forward Roll
		","
		19
		","
		--
		","
		13—14
		"
30,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Backward Roll
		","
		19
		","
		--
		","
		13—14
		"
31,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Neutral Air Dodge
		","
		19
		","
		--
		","
		13—14
		"
32,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Air Dodge, Down
		","
		19
		","
		--
		","
		13—14
		"
33,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Air Dodge, Diagonally Down
		","
		19
		","
		--
		","
		13—14
		"
34,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Air Dodge, Left/Right
		","
		19
		","
		--
		","
		13—14
		"
35,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Air Dodge, Diagonally Up
		","
		19
		","
		--
		","
		13—14
		"
36,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
		Air Dodge, Up
		","
		19
		","
		--
		","
		13—14
		"
37,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
			Ledge Grab
		","
		19
		","
		--
		","
		13—14
		"
38,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
			Ledge Grab
		","
		19
		","
		--
		","
		13—14
		"
39,"<h1 class=""charactername"">
Pokemon Trainer: Ivysaur
</h1>","
				Ledge Hang
			","
		19
		","
		--
		","
		13—14
		"
