,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Jab 1
		","
		2
		","
		-11
		","
		2—3
		"
1,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Jab 2
		","
		4
		","
		-17
		","
		4—5
		"
2,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Jab 3
		","
		5
		","
		-21
		","
		5—6
		"
3,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Forward Tilt
		","
		5
		","
		-6
		","
		5—6
		"
4,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Up Tilt
		","
		5
		","
		-8
		","
		5—6
		"
5,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Down Tilt
		","
		8
		","
		-12
		","
		8—13
		"
6,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Dash Attack
		","
		8
		","
		-16
		","
		8—11/12—17
		"
7,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Forward Smash
		","
		20
		","
		-19
		","
		20—21
		"
8,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Up Smash
		","
		19/21
		","
		-35
		","
		19/21—22/(22—23/24—25)
		"
9,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Down Smash
		","
		18
		","
		-13
		","
		18—19/24—25
		"
10,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Neutral Air
		","
		4
		","
		-4/-5
		","
		4—6/7—26
		"
11,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Forward Air
		","
		5
		","
		-3/-3
		","
		5—6/7—14
		"
12,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Back Air
		","
		5...
		","
		-15
		","
		5—14/15—16 (rehit: 2)
		"
13,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Up Air
		","
		5
		","
		-3
		","
		5—9
		"
14,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Down Air
		","
		6...
		","
		-14/-13
		","
		6—20/22 (rehit: 3)
		"
15,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Neutral B (Watergun)
		","
		26
		","
		--
		","
		24—**
		"
16,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Side B (Withdraw)
		","
		23
		","
		-18
		","
		22—41/22—61
		"
17,"<h1 class=""charactername"">
Pokemon Trainer: Squirtle
</h1>","
		Up B (Waterfall)
		","
		9...
		","
		--
		","
		9—41/43—44 (rehit: 5)
		"
