,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
robin
</h1>","
				Ledge Hang
			","
		16/24/32/34
		","
		130
		","
		11-19
		","
		Invulnerable on frame 3-21
		","
		1.5/6.0
		","
		7/9
		","
		4/5
		","
		initial/launched
		","
		-11
		","
		15—36
		"
1,"<h1 class=""charactername"">
robin
</h1>","
		Jab 1
		","
		4
		","
		31
		","
		--
		","
		Transitions to jab 2 as early as frame 9
		","
		2.0
		","
		7
		","
		3
		","
		--
		","
		-24
		","
		4—5
		"
2,"<h1 class=""charactername"">
robin
</h1>","
		Jab 2
		","
		5
		","
		34
		","
		--
		","
		Transitions to jab 3 as early as frame 9 or Rapid Jab on frame 8
		","
		1.5
		","
		5
		","
		3
		","
		--
		","
		-26
		","
		5—6
		"
3,"<h1 class=""charactername"">
robin
</h1>","
		Jab 3
		","
		6
		","
		35
		","
		--
		","
		--
		","
		5.0
		","
		12
		","
		6
		","
		--
		","
		-23
		","
		6—7
		"
4,"<h1 class=""charactername"">
robin
</h1>","
		Rapid Jab
		","
		4/6/8...
		","
		--
		","
		--
		","
		--
		","
		0.7
		","
		4
		","
		3
		","
		--
		","
		--
		","
		**
		"
5,"<h1 class=""charactername"">
robin
</h1>","
		Rapid Jab Finisher
		","
		5
		","
		47
		","
		--
		","
		--
		","
		2.0
		","
		14
		","
		3
		","
		--
		","
		-39
		","
		5—6
		"
6,"<h1 class=""charactername"">
robin
</h1>","
		Forward Tilt
		","
		9
		","
		32
		","
		--
		","
		--
		","
		7.5
		","
		7
		","
		8
		","
		--
		","
		-15
		","
		9—10
		"
7,"<h1 class=""charactername"">
robin
</h1>","
		Up Tilt
		","
		6
		","
		32
		","
		--
		","
		--
		","
		7.5
		","
		7
		","
		8
		","
		--
		","
		-15
		","
		6—14
		"
8,"<h1 class=""charactername"">
robin
</h1>","
		Down Tilt
		","
		7
		","
		21
		","
		--
		","
		--
		","
		6.0
		","
		6
		","
		6
		","
		--
		","
		-8
		","
		7—8
		"
9,"<h1 class=""charactername"">
robin
</h1>","
		Dash Attack
		","
		8
		","
		41
		","
		--
		","
		--
		","
		10.0/6.0
		","
		9/7
		","
		10/6
		","
		Early/Late
		","
		-23
		","
		8—10(11—18)
		"
10,"<h1 class=""charactername"">
robin
</h1>","
		Forward Smash
		","
		16
		","
		57
		","
		--
		","
		Charge hold is frame 6
		","
		16.0/10.0/9.6
		","
		15/12/8
		","
		11/7/7
		","
		Early/Late/Bronze
		","
		-30/-34
		","
		16—18(19—27)
		"
11,"<h1 class=""charactername"">
robin
</h1>","
		Up Smash
		","
		12
		","
		52
		","
		--
		","
		Charge hold is frame 5
		","
		10.0/15.0/9.0
		","
		12/15/7
		","
		7/10/7
		","
		Close/Far/Bronze
		","
		-33/-30/-33
		","
		12(13—16/17—32)
		"
12,"<h1 class=""charactername"">
robin
</h1>","
		Down Smash
		","
		16
		","
		56
		","
		--
		","
		Sparks generate on frame 20 for levin version. Charge hold is frame 3
		","
		15.0/12.0/8.0
		","
		15/13/7
		","
		-/8/6
		","
		Sword/spark/bronze
		","
		-28/-34
		","
		16—17(19—22/23—28)
		"
13,"<h1 class=""charactername"">
robin
</h1>","
		Neutral Air
		","
		7/20
		","
		47
		","
		11
		","
		Autocancels on frame 1-3 and 34 onward (bronze) or 42 (levin)
		","
		11.5/6.9
		","
		13/7
		","
		5/3
		","
		Levin/Bronze
		","
		-6/-8
		","
		7—10/20—23/24—28
		"
14,"<h1 class=""charactername"">
robin
</h1>","
		Forward Air
		","
		12
		","
		33
		","
		11
		","
		Autocancels on frame 1-3 and 27 onward (bronze) or 28 (levin)
		","
		12.5/7.5
		","
		14/7
		","
		5/3
		","
		Levin/Bronze
		","
		-6/-8
		","
		12—15(16—19)
		"
