,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
rosalina and luma
</h1>","
				Ledge Hang
			","
		24
		","
		124
		","
		11-19
		","
		Invulnerable on frame 3-21
		","
		7.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		10—11
		"
1,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 1
		","
		5
		","
		20
		","
		--
		","
		Transitions to jab 2 as early as frame 9
		","
		2.0
		","
		7
		","
		3
		","
		--
		","
		-12
		","
		5
		"
2,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 1 (Luma)
		","
		4
		","
		--
		","
		--
		","
		--
		","
		1.5
		","
		7(+3)
		","
		2
		","
		--
		","
		**
		","
		4
		"
3,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 2
		","
		6
		","
		24
		","
		--
		","
		Transitions to jab 3 as early as frame 13
		","
		2.0
		","
		4
		","
		3
		","
		--
		","
		-15
		","
		6—7
		"
4,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 2 (Luma)
		","
		6
		","
		--
		","
		--
		","
		--
		","
		1.5
		","
		4(+1)
		","
		2
		","
		--
		","
		**
		","
		6
		"
5,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 3
		","
		7
		","
		35
		","
		--
		","
		--
		","
		3.0
		","
		10
		","
		4
		","
		--
		","
		-24
		","
		7—8
		"
6,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Jab 3 (Luma)
		","
		7
		","
		--
		","
		--
		","
		--
		","
		3.0
		","
		10(+5)
		","
		2
		","
		--
		","
		**
		","
		7—8
		"
7,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Rapid Jab
		","
		2/5/8/11...
		","
		--
		","
		--
		","
		--
		","
		0.3
		","
		4
		","
		3
		","
		--
		","
		--
		","
		2/5/8/11...
		"
8,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Rapid Jab (Luma)
		","
		3/6/9/12...
		","
		24
		","
		--
		","
		--
		","
		0.1
		","
		4
		","
		2
		","
		--
		","
		--
		","
		3/6/9/12...
		"
9,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Rapid Jab Finisher
		","
		5
		","
		38
		","
		--
		","
		--
		","
		2.5
		","
		10
		","
		4
		","
		--
		","
		-29
		","
		6—7
		"
10,"<h1 class=""charactername"">
rosalina and luma
</h1>","
		Rapid Jab Finisher (Luma)
		","
		5
		","
		--
		","
		--
		","
		--
		","
		1.5
		","
		8(+4)
		","
		2
		","
		--
		","
		**
		","
		6—7
		"
