,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
roy
</h1>","
		Jab
		","
		5
		","
		22
		","
		--
		","
		--
		","
		7.5/4.8
		","
		9/6
		","
		8/5
		","
		Close/Far
		","
		-9/-12
		","
		5—7
		"
1,"<h1 class=""charactername"">
roy
</h1>","
		Forward Tilt
		","
		8
		","
		33
		","
		--
		","
		--
		","
		12.5/9.0/8.0
		","
		12/7/7
		","
		12/9/8
		","
		Close/Far
		","
		-13/-16/-17
		","
		8—10
		"
2,"<h1 class=""charactername"">
roy
</h1>","
		Up Tilt
		","
		6
		","
		38
		","
		--
		","
		--
		","
		12.0/7.0
		","
		12/7
		","
		11/7
		","
		Close/Far
		","
		-21/-25
		","
		6/7—8/9—11
		"
3,"<h1 class=""charactername"">
roy
</h1>","
		Down Tilt
		","
		7
		","
		21
		","
		--
		","
		--
		","
		11.0/6.5
		","
		11/6
		","
		10/7
		","
		Close/Far
		","
		-3/-7
		","
		7—8
		"
4,"<h1 class=""charactername"">
roy
</h1>","
		Dash Attack
		","
		13
		","
		45
		","
		--
		","
		--
		","
		13.0/9.0
		","
		12/7
		","
		15/11
		","
		Close/Far
		","
		-17/-21
		","
		13—16
		"
5,"<h1 class=""charactername"">
roy
</h1>","
		Forward Smash
		","
		13
		","
		53
		","
		--
		","
		Charge hold is frame 6
		","
		20.0/17.0/12.0
		","
		15/11/9
		","
		13/11/8
		","
		Close/med/far
		","
		-27/-29/-32
		","
		13—14
		"
6,"<h1 class=""charactername"">
roy
</h1>","
		Up Smash
		","
		12/15/17/19/22
		","
		58
		","
		--
		","
		Forearm intangibility on frame 10-23. Charge hold is frame 4
		","
		1.0/2.0/10.0
		","
		6/7/10
		","
		2/-/7
		","
		First/multi/final
		","
		-29
		","
		12—13/15/17/19/22—23
		"
7,"<h1 class=""charactername"">
roy
</h1>","
		Down Smash
		","
		6/21
		","
		62
		","
		--
		","
		Charge hold is frame 3
		","
		15.0/10.0/17.0/11.0
		","
		13/8/14/8
		","
		10/7/11/8
		","
		first close/far, second close/far
		","
		-46/-49/-30/-33
		","
		6—7/21—22
		"
8,"<h1 class=""charactername"">
roy
</h1>","
		Neutral Air
		","
		6/15
		","
		45
		","
		9
		","
		Autocancels on frame 47 onward. The second hit uses a fixed weight for all characters. Every character will experience the same knockback at the same %.
		","
		6.0/4.0/8.5/5.0
		","
		8/5/10/6
		","
		3/3/4/3
		","
		first close/far, second close/far
		","
		-6/-6/-5/-6
		","
		6—7/15—21
		"
9,"<h1 class=""charactername"">
roy
</h1>","
		Forward Air
		","
		10
		","
		29
		","
		8
		","
		Autocancels on frame 31 onward
		","
		11.0 / 7.0
		","
		11/7
		","
		4/3
		","
		Close/Far
		","
		-4/-5
		","
		10—12
		"
