,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
sheik
</h1>","
		Jab 1
		","
		2
		","
		17
		","
		--
		","
		Transitions to Jab 2 as early as frame 4.
		","
		2.0
		","
		7
		","
		3
		","
		--
		","
		-12
		","
		2
		"
1,"<h1 class=""charactername"">
sheik
</h1>","
		Jab 2
		","
		3
		","
		17
		","
		--
		","
		Transitions to Rapid jab as early as frame 5. 
		","
		1.6
		","
		5
		","
		3
		","
		--
		","
		-11
		","
		3
		"
2,"<h1 class=""charactername"">
sheik
</h1>","
		Rapid Jab
		","
		5/4/9...
		","
		--
		","
		--
		","
		--
		","
		0.3
		","
		4
		","
		--
		","
		--
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
sheik
</h1>","
		Rapid Jab Finisher
		","
		5
		","
		35
		","
		--
		","
		--
		","
		2.0
		","
		9
		","
		3
		","
		--
		","
		-27
		","
		5—6
		"
4,"<h1 class=""charactername"">
sheik
</h1>","
		Forward Tilt
		","
		5
		","
		24
		","
		--
		","
		--
		","
		3.0
		","
		5
		","
		4
		","
		--
		","
		-15
		","
		5—8
		"
5,"<h1 class=""charactername"">
sheik
</h1>","
		Up Tilt
		","
		5/16
		","
		32
		","
		--
		","
		--
		","
		3.0/4.0
		","
		5/5
		","
		4/5
		","
		--
		","
		-11
		","
		5—8/16—23
		"
6,"<h1 class=""charactername"">
sheik
</h1>","
		Down Tilt
		","
		5
		","
		26
		","
		--
		","
		--
		","
		4.5
		","
		5
		","
		5
		","
		--
		","
		-16
		","
		5—6
		"
7,"<h1 class=""charactername"">
sheik
</h1>","
		Dash Attack
		","
		5
		","
		34
		","
		--
		","
		--
		","
		7.0
		","
		9
		","
		10
		","
		--
		","
		-19
		","
		5—6(7—8)
		"
8,"<h1 class=""charactername"">
sheik
</h1>","
		Forward Smash
		","
		12/20
		","
		44
		","
		--
		","
		Charge hold is frame 3
		","
		5.0/8.0
		","
		6/7
		","
		4/6
		","
		--
		","
		-18
		","
		12/20—21
		"
9,"<h1 class=""charactername"">
sheik
</h1>","
		Up Smash
		","
		11/14
		","
		52
		","
		--
		","
		Arm intangibility on frame 8-15. Charge hold is frame 6
		","
		15.0/11.0
		","
		13/8
		","
		10/8
		","
		--
		","
		-30
		","
		11/14—15
		"
10,"<h1 class=""charactername"">
sheik
</h1>","
		Down Smash
		","
		8/15
		","
		48
		","
		--
		","
		Charge hold is frame 1
		","
		4.0/6.0
		","
		5/6
		","
		4/5
		","
		--
		","
		-28
		","
		8—9/15—16
		"
11,"<h1 class=""charactername"">
sheik
</h1>","
		Neutral Air
		","
		3
		","
		49
		","
		6
		","
		Autocancels on frame 1-2 and 31 onward
		","
		6.0/4.0
		","
		6/5
		","
		3/3
		","
		Early/Late
		","
		-3/-3
		","
		3—6(7—30)
		"
12,"<h1 class=""charactername"">
sheik
</h1>","
		Forward Air
		","
		5
		","
		34
		","
		5
		","
		Autocancels on frame 1-4 and 11 onward
		","
		3.8/4.5
		","
		4/5
		","
		3/3
		","
		Close/Far
		","
		-2/-2
		","
		5—7
		"
13,"<h1 class=""charactername"">
sheik
</h1>","
		Back Air
		","
		4
		","
		37
		","
		7
		","
		Autocancels on frame 1-3 and 31 onward
		","
		7.5/6.0
		","
		7/6
		","
		3/3
		","
		Early/Late
		","
		-4/-4
		","
		4—6(7—14)
		"
14,"<h1 class=""charactername"">
sheik
</h1>","
		Up Air
		","
		4...
		","
		43
		","
		13
		","
		Autocancels on frame 1-3 and 44 onward
		","
		1.0/4.0
		","
		4/11
		","
		2/3
		","
		Multi/Final
		","
		-11/-10
		","
		4—15/23—24 (rehit: 4)
		"
