,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
shulk
</h1>","
				Ledge Hang
			","
		16
		","
		114
		","
		11-19
		","
		Invulnerable on frame 3-21
		","
		6.0
		","
		--
		","
		--
		","
		--
		","
		--
		","
		11—12
		"
1,"<h1 class=""charactername"">
shulk
</h1>","
		Jab 1
		","
		5
		","
		25
		","
		--
		","
		Transitions to jab 2 as early as frame 11
		","
		2.0
		","
		6
		","
		3
		","
		--
		","
		-17
		","
		5
		"
2,"<h1 class=""charactername"">
shulk
</h1>","
		Jab 2
		","
		5
		","
		33
		","
		--
		","
		Transitions to jab 3 as early as frame 12 
		","
		1.5
		","
		4
		","
		3
		","
		--
		","
		-25
		","
		5
		"
3,"<h1 class=""charactername"">
shulk
</h1>","
		Jab 3
		","
		6
		","
		44
		","
		--
		","
		--
		","
		5.0/4.2
		","
		12/11
		","
		6/5
		","
		Early/Late
		","
		-32
		","
		6—7/8
		"
4,"<h1 class=""charactername"">
shulk
</h1>","
		Forward Tilt
		","
		12
		","
		43
		","
		--
		","
		--
		","
		13.5/12.0
		","
		9/9
		","
		12/11
		","
		Blade/Beam
		","
		-19/-20
		","
		12—13
		"
5,"<h1 class=""charactername"">
shulk
</h1>","
		Up Tilt
		","
		11
		","
		39
		","
		--
		","
		--
		","
		10.0/9.0
		","
		8/7
		","
		10/9
		","
		Blade/Beam
		","
		-18/-19
		","
		11—12/13—23
		"
6,"<h1 class=""charactername"">
shulk
</h1>","
		Down Tilt
		","
		10
		","
		31
		","
		--
		","
		--
		","
		9.5/7.5
		","
		8/7
		","
		9/8
		","
		Blade/Beam
		","
		-12/-13
		","
		10—11
		"
7,"<h1 class=""charactername"">
shulk
</h1>","
		Dash Attack
		","
		12
		","
		40
		","
		--
		","
		--
		","
		12.5/11.0
		","
		9/8
		","
		12/10
		","
		Blade/Beam
		","
		-16/-18
		","
		12—13
		"
8,"<h1 class=""charactername"">
shulk
</h1>","
		Forward Smash
		","
		14/23
		","
		67
		","
		--
		","
		Charge hold is frame 8
		","
		5.5/13.0/11.5
		","
		9/16/15
		","
		5/9/8
		","
		First/Blade/Beam
		","
		-35/-36
		","
		14—15/23 (Angled: 14—16/23)
		"
9,"<h1 class=""charactername"">
shulk
</h1>","
		Up Smash
		","
		18/30
		","
		67
		","
		--
		","
		Charge hold is frame 10
		","
		4.5/13.5
		","
		5/9
		","
		4/9
		","
		First/Second
		","
		-28
		","
		(18—21/22—29)/(30—33)
		"
10,"<h1 class=""charactername"">
shulk
</h1>","
		Down Smash
		","
		18/23/28/35/41
		","
		82
		","
		--
		","
		Charge hold is frame 4
		","
		14.0 / 11.0 / 12.0 / 10.0 / 10.0 / 8.0 / 8.0 / 6.0 / 6.0 / 4.0
		","
		10/8/9/8/8/ 7/7/6/6/5
		","
		-/8/8/7/7/ 6/6/5/5/4
		","
		1st blade/beam, 2nd blade/beam, 3rd blade/beam, 4th blade/beam, 5th blade/beam
		","
		-/-56/-51/-52/-47/-48/-41/-42/-36/-37
		","
		18—19/23—24/28—29/35—36/41—42
		"
