,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
Simon
</h1>","
		Jab 1
		","
		5
		","
		29
		","
		--
		","
		Transitions to Jab 2 on frame 11. Transitions to Whip dangle from 9.
		","
		2.0
		","
		7
		","
		3
		","
		--
		","
		-21
		","
		5
		"
1,"<h1 class=""charactername"">
Simon
</h1>","
		Jab 2
		","
		3
		","
		29
		","
		--
		","
		Transitions to rapid jab on frame 10.
		","
		2.0
		","
		5
		","
		3
		","
		--
		","
		-23
		","
		3—4
		"
2,"<h1 class=""charactername"">
Simon
</h1>","
		Rapid Jab
		","
		9/12/15...
		","
		--
		","
		--
		","
		--
		","
		0.5
		","
		4
		","
		--
		","
		--
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
Simon
</h1>","
		Rapid Jab Finisher
		","
		3
		","
		44
		","
		--
		","
		--
		","
		2.5
		","
		10
		","
		4
		","
		--
		","
		-37
		","
		**
		"
4,"<h1 class=""charactername"">
Simon
</h1>","
		Whip Dangle
		","
		--
		","
		--
		","
		--
		","
		Can initiate from Jab and F-Tilt. 19 lag from putting it away.
		","
		1.0/1.5
		","
		0/0
		","
		3/3
		","
		Chain/Ball
		","
		**
		","
		**
		"
5,"<h1 class=""charactername"">
Simon
</h1>","
		Forward Tilt
		","
		12
		","
		30
		","
		--
		","
		--
		","
		10.0/12.0
		","
		8/9
		","
		10/11
		","
		Chain/Ball
		","
		-8/-7
		","
		12—13
		"
6,"<h1 class=""charactername"">
Simon
</h1>","
		Up Tilt
		","
		10
		","
		37
		","
		--
		","
		--
		","
		10.0
		","
		8
		","
		10
		","
		--
		","
		-17
		","
		10—22
		"
7,"<h1 class=""charactername"">
Simon
</h1>","
		Down Tilt 1
		","
		7
		","
		44
		","
		--
		","
		Can cancel hitlag from first hit with second. 
		","
		5.0
		","
		6
		","
		6
		","
		--
		","
		-31
		","
		7—23
		"
8,"<h1 class=""charactername"">
Simon
</h1>","
		Down Tilt 2
		","
		8
		","
		57/43
		","
		--
		","
		Total frames is 57 on level ground. 43 if you go over an edge.
		","
		7.0/3.5
		","
		8/5
		","
		7/4
		","
		Early/Late
		","
		-42/-28
		","
		8—28
		"
9,"<h1 class=""charactername"">
Simon
</h1>","
		Dash Attack
		","
		10/13/16/19/22/24
		","
		54
		","
		--
		","
		--
		","
		1.7/3.5
		","
		4/5
		","
		-/4
		","
		--
		","
		-26
		","
		10/13/16/19/22/24
		"
10,"<h1 class=""charactername"">
Simon
</h1>","
		Forward Smash
		","
		24
		","
		62
		","
		--
		","
		Charge hold is frame 5
		","
		14.0/16.0/18.0
		","
		11/13
		","
		10/12
		","
		Chain/Ball
		","
		-28/-26
		","
		24—25
		"
11,"<h1 class=""charactername"">
Simon
</h1>","
		Up Smash
		","
		18
		","
		55
		","
		--
		","
		Charge hold is frame 2
		","
		14.0/16.0
		","
		10/10
		","
		10/11
		","
		Chain/Ball
		","
		-27/-26
		","
		18—20
		"
