,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
snake
</h1>","
		Jab 1
		","
		3
		","
		-8
		","
		3—4
		"
1,"<h1 class=""charactername"">
snake
</h1>","
		Jab 2
		","
		4
		","
		-16
		","
		4—5
		"
2,"<h1 class=""charactername"">
snake
</h1>","
		Jab 3
		","
		8
		","
		-32
		","
		8—9
		"
3,"<h1 class=""charactername"">
snake
</h1>","
		Forward Tilt 1
		","
		4
		","
		-22
		","
		4—5
		"
4,"<h1 class=""charactername"">
snake
</h1>","
		Forward Tilt 2
		","
		8
		","
		-22/-22/-21
		","
		8
		"
5,"<h1 class=""charactername"">
snake
</h1>","
		Up Tilt
		","
		6
		","
		-18/**
		","
		6—8/9—13
		"
6,"<h1 class=""charactername"">
snake
</h1>","
		Down Tilt
		","
		6
		","
		-13
		","
		6—7
		"
7,"<h1 class=""charactername"">
snake
</h1>","
		Dash Attack
		","
		5
		","
		-26/**
		","
		5—8/9—12
		"
8,"<h1 class=""charactername"">
snake
</h1>","
		Forward Smash
		","
		41
		","
		-18
		","
		41—43
		"
9,"<h1 class=""charactername"">
snake
</h1>","
		Up Smash
		","
		11/35
		","
		-39/+1
		","
		11—12/35—**
		"
10,"<h1 class=""charactername"">
snake
</h1>","
		Down Smash
		","
		8/20
		","
		-28/-14
		","
		8—10/20—22
		"
11,"<h1 class=""charactername"">
snake
</h1>","
		Neutral Air
		","
		10/18/26/36
		","
		-14/-11
		","
		10—11/18—19/26—27/36—38
		"
12,"<h1 class=""charactername"">
snake
</h1>","
		Forward Air
		","
		23
		","
		-14/-14
		","
		23—26
		"
13,"<h1 class=""charactername"">
snake
</h1>","
		Back Air
		","
		7
		","
		-13/-14/-15/-15
		","
		7—9/10—26
		"
14,"<h1 class=""charactername"">
snake
</h1>","
		Up Air
		","
		10
		","
		-10/-11
		","
		10—12/13—23
		"
15,"<h1 class=""charactername"">
snake
</h1>","
		Down Air
		","
		3/10/17/25
		","
		-17/-18/-16
		","
		3—4/10—11/17—18/25—26
		"
16,"<h1 class=""charactername"">
snake
</h1>","
		Neutral B (Grenade)
		","
		1 (Grenade Pull)
		","
		--
		","
		**
		"
17,"<h1 class=""charactername"">
snake
</h1>","
		Grenade (Neutral Throw, Smash Throw, Underhand Throw)
		","
		8, 10, 9
		","
		**
		","
		**
		"
18,"<h1 class=""charactername"">
snake
</h1>","
		Side B (Nikita)
		","
		41
		","
		-19/-14
		","
		41—**
		"
19,"<h1 class=""charactername"">
snake
</h1>","
		Up B (Cypher)
		","
		--
		","
		--
		","
		**
		"
20,"<h1 class=""charactername"">
snake
</h1>","
		Down B (C4)
		","
		9
		","
		--
		","
		**
		"
21,"<h1 class=""charactername"">
snake
</h1>","
		C4 Detonate/Explosion
		","
		25
		","
		+20 / +11
		","
		25—27
		"
22,"<h1 class=""charactername"">
snake
</h1>","
		Grab
		","
		8
		","
		+20 / +11
		","
		8—9
		"
23,"<h1 class=""charactername"">
snake
</h1>","
		Dash Grab
		","
		11
		","
		+20 / +11
		","
		11—12
		"
24,"<h1 class=""charactername"">
snake
</h1>","
		Pivot Grab
		","
		9
		","
		+20 / +11
		","
		9—10
		"
25,"<h1 class=""charactername"">
snake
</h1>","
		Pummel
		","
		1
		","
		+20 / +11
		","
		9—10
		"
26,"<h1 class=""charactername"">
snake
</h1>","
		Forward Throw
		","
		21
		","
		+20 / +11
		","
		9—10
		"
27,"<h1 class=""charactername"">
snake
</h1>","
		Backward Throw
		","
		20
		","
		+20 / +11
		","
		9—10
		"
28,"<h1 class=""charactername"">
snake
</h1>","
		Up Throw
		","
		22/23
		","
		+20 / +11
		","
		9—10
		"
29,"<h1 class=""charactername"">
snake
</h1>","
		Down Throw
		","
		35
		","
		+20 / +11
		","
		9—10
		"
30,"<h1 class=""charactername"">
snake
</h1>","
		Spot Dodge
		","
		35
		","
		+20 / +11
		","
		9—10
		"
31,"<h1 class=""charactername"">
snake
</h1>","
		Forward Roll
		","
		35
		","
		+20 / +11
		","
		9—10
		"
32,"<h1 class=""charactername"">
snake
</h1>","
		Backward Roll
		","
		35
		","
		+20 / +11
		","
		9—10
		"
33,"<h1 class=""charactername"">
snake
</h1>","
		Neutral Air Dodge
		","
		35
		","
		+20 / +11
		","
		9—10
		"
34,"<h1 class=""charactername"">
snake
</h1>","
		Air Dodge, Down
		","
		35
		","
		+20 / +11
		","
		9—10
		"
35,"<h1 class=""charactername"">
snake
</h1>","
		Air Dodge, Diagonally Down
		","
		35
		","
		+20 / +11
		","
		9—10
		"
36,"<h1 class=""charactername"">
snake
</h1>","
		Air Dodge, Left/Right
		","
		35
		","
		+20 / +11
		","
		9—10
		"
37,"<h1 class=""charactername"">
snake
</h1>","
		Air Dodge, Diagonally Up
		","
		35
		","
		+20 / +11
		","
		9—10
		"
38,"<h1 class=""charactername"">
snake
</h1>","
		Air Dodge, Up
		","
		35
		","
		+20 / +11
		","
		9—10
		"
39,"<h1 class=""charactername"">
snake
</h1>","
			Ledge Grab
		","
		35
		","
		+20 / +11
		","
		9—10
		"
40,"<h1 class=""charactername"">
snake
</h1>","
			Ledge Grab
		","
		35
		","
		+20 / +11
		","
		9—10
		"
41,"<h1 class=""charactername"">
snake
</h1>","
				Ledge Hang
			","
		35
		","
		+20 / +11
		","
		9—10
		"
