,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
sonic
</h1>","
		Jab 1
		","
		3
		","
		19
		","
		--
		","
		Transitions to jab 2 as early as frame 7
		","
		2.0
		","
		7
		","
		3
		","
		--
		","
		-13
		","
		3
		"
1,"<h1 class=""charactername"">
sonic
</h1>","
		Jab 2
		","
		2
		","
		21
		","
		--
		","
		Transitions to jab 3 as early as frame 6
		","
		1.5
		","
		5
		","
		3
		","
		--
		","
		-16
		","
		2
		"
2,"<h1 class=""charactername"">
sonic
</h1>","
		Jab 3
		","
		4
		","
		35
		","
		--
		","
		--
		","
		4.0
		","
		11
		","
		5
		","
		--
		","
		-26
		","
		4—5
		"
3,"<h1 class=""charactername"">
sonic
</h1>","
		Forward Tilt
		","
		6/8
		","
		35
		","
		--
		","
		--
		","
		4.0/7.0
		","
		5/7
		","
		-/7
		","
		--
		","
		-20
		","
		6/8—11
		"
4,"<h1 class=""charactername"">
sonic
</h1>","
		Up Tilt
		","
		6(7)/13
		","
		35
		","
		--
		","
		First hit on frame 6 is ground only, frame 7 if anti air.
		","
		2.0/6.0
		","
		4/6
		","
		3/6
		","
		--
		","
		-20
		","
		6—8(7—8)/13—14
		"
5,"<h1 class=""charactername"">
sonic
</h1>","
		Down Tilt
		","
		6
		","
		27
		","
		--
		","
		--
		","
		6.0
		","
		6
		","
		6
		","
		--
		","
		-15
		","
		6—7
		"
6,"<h1 class=""charactername"">
sonic
</h1>","
		Dash Attack
		","
		5
		","
		49
		","
		--
		","
		--
		","
		6.0/4.0
		","
		6/5
		","
		6/7
		","
		Early/Late
		","
		-38
		","
		5—8(9—20)
		"
7,"<h1 class=""charactername"">
sonic
</h1>","
		Forward Smash
		","
		18
		","
		47
		","
		--
		","
		Charge hold is frame 12
		","
		14.0
		","
		10
		","
		10
		","
		--
		","
		-19
		","
		18—20
		"
8,"<h1 class=""charactername"">
sonic
</h1>","
		Up Smash
		","
		18/21/23/25/27/29/31/33
		","
		65
		","
		--
		","
		Invulnerable on frame 18-20. Charge hold is frame 13
		","
		5.0/1.0/2.0
		","
		6/4/5
		","
		2/-/3
		","
		First/Multi/Final
		","
		-29
		","
		18/21/23/25/27/29/31/33—34
		"
9,"<h1 class=""charactername"">
sonic
</h1>","
		Down Smash
		","
		12
		","
		54
		","
		--
		","
		Charge hold is frame 5
		","
		12.0
		","
		9
		","
		8
		","
		--
		","
		-34
		","
		12—13
		"
10,"<h1 class=""charactername"">
sonic
</h1>","
		Neutral Air
		","
		6
		","
		49
		","
		10
		","
		Autocancels on frame 48 onward
		","
		12.0/8.0/5.0
		","
		9/7/6
		","
		5/4/3
		","
		Early/Late/Later
		","
		-5/-6/-7
		","
		6—9(10—19/20—38)
		"
11,"<h1 class=""charactername"">
sonic
</h1>","
		Forward Air
		","
		5/7/9/11/13/15
		","
		45
		","
		16
		","
		Autocancels on frame 1-2 and 34 onward
		","
		0.8/3.0
		","
		4/7
		","
		-/2
		","
		Multi/Final
		","
		-14/-14
		","
		5/7/9/11/13/15
		"
12,"<h1 class=""charactername"">
sonic
</h1>","
		Back Air
		","
		13
		","
		37
		","
		15
		","
		Autocancels on frame 1-4 and 33 onward
		","
		14.0/10.0
		","
		12/8
		","
		5/4
		","
		Early/Late
		","
		-10/-11
		","
		13—14(15—19)
		"
13,"<h1 class=""charactername"">
sonic
</h1>","
		Up Air
		","
		5/14
		","
		39
		","
		13
		","
		Autocancels on frame 1-4 and 16 onward
		","
		3.0/8.0
		","
		5/9
		","
		2/4
		","
		--
		","
		-11/-9
		","
		5—7/14—15
		"
14,"<h1 class=""charactername"">
sonic
</h1>","
		Down Air
		","
		17
		","
		45
		","
		21
		","
		Autocancels on frame 1-3 and 41 onward
		","
		8.0/7.0
		","
		11/7
		","
		4/3
		","
		Meteor/Late
		","
		-17/-18
		","
		17—19/20—32
		"
15,"<h1 class=""charactername"">
sonic
</h1>","
		Neutral B (Homing Attack)
		","
		17—82
		","
		-
		","
		--
		","
		26 endlag on hit
		","
		7.0—20.0
		","
		7—12
		","
		4—10
		","
		--
		","
		-22 to -16
		","
		**
		"
16,"<h1 class=""charactername"">
sonic
</h1>","
		Side B (Spin Dash)
		","
		17/29
		","
		--
		","
		--
		","
		Invulnerable frame 17-22. Startup is 1 from a charging state with six I-frames. Stops on shields. Endlag for that is 28.
		","
		5.0/7.0—10.9
		","
		6/7—8
		","
		6/7—10
		","
		--
		","
		-22 to -18
		","
		**
		"
17,"<h1 class=""charactername"">
sonic
</h1>","
		Up B (Spring Jump)
		","
		4
		","
		18
		","
		10
		","
		Invulnerable on frame 5-7. Landing lag state can be overwritten with other actions. No projectile on ground version.
		","
		4.0
		","
		5
		","
		2
		","
		--
		","
		-7
		","
		**
		"
18,"<h1 class=""charactername"">
sonic
</h1>","
		Down B (Spin Charge)
		","
		15/17/19/21
		","
		59
		","
		-
		","
		Startup and total frames refer to minimum charge.
		","
		1.7—2.5/4.0
		","
		4—5/5
		","
		-/5
		","
		Multi/Final
		","
		-33
		","
		**
		"
19,"<h1 class=""charactername"">
sonic
</h1>","
		Spin Dash/Spin Charge, Jump
		","
		3
		","
		10
		","
		-
		","
		Jumping from an air version generates no hitbox or endlag.
		","
		3.0/6.0
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		**
		"
20,"<h1 class=""charactername"">
sonic
</h1>","
		Grab
		","
		7
		","
		37
		","
		--
		","
		--		
		","
		--
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		7—8
		"
21,"<h1 class=""charactername"">
sonic
</h1>","
		Dash Grab
		","
		10
		","
		47
		","
		--
		","
		--		
		","
		--
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		10—11
		"
22,"<h1 class=""charactername"">
sonic
</h1>","
		Pivot Grab
		","
		11
		","
		39
		","
		--
		","
		--		
		","
		--
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		11—12
		"
23,"<h1 class=""charactername"">
sonic
</h1>","
		Pummel
		","
		1
		","
		19
		","
		Total frames includes 13 frames of hitlag.
		","
		--		
		","
		1.3
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		11—12
		"
24,"<h1 class=""charactername"">
sonic
</h1>","
		Forward Throw
		","
		10/11
		","
		37
		","
		--
		","
		--
		","
		1.0/6.0
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		11—12
		"
25,"<h1 class=""charactername"">
sonic
</h1>","
		Backward Throw
		","
		43
		","
		66
		","
		--
		","
		--		
		","
		7.0
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		11—12
		"
26,"<h1 class=""charactername"">
sonic
</h1>","
		Up Throw
		","
		22/23
		","
		42
		","
		--
		","
		--		
		","
		1.0/5.0
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		11—12
		"
27,"<h1 class=""charactername"">
sonic
</h1>","
		Down Throw
		","
		18/26/34/42
		","
		74
		","
		--
		","
		--		
		","
		1.0/5.0
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		11—12
		"
28,"<h1 class=""charactername"">
sonic
</h1>","
		Spot Dodge
		","
		18/26/34/42
		","
		19/24
		","
		--
		","
		Invulnerable on frame 3-16
		","
		1.0/5.0
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		11—12
		"
29,"<h1 class=""charactername"">
sonic
</h1>","
		Forward Roll
		","
		18/26/34/42
		","
		28
		","
		--
		","
		Invulnerable on frame 4-14
		","
		1.0/5.0
		","
		5/6
		","
		4/6
		","
		--
		","
		-1
		","
		11—12
		"
