,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
terry
</h1>","
		Jab 1
		","
		3
		","
		13
		","
		--
		","
		Special Cancellable (+4 on shield). Transitions to jab 2 as early as frame 6
		","
		3.0
		","
		**
		","
		**
		","
		--
		","
		-6
		","
		3—4
		"
1,"<h1 class=""charactername"">
terry
</h1>","
		Jab 2
		","
		3/4
		","
		24
		","
		--
		","
		Special Cancellable (+2 on shield). Transitions to jab 3 as early as frame 9
		","
		1.0
		","
		**
		","
		**
		","
		--
		","
		-19/-17
		","
		3/4—7
		"
2,"<h1 class=""charactername"">
terry
</h1>","
		Jab 3
		","
		7
		","
		33
		","
		--
		","
		--
		","
		7.0
		","
		**
		","
		**
		","
		--
		","
		-19
		","
		7—10
		"
3,"<h1 class=""charactername"">
terry
</h1>","
		Forward Tilt
		","
		8
		","
		27
		","
		--
		","
		Special Cancellable (+11 on shield). Leg intangible on frame 8-13. 
		","
		12.0/13.0
		","
		9/9
		","
		11/12
		","
		Close/Far
		","
		-8/-7
		","
		8—13
		"
4,"<h1 class=""charactername"">
terry
</h1>","
		Up Tilt
		","
		7
		","
		30
		","
		--
		","
		Special Cancellable (+10 on shield). Arm intangible on frame 7-11
		","
		11.0
		","
		**
		","
		**
		","
		--
		","
		-12
		","
		7—11
		"
5,"<h1 class=""charactername"">
terry
</h1>","
		Down Tilt
		","
		6
		","
		16
		","
		--
		","
		Special Cancellable (+4 on shield). 
		","
		3.0
		","
		--
		","
		--
		","
		--
		","
		-6
		","
		6—9
		"
6,"<h1 class=""charactername"">
terry
</h1>","
		Dash Attack
		","
		10
		","
		40
		","
		--
		","
		--
		","
		13.0/10.0
		","
		**
		","
		**
		","
		Early/Late
		","
		-18/-15
		","
		10—14(15—22)
		"
7,"<h1 class=""charactername"">
terry
</h1>","
		Forward Smash
		","
		18
		","
		50
		","
		--
		","
		Charges between frames 10-11
		","
		18.0
		","
		**
		","
		**
		","
		**
		","
		-20
		","
		18—21
		"
8,"<h1 class=""charactername"">
terry
</h1>","
		Up Smash
		","
		10
		","
		41
		","
		--
		","
		Charges between frames 8-9
		","
		16.0/18.0
		","
		**
		","
		**
		","
		Early/Late
		","
		-20 / -18
		","
		10(11—14)
		"
9,"<h1 class=""charactername"">
terry
</h1>","
		Down Smash
		","
		8
		","
		40
		","
		--
		","
		Charges between frames 2-3
		","
		12.0
		","
		**
		","
		**
		","
		--
		","
		-23
		","
		8—11
		"
