,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
toon link
</h1>","
		Jab 1
		","
		5
		","
		18
		","
		--
		","
		Transitions to jab 2 as early as frame 8
		","
		2.0
		","
		7
		","
		3
		","
		--
		","
		-10
		","
		5—6
		"
1,"<h1 class=""charactername"">
toon link
</h1>","
		Jab 2
		","
		6
		","
		20
		","
		--
		","
		Transitions to jab 3 as early as frame 9
		","
		2.0
		","
		5
		","
		3
		","
		--
		","
		-11
		","
		6—7
		"
2,"<h1 class=""charactername"">
toon link
</h1>","
		Jab 3
		","
		6
		","
		36
		","
		--
		","
		--
		","
		4.0
		","
		11
		","
		5
		","
		--
		","
		-25
		","
		6—7
		"
3,"<h1 class=""charactername"">
toon link
</h1>","
		Forward Tilt
		","
		9
		","
		29
		","
		--
		","
		--
		","
		9.0
		","
		7
		","
		9
		","
		--
		","
		-11
		","
		9—13
		"
4,"<h1 class=""charactername"">
toon link
</h1>","
		Up Tilt
		","
		8
		","
		25
		","
		--
		","
		--
		","
		5.0
		","
		6
		","
		6
		","
		--
		","
		-11
		","
		8—12
		"
5,"<h1 class=""charactername"">
toon link
</h1>","
		Down Tilt
		","
		9
		","
		22
		","
		--
		","
		--
		","
		7.0
		","
		7
		","
		7
		","
		--
		","
		-6
		","
		9—10
		"
6,"<h1 class=""charactername"">
toon link
</h1>","
		Dash Attack
		","
		7
		","
		28
		","
		--
		","
		--
		","
		8.0
		","
		9
		","
		8
		","
		--
		","
		-13
		","
		7—9
		"
7,"<h1 class=""charactername"">
toon link
</h1>","
		Forward Smash
		","
		16
		","
		48
		","
		--
		","
		Charge hold is frame 8
		","
		14.0
		","
		12
		","
		10
		","
		--
		","
		-22
		","
		16—17
		"
8,"<h1 class=""charactername"">
toon link
</h1>","
		Up Smash
		","
		11
		","
		42
		","
		--
		","
		Charge hold is frame 4
		","
		13.0
		","
		9
		","
		9
		","
		--
		","
		-22
		","
		11(12—13/14—15)
		"
9,"<h1 class=""charactername"">
toon link
</h1>","
		Down Smash
		","
		9/17
		","
		46
		","
		--
		","
		Charge hold frame is 3
		","
		12.0/13.0
		","
		9/9
		","
		8/9
		","
		--
		","
		-29/-20
		","
		9—10/17—18
		"
10,"<h1 class=""charactername"">
toon link
</h1>","
		Neutral Air
		","
		6/13
		","
		41
		","
		7
		","
		Autocancels on frame 1-2 and 41 onward
		","
		8.5/7.0
		","
		7/7
		","
		4/3
		","
		--
		","
		-3/-4
		","
		6—7/13—14
		"
11,"<h1 class=""charactername"">
toon link
</h1>","
		Forward Air
		","
		14
		","
		38
		","
		11
		","
		Autocancels on frame 1-3 and 39 onward
		","
		13.0
		","
		9
		","
		5
		","
		--
		","
		-6
		","
		14—15
		"
12,"<h1 class=""charactername"">
toon link
</h1>","
		Back Air
		","
		6
		","
		35
		","
		8
		","
		Autocancels on frame 34 onward
		","
		8.0
		","
		7
		","
		4
		","
		--
		","
		-4
		","
		6—9
		"
