,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
villager
</h1>","
		Jab 1
		","
		3
		","
		21
		","
		--
		","
		Transitions to jab 2 as early as frame 6.
		","
		1.0
		","
		5
		","
		2
		","
		--
		","
		-16
		","
		3—4
		"
1,"<h1 class=""charactername"">
villager
</h1>","
		Jab 2
		","
		3
		","
		23
		","
		--
		","
		Transitions to rapid jab as early as frame 5
		","
		1.0
		","
		5
		","
		2
		","
		--
		","
		-18
		","
		3—4
		"
2,"<h1 class=""charactername"">
villager
</h1>","
		Rapid Jab
		","
		3/8/12...
		","
		--
		","
		--
		","
		Alternates between four and five frames between punches.
		","
		1.0
		","
		5
		","
		2
		","
		--
		","
		--
		","
		**
		"
3,"<h1 class=""charactername"">
villager
</h1>","
		Rapid Jab Finisher
		","
		7
		","
		38
		","
		--
		","
		--
		","
		2.0
		","
		9
		","
		3
		","
		--
		","
		-28
		","
		**
		"
4,"<h1 class=""charactername"">
villager
</h1>","
		Forward Tilt
		","
		8
		","
		33
		","
		--
		","
		--
		","
		9.0
		","
		7
		","
		9
		","
		--
		","
		-16
		","
		8—11
		"
5,"<h1 class=""charactername"">
villager
</h1>","
		Up Tilt
		","
		7/22
		","
		47
		","
		--
		","
		--
		","
		5.0/6.0
		","
		6/7
		","
		6/6
		","
		--
		","
		-34/-19
		","
		7—18/22—25
		"
6,"<h1 class=""charactername"">
villager
</h1>","
		Down Tilt
		","
		9
		","
		37
		","
		--
		","
		--
		","
		12.0/10.0
		","
		9/8
		","
		11/10
		","
		Close/Far
		","
		-17/-18
		","
		9—11
		"
7,"<h1 class=""charactername"">
villager
</h1>","
		Dash Attack
		","
		9...
		","
		42
		","
		--
		","
		--
		","
		10.0/6.0
		","
		8/6
		","
		4/3
		","
		Early/Late
		","
		-22
		","
		9—14(15—23)
		"
8,"<h1 class=""charactername"">
villager
</h1>","
		Forward Smash
		","
		25
		","
		49
		","
		--
		","
		Charge hold is frame 16
		","
		15.0/17.0
		","
		10/11
		","
		10/11
		","
		Early/Late
		","
		-4
		","
		25—30(31—144)
		"
9,"<h1 class=""charactername"">
villager
</h1>","
		Up Smash
		","
		9/14/18/22/26/30
		","
		50
		","
		--
		","
		Charge hold is frame 7
		","
		3.0/1.0/4.0
		","
		5/-/8
		","
		3/-/4
		","
		--
		","
		-8
		","
		9—10/14—15/18—19/22—23/26—27/30—31
		"
10,"<h1 class=""charactername"">
villager
</h1>","
		Down Smash
		","
		9/29
		","
		49
		","
		--
		","
		Charge hold is frame 3
		","
		6.0/3.0
		","
		6/4
		","
		5/0
		","
		Close/Far
		","
		-35/-15
		","
		9(10—11)/29(30—31)
		"
11,"<h1 class=""charactername"">
villager
</h1>","
		Neutral Air
		","
		3
		","
		35
		","
		8
		","
		Autocancels on frame 1-2 and 27 onward
		","
		9.0/5.0
		","
		7/6
		","
		4/3
		","
		Early/Late
		","
		-4/-5
		","
		3—10(11—23)
		"
12,"<h1 class=""charactername"">
villager
</h1>","
		Forward Air
		","
		10
		","
		39
		","
		14
		","
		Projectile attack. Autocancels on frame 1-2 and 30 onward
		","
		7.0/4.0/2.5
		","
		7/5/5
		","
		3/3/2
		","
		Early/Late/Later
		","
		-4
		","
		10—12(13—18/19—23)
		"
13,"<h1 class=""charactername"">
villager
</h1>","
		Back Air
		","
		13
		","
		35
		","
		14
		","
		Projectile attack. Autocancels on frame 1-2 and 30 onward
		","
		9.0/5.0/3.0
		","
		7/6/5
		","
		4/3/2
		","
		Early/Late/Later
		","
		-3
		","
		13—15(16—21/22—26)
		"
14,"<h1 class=""charactername"">
villager
</h1>","
		Up Air
		","
		6
		","
		42
		","
		12
		","
		Autocancels on frame 1-5 and 39 onward
		","
		13.0/10.0/8.0
		","
		9/8/7
		","
		5/4/4
		","
		3/2/1 turnips
		","
		-7/-8/-8
		","
		6—7(8—21)
		"
15,"<h1 class=""charactername"">
villager
</h1>","
		Down Air
		","
		11
		","
		42
		","
		12
		","
		Autocancels on frame 1-13 and 39 onward
		","
		13.0/10.0/8.0
		","
		9/8/7
		","
		5/4/4
		","
		3/2/1 turnips
		","
		-7/-8/-8
		","
		11—12(13—26)
		"
16,"<h1 class=""charactername"">
villager
</h1>","
		Neutral B (Pocket)
		","
		8 (Start of projectile pocket)
		","
		50
		","
		--
		","
		Invulnerable on frame 5-23. Pockets projectiles on frame 8-23.
		","
		**
		","
		**
		","
		**
		","
		--
		","
		**
		","
		8—23 (pocket)
		"
17,"<h1 class=""charactername"">
villager
</h1>","
		Pocket, Throw
		","
		9
		","
		30
		","
		--
		","
		This is not the same throw as with a holdable item
		","
		**
		","
		**
		","
		**
		","
		--
		","
		**
		","
		**
		"
18,"<h1 class=""charactername"">
villager
</h1>","
		Side B (Lloid Rocket)
		","
		52
		","
		35
		","
		--
		","
		--
		","
		7.0/5.0
		","
		7/6
		","
		3/3
		","
		Early/Late
		","
		+27
		","
		52—116(117—176)
		"
19,"<h1 class=""charactername"">
villager
</h1>","
		Up B (Balloon Trip)
		","
		**
		","
		--
		","
		30/20
		","
		First landing lag is from free fall. Second is with balloons still attached
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		**
		"
20,"<h1 class=""charactername"">
villager
</h1>","
		Down B (Timber Plant, Timber Water)
		","
		--, 5
		","
		38, 49
		","
		--
		","
","
		--
		","
		--
		","
		--
		","
		--
		","
		--
		","
		--, 5—20
		"
21,"<h1 class=""charactername"">
villager
</h1>","
		Timber Tree Grow/Fall
		","
		46/16
		","
		--
		","
		--
		","
		Refers to how long after water touches sprout/Tree is chopped a second time
		","
		18.0/25.0
		","
		11/14
		","
		6/7
		","
		--
		","
		+14 / -11
		","
		**
		"
22,"<h1 class=""charactername"">
villager
</h1>","
		Timber Axe
		","
		6
		","
		47/54
		","
		--
		","
		Second total frames is hitting a tree, and includes 13 frames of hitlag for Villager
		","
		14.0
		","
		10
		","
		13
		","
		--
		","
		-28/-35
		","
		6—8
		"
23,"<h1 class=""charactername"">
villager
</h1>","
		Grab
		","
		14
		","
		43
		","
		--
		","
		--		
		","
		--
		","
		10
		","
		13
		","
		--
		","
		-28/-35
		","
		14—16
		"
24,"<h1 class=""charactername"">
villager
</h1>","
		Dash Grab
		","
		16
		","
		47
		","
		--
		","
		--		
		","
		--
		","
		10
		","
		13
		","
		--
		","
		-28/-35
		","
		16—18
		"
25,"<h1 class=""charactername"">
villager
</h1>","
		Pivot Grab
		","
		17
		","
		44
		","
		--
		","
		--		
		","
		--
		","
		10
		","
		13
		","
		--
		","
		-28/-35
		","
		17—19
		"
26,"<h1 class=""charactername"">
villager
</h1>","
		Pummel
		","
		3
		","
		19
		","
		--
		","
		Total frames includes 13 frames of hitlag	
		","
		1.3
		","
		10
		","
		13
		","
		--
		","
		-28/-35
		","
		17—19
		"
