,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
wario
</h1>","
		Jab
		","
		8
		","
		-16
		","
		8—9
		"
1,"<h1 class=""charactername"">
wario
</h1>","
		Jab 2
		","
		4
		","
		-23
		","
		4—5
		"
2,"<h1 class=""charactername"">
wario
</h1>","
		Forward Tilt
		","
		12
		","
		-15
		","
		12—15
		"
3,"<h1 class=""charactername"">
wario
</h1>","
		Up Tilt
		","
		8
		","
		-13
		","
		8—10/11—19
		"
4,"<h1 class=""charactername"">
wario
</h1>","
		Down Tilt
		","
		5
		","
		-7
		","
		5
		"
5,"<h1 class=""charactername"">
wario
</h1>","
		Dash Attack
		","
		5
		","
		-33
		","
		5—8/9—23
		"
6,"<h1 class=""charactername"">
wario
</h1>","
		Forward Smash
		","
		18
		","
		-34
		","
		18—19
		"
7,"<h1 class=""charactername"">
wario
</h1>","
		Up Smash
		","
		11
		","
		-35/-37
		","
		11—12/13
		"
8,"<h1 class=""charactername"">
wario
</h1>","
		Down Smash
		","
		8
		","
		-44
		","
		**
		"
9,"<h1 class=""charactername"">
wario
</h1>","
		Neutral Air
		","
		4/20
		","
		-4/-4
		","
		4—12(13—17)/20—26(27—42)
		"
10,"<h1 class=""charactername"">
wario
</h1>","
		Forward Air
		","
		5
		","
		-7/-7
		","
		5—6/7—17
		"
11,"<h1 class=""charactername"">
wario
</h1>","
		Back Air
		","
		9
		","
		-11
		","
		9—11
		"
12,"<h1 class=""charactername"">
wario
</h1>","
		Up Air
		","
		8
		","
		-2
		","
		8—9
		"
13,"<h1 class=""charactername"">
wario
</h1>","
		Down Air
		","
		9/11/13/15/17/19/21
		","
		-16/-15
		","
		9/11/13/15/17/19/21
		"
14,"<h1 class=""charactername"">
wario
</h1>","
		Neutral B (Chomp)
		","
		8 (11 Grab Release)
		","
		--
		","
		8—16 (Can hold: 8—64)
		"
15,"<h1 class=""charactername"">
wario
</h1>","
		Side B (Wario Bike)
		","
		20/24
		","
		**
		","
		20—**
		"
16,"<h1 class=""charactername"">
wario
</h1>","
		Wario Bike, Wheelie
		","
		4/54
		","
		-60/-10
		","
		**
		"
17,"<h1 class=""charactername"">
wario
</h1>","
		Wario Bike, Turnaround
		","
		6
		","
		-40
		","
		**
		"
18,"<h1 class=""charactername"">
wario
</h1>","
		Bike (Thrown / Item)
		","
		--
		","
		--
		","
		--
		"
19,"<h1 class=""charactername"">
wario
</h1>","
		Up B (Corkscrew)
		","
		6/8/12/16/20/29
		","
		**
		","
		6—7/8—11/12—15/16—19/20—23/29—30
		"
20,"<h1 class=""charactername"">
wario
</h1>","
		Down B (Wario Waft)
		","
		16, 10, 5, 9
		","
		--, -41, -24, -28
		","
		16—18, 10—11, 5—8, 9—10/11—26
		"
21,"<h1 class=""charactername"">
wario
</h1>","
		Grab
		","
		8
		","
		--, -41, -24, -28
		","
		8—10
		"
22,"<h1 class=""charactername"">
wario
</h1>","
		Dash Grab
		","
		11
		","
		--, -41, -24, -28
		","
		11—13
		"
23,"<h1 class=""charactername"">
wario
</h1>","
		Pivot Grab
		","
		12
		","
		--, -41, -24, -28
		","
		12—14
		"
24,"<h1 class=""charactername"">
wario
</h1>","
		Pummel
		","
		2
		","
		--, -41, -24, -28
		","
		12—14
		"
25,"<h1 class=""charactername"">
wario
</h1>","
		Forward Throw
		","
		20/21
		","
		--, -41, -24, -28
		","
		12—14
		"
26,"<h1 class=""charactername"">
wario
</h1>","
		Backward Throw
		","
		48
		","
		--, -41, -24, -28
		","
		12—14
		"
27,"<h1 class=""charactername"">
wario
</h1>","
		Up Throw
		","
		24/25
		","
		--, -41, -24, -28
		","
		12—14
		"
28,"<h1 class=""charactername"">
wario
</h1>","
		Down Throw
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
29,"<h1 class=""charactername"">
wario
</h1>","
		Spot Dodge
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
30,"<h1 class=""charactername"">
wario
</h1>","
		Forward Roll
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
31,"<h1 class=""charactername"">
wario
</h1>","
		Backward Roll
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
32,"<h1 class=""charactername"">
wario
</h1>","
		Neutral Air Dodge
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
33,"<h1 class=""charactername"">
wario
</h1>","
		Air Dodge, Down
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
34,"<h1 class=""charactername"">
wario
</h1>","
		Air Dodge, Diagonally Down
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
35,"<h1 class=""charactername"">
wario
</h1>","
		Air Dodge, Left/Right
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
36,"<h1 class=""charactername"">
wario
</h1>","
		Air Dodge, Diagonally Up
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
37,"<h1 class=""charactername"">
wario
</h1>","
		Air Dodge, Up
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
38,"<h1 class=""charactername"">
wario
</h1>","
			Ledge Grab
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
39,"<h1 class=""charactername"">
wario
</h1>","
			Ledge Grab
		","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
40,"<h1 class=""charactername"">
wario
</h1>","
				Ledge Hang
			","
		22/30
		","
		--, -41, -24, -28
		","
		12—14
		"
