,Character Name,Move name,Start up,Advantage,Active frames
0,"<h1 class=""charactername"">
zelda
</h1>","
		Jab
		","
		4/7
		","
		-13
		","
		4—5/7
		"
1,"<h1 class=""charactername"">
zelda
</h1>","
		Rapid Jab
		","
		4/6/8/10...
		","
		--
		","
		4/6/8/10...
		"
2,"<h1 class=""charactername"">
zelda
</h1>","
		Rapid Jab Finisher
		","
		6
		","
		-32
		","
		6—7
		"
3,"<h1 class=""charactername"">
zelda
</h1>","
		Forward Tilt
		","
		12
		","
		-13/-10
		","
		12—13
		"
4,"<h1 class=""charactername"">
zelda
</h1>","
		Up Tilt
		","
		7
		","
		-15
		","
		7—19
		"
5,"<h1 class=""charactername"">
zelda
</h1>","
		Down Tilt
		","
		5
		","
		-10
		","
		5—11
		"
6,"<h1 class=""charactername"">
zelda
</h1>","
		Dash Attack
		","
		6
		","
		-18
		","
		6—7/8—12
		"
7,"<h1 class=""charactername"">
zelda
</h1>","
		Forward Smash
		","
		16/18/20/22/24
		","
		-16
		","
		16/18/20/22/24
		"
8,"<h1 class=""charactername"">
zelda
</h1>","
		Up Smash
		","
		9/13/17/21/25/29/34
		","
		-25
		","
		9—23/25—32/34
		"
9,"<h1 class=""charactername"">
zelda
</h1>","
		Down Smash
		","
		5/13
		","
		-24/-17
		","
		5—6/13—14
		"
10,"<h1 class=""charactername"">
zelda
</h1>","
		Neutral Air
		","
		6/10/14/18/22
		","
		-10/-9
		","
		6—7/10—11/14—15/18—19/22—23
		"
11,"<h1 class=""charactername"">
zelda
</h1>","
		Forward Air
		","
		6
		","
		-8/-12
		","
		6/7—10
		"
12,"<h1 class=""charactername"">
zelda
</h1>","
		Back Air
		","
		6
		","
		-8/-12
		","
		6/7—10
		"
13,"<h1 class=""charactername"">
zelda
</h1>","
		Up Air
		","
		14
		","
		-6/-8
		","
		14—16/17—19
		"
14,"<h1 class=""charactername"">
zelda
</h1>","
		Down Air
		","
		14
		","
		-6/-9
		","
		14/15—24
		"
15,"<h1 class=""charactername"">
zelda
</h1>","
		Neutral B (Nayru's Love)
		","
		11...
		","
		-25
		","
		11-22 (Rehit Rate : 4) / 26
		"
16,"<h1 class=""charactername"">
zelda
</h1>","
		Side B (Din's Fire)
		","
		44—70
		","
		-18 to -10
		","
		44—47/.../70—73
		"
17,"<h1 class=""charactername"">
zelda
</h1>","
		Up B (Farore's Wind)
		","
		6/35
		","
		-19
		","
		6—7/35—36
		"
18,"<h1 class=""charactername"">
zelda
</h1>","
		Down B (Phantom Slash)
		","
		26/32/38/46/59-127
		","
		-19 to -15
		","
		**
		"
19,"<h1 class=""charactername"">
zelda
</h1>","
		Grab
		","
		10
		","
		-19 to -15
		","
		10—11
		"
20,"<h1 class=""charactername"">
zelda
</h1>","
		Dash Grab
		","
		13
		","
		-19 to -15
		","
		13—14
		"
21,"<h1 class=""charactername"">
zelda
</h1>","
		Pivot Grab
		","
		14
		","
		-19 to -15
		","
		14—15
		"
22,"<h1 class=""charactername"">
zelda
</h1>","
		Pummel
		","
		2
		","
		-19 to -15
		","
		14—15
		"
23,"<h1 class=""charactername"">
zelda
</h1>","
		Forward Throw
		","
		30
		","
		-19 to -15
		","
		14—15
		"
24,"<h1 class=""charactername"">
zelda
</h1>","
		Backward Throw
		","
		27
		","
		-19 to -15
		","
		14—15
		"
25,"<h1 class=""charactername"">
zelda
</h1>","
		Up Throw
		","
		30
		","
		-19 to -15
		","
		14—15
		"
26,"<h1 class=""charactername"">
zelda
</h1>","
		Down Throw
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
27,"<h1 class=""charactername"">
zelda
</h1>","
		Spot Dodge
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
28,"<h1 class=""charactername"">
zelda
</h1>","
		Forward Roll
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
29,"<h1 class=""charactername"">
zelda
</h1>","
		Backward Roll
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
30,"<h1 class=""charactername"">
zelda
</h1>","
		Neutral Air Dodge
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
31,"<h1 class=""charactername"">
zelda
</h1>","
		Air Dodge, Down
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
32,"<h1 class=""charactername"">
zelda
</h1>","
		Air Dodge, Diagonally Down
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
33,"<h1 class=""charactername"">
zelda
</h1>","
		Air Dodge, Left/Right
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
34,"<h1 class=""charactername"">
zelda
</h1>","
		Air Dodge, Diagonally Up
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
35,"<h1 class=""charactername"">
zelda
</h1>","
		Air Dodge, Up
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
36,"<h1 class=""charactername"">
zelda
</h1>","
			Ledge Grab
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
37,"<h1 class=""charactername"">
zelda
</h1>","
			Ledge Grab
		","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
38,"<h1 class=""charactername"">
zelda
</h1>","
				Ledge Hang
			","
		25/30/35/39/42
		","
		-19 to -15
		","
		14—15
		"
