,Character Name,Move name,Start up,Total frames,Landingag,Notes,Base damage,Shield lag,Shield stun,Which hit box,Advantage,Active frames
0,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Jab 1
		","
		1
		","
		23
		","
		--
		","
		Transitions to Jab 2 as early as frame 6
		","
		1.5
		","
		8
		","
		3
		","
		--
		","
		-19
		","
		1
		"
1,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Jab 2
		","
		2
		","
		25
		","
		--
		","
		Transitions to Jab 3 as early as frame 6
		","
		1.5
		","
		8
		","
		3
		","
		--
		","
		-20
		","
		2
		"
2,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Jab 3
		","
		3
		","
		34
		","
		--
		","
		--
		","
		3.0
		","
		9
		","
		4
		","
		--
		","
		-27
		","
		3—4
		"
3,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Forward Tilt
		","
		6
		","
		28
		","
		--
		","
		--
		","
		7.0/8.0
		","
		7/7
		","
		7/8
		","
		no angle/angled
		","
		-15/-14
		","
		6—8
		"
4,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Up Tilt
		","
		3/9
		","
		45
		","
		--
		","
		--
		","
		5.0/7.0
		","
		7/8
		","
		6/7
		","
		--
		","
		-36/-29
		","
		3—4/9—10
		"
5,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Down Tilt
		","
		8
		","
		29
		","
		--
		","
		--
		","
		8.0/6.0
		","
		7
		","
		8
		","
		--
		","
		-13
		","
		8—9
		"
6,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Dash Attack
		","
		7
		","
		51
		","
		--
		","
		--
		","
		8.0/5.0
		","
		7/6
		","
		8/6
		","
		Early/Late
		","
		-36
		","
		7—9(10—19)
		"
7,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Forward Smash
		","
		13/26
		","
		64
		","
		--
		","
		Charge hold is frame 9
		","
		5.0/11.0/11.0
		","
		6/8/14
		","
		4/8/8
		","
		first/second/second far
		","
		-30
		","
		13—14/26—28
		"
8,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Up Smash
		","
		10/14/17/20/23/26/28
		","
		48
		","
		--
		","
		Charge hold is frame 4
		","
		4.0/0.8/3.0
		","
		8/6/7
		","
		4/2/3
		","
		First/multi/Final
		","
		-17
		","
		10—11/14/17/20/23/26/28—29
		"
9,"<h1 class=""charactername"">
zero suit samus
</h1>","
		Down Smash
		","
		20
		","
		41
		","
		--
		","
		Charge hold is frame 15
		","
		8.0/6.0
		","
		7/6
		","
		6/5
		","
		Close/Far
		","
		-15/-16
		","
		20—24
		"
