,Move name,Start up,Total frame,Advantage,Active frames
0,Jab,5,22,-10,5—7
1,Forward Tilt,8,33,-15,8—10
2,Up Tilt,6,38,-22,6/7—8/9—11
3,Down Tilt,7,21,-5,7—8
4,Dash Attack,13,45,-21,13—16
5,Forward Smash,13,53,-28,13—14
6,Up Smash,12/13/15/17/19/22,58,-29,12/13/15/17/19/22—23
7,Down Smash,6/21,62,-47/-31,6—7/21—22
8,Neutral Air,6/15,45,-6/-6,6—7/15—21
9,Forward Air,10,29,-4,10—12
10,Back Air,8,35,-5,8—10
11,Up Air,5,41,-4,5—12
12,Down Air,16,51,-9/-9,16—17
13,Neutral B (Flare Blade),21-260,44-283,-15—Shieldbreak,Normal: 21—24 (or 10—14 from release) || Max: 21—25
14,"Side B, Hit 1 (Double-Edge Dance, Hit 1)",9,39/29,-26/-16(air),9—11
15,"Double-Edge Dance, Hit 2 Neutral",5,38,-29,5—7
16,"Double-Edge Dance, Hit 3 Neutral",4,43,-34,4—6
17,"Double-Edge Dance, Hit 4 Neutral",7,58,-45,7—9
18,"Double-Edge Dance, Hit 2 Up",4,38,-30,4—6
19,"Double-Edge Dance, Hit 3 Up",5,43,-33,5—7
20,"Double-Edge Dance, Hit 4 Up",6,44,-31,6—10
21,"Double-Edge Dance, Hit 3 Down",5,44,-34,5—7
22,"Double-Edge Dance, Hit 4 Down",7/10/13/16/19,71,-47,7/10/13/16/19—21
23,Up B (Soaring Slash),10/39/53/**,--,-29,10—11/39—47(rehit: 7) / 54—**/1—4
24,Down B (Counter),8 (Start of Counter),67,--,--
25,"Counter, Attack",4,40,--,4—5
26,Grab,7,36,--,7—8
27,Dash Grab,10,44,--,10—11
28,Pivot Grab,11,39,--,11—12
29,Pummel,1,19,--,11—12
30,Forward Throw,15,31,--,11—12
31,Backward Throw,8,44,--,11—12
32,Up Throw,13,44,--,11—12
33,Down Throw,16,41,--,11—12
34,Spot Dodge,16,20/25,--,11—12
35,Forward Roll,16,29,--,11—12
36,Backward Roll,16,34,--,11—12
37,Neutral Air Dodge,16,44,--,11—12
38,"Air Dodge, Down",16,62,--,11—12
39,"Air Dodge, Diagonally Down",16,68,--,11—12
40,"Air Dodge, Left/Right",16,74,--,11—12
41,"Air Dodge, Diagonally Up",16,87,--,11—12
42,"Air Dodge, Up",16,97,--,11—12
43,Ledge Grab,16,97,--,11—12
44,Ledge Grab,16,97,--,11—12
45,Ledge Hang,16,97,--,11—12
