,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,2,19,-13,2—3
1,Jab 2,2,21,-16,2—3
2,Jab 3,3,33,-25,3—4
3,Forward Tilt,5,25,-12,5—7
4,Up Tilt,5,29,-17,5—11
5,Down Tilt,5,27,-14/-16,5—7
6,Dash Attack,6,37,-12,6—9/10—25
7,Forward Smash,15,47,-18/-20,15—17
8,Up Smash,9,39,-19,9—13
9,Down Smash,5/14,43,-30/-19,5—6/14
10,Neutral Air,3,45,-4/-3,3—10/11—27
11,Forward Air,16,59,-11/-12,16/17—20/21
12,Back Air,6,33,-5/-6,6—8/9—13
13,Up Air,4,30,-4,4—7
14,Down Air,16,44,-8,16—19
15,Neutral B (Megavitamin Pill),17,49,-23,17—46/47—86
16,Side B (Super Sheet),12,35,-15,12—14
17,Up B (Super Jump Punch),3/7/9/11/13/15/17,--,--,3—5/6—19
18,Down B (Dr. Tornado),10/14/18/22/26/30/40,74,-30,10/14/18/22/26/30/40—41
19,Grab,6,34,-30,6—7
20,Dash Grab,9,42,-30,9—10
21,Pivot Grab,10,36,-30,10—11
22,Pummel,1,19,-30,10—11
23,Forward Throw,13,27,-30,10—11
24,Backward Throw,40,59,-30,10—11
25,Up Throw,18,39,-30,10—11
26,Down Throw,18,39,-30,10—11
27,Spot Dodge,18,20/25,-30,10—11
28,Forward Roll,18,29,-30,10—11
29,Backward Roll,18,34,-30,10—11
30,Neutral Air Dodge,18,52,-30,10—11
31,"Air Dodge, Down",18,71,-30,10—11
32,"Air Dodge, Diagonally Down",18,81,-30,10—11
33,"Air Dodge, Left/Right",18,87,-30,10—11
34,"Air Dodge, Diagonally Up",18,100,-30,10—11
35,"Air Dodge, Up",18,116,-30,10—11
36,Ledge Grab,18,116,-30,10—11
37,Ledge Grab,18,116,-30,10—11
38,Ledge Hang,18,116,-30,10—11
