,Move name,Start up,Total frame,Advantage,Active frames
0,Jab,7,26,-8,7—8
1,Forward Tilt,10,39,-17/-16,10—12
2,Up Tilt,60,95,-14,60—61(62—63) / Windboxes 6—52
3,Down Tilt,10,35,-12,10—12
4,Dash Attack,10,37,-9,10—12/13—19
5,Forward Smash,29,69,-24,29—31
6,Up Smash,20,61,-25,20—25
7,Down Smash,15/35,59,-39/-13,15—18/35—38
8,Neutral Air,7/17,40,(-7/-7)(-5/-6),(7—8/9—12)(17—18/19—26)
9,Forward Air,14,44,-7/-7,14—19
10,Back Air,10,35,-4/-4,10—12
11,Up Air,8,33,-6/-6/-6/-7/-7/-8,8—10/11—13/14—16 (Close/Early/Late)
12,Down Air,16,44,-9/-10,16—18
13,Neutral B (Warlock Punch),70/80,117/127,-20/-14,70—73/80—83
14,"Neutral B, Air (Warlock Punch, Air)",70/80,117/127,-14/-12,70—73/80—83
15,Side B (Flame Choke),16,59,--,16—30
16,"Flame Choke, Success",31,57,--,32
17,"Side B, Air (Flame Choke, Air)",16,--,--,16—28
18,"Side B, Air Success (Flame Choke, Air Success)",--,--,--,1 (Landing)
19,Up B (Dark Dive),14,**,--,14—28(Grab)/34—36(Attack)
20,"Dark Dive, Grab Success",4/8/12/16/17,66,--,**
21,Down B (Wizard's Foot),16,60/68,-29,16—35
22,"Down B, Air (Wizard's Foot, Air)",16,57,-34,16—18/19—29/2—3
23,Grab,8,38,-34,8—10
24,Dash Grab,11,46,-34,11—13
25,Pivot Grab,12,41,-34,12—14
26,Pummel,2,21,-34,12—14
27,Forward Throw,11/13,39,-34,12—14
28,Backward Throw,12/14,49,-34,12—14
29,Up Throw,11/13,43,-34,12—14
30,Down Throw,23,39,-34,12—14
31,Spot Dodge,23,23/28,-34,12—14
32,Forward Roll,23,32,-34,12—14
33,Backward Roll,23,37,-34,12—14
34,Neutral Air Dodge,23,46,-34,12—14
35,"Air Dodge, Down",23,66,-34,12—14
36,"Air Dodge, Diagonally Down",23,73,-34,12—14
37,"Air Dodge, Left/Right",23,79,-34,12—14
38,"Air Dodge, Diagonally Up",23,91,-34,12—14
39,"Air Dodge, Up",23,103,-34,12—14
40,Ledge Grab,23,103,-34,12—14
41,Ledge Grab,23,103,-34,12—14
42,Ledge Hang,23,103,-34,12—14
