,Move name,Start up,Total frame,Advantage,Active frames
0,Jab,3,19,-14,3—4
1,Forward Tilt,8,36,-20,8—11
2,Up Tilt,6,29,-19,6—13
3,Down Tilt,9,34,-13/-17,9—10
4,Dash Attack,7,39,-21,7—12/13—19
5,Forward Smash,14,45,-20,14—15/16—19
6,Up Smash,9/14,45,-12,9—10/14—16/17—18
7,Down Smash,8/12,43,-29/-26,8—9/12—13
8,Neutral Air,5/8,33,-2/-3,5—7/8—25
9,Forward Air,10,39,-4,10—12(13—18/19—23)
10,Back Air,13,35,-3,13—15(16—21/22—26)
11,Up Air,6,42,-5/-6,6—7/8—31
12,Down Air,11,42,-5/-6,11—12/13—28
13,Neutral B (Pocket),8 (Start of projectile pocket),50,--,8—23
14,"Pocket, Throw",9,30,**,8—23
15,Side B (Fishing Rod),21,--,**,"21—43 (Ground), 21—70+ (Air), 18 (Tether)"
16,"Fishing Rod, Reel In",2,38,**,2—11
17,"Fishing Rod, Throw Forward",15,45,**,**
18,"Fishing Rod, Throw Back",13,35,**,**
19,"Fishing Rod, Throw Up",22,43,**,**
20,"Fishing Rod, Throw Down",18/22,39,**,**
21,Up B (Balloon Trip),**,--,**,**
22,Down B (Lloid Trap),9/17/25/34/43/51,49/26,**,9/17/25/34/43/51
23,Grab,14,43,**,14—16
24,Dash Grab,15,46,**,15—17
25,Pivot Grab,17,44,**,17—19
26,Pummel,**,**,**,17—19
27,Forward Throw,15,45,**,17—19
28,Backward Throw,14,49,**,17—19
29,Up Throw,20,52,**,17—19
30,Down Throw,18,35,**,17—19
31,Spot Dodge,18,20/25,**,17—19
32,Forward Roll,18,29,**,17—19
33,Backward Roll,18,34,**,17—19
34,Neutral Air Dodge,18,58,**,17—19
35,"Air Dodge, Down",18,80,**,17—19
36,"Air Dodge, Diagonally Down",18,91,**,17—19
37,"Air Dodge, Left/Right",18,97,**,17—19
38,"Air Dodge, Diagonally Up",18,115,**,17—19
39,"Air Dodge, Up",18,133,**,17—19
40,Ledge Grab,18,133,**,17—19
41,Ledge Grab,18,133,**,17—19
42,Ledge Hang,18,133,**,17—19
