,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,10,32,-18,10—11
1,Jab 2,11,27,-13,23—24
2,Rapid Jab,5/8/11...,--,--,34—**
3,Rapid Jab Finisher,4,49,-41,**
4,Forward Tilt,12/16/20/23,48,-21,12—21/23
5,Up Tilt,7,38,-21/-23,7—13
6,Down Tilt,6,37,-21,6—7(8—11)
7,Dash Attack,26,66,-26,26—27(28—41)
8,Forward Smash,40,77,?/-/-18/-25,40
9,Up Smash,17,67,-39,17—24
10,Down Smash,12/20,52,-31/-23,14—22
11,Neutral Air,7,39,-4/-6,7—8(9—29)
12,Forward Air,13,41,-13,13—15
13,Back Air,17,37,-8,17—19
14,Up Air,10/12/14/16/18/20/22/24,44,-10,10/12/14/16/18/20/22/24—25
15,Down Air,22,47,-13/-14,22—23
16,Neutral B (Inhale),14,74,--,17—**
17,"Inhale, Spit",6,29,--,**
18,Side B (Gordo Throw),29,60,-21/-11/-17,29(5—146)
19,Up B (Super Dedede Jump),69,--,-46,69/4—5/6—20
20,"Down B (Jet Hammer, Partial Charge)",10(+17),59,-39 to -24,27—29
21,"Down B, Full Charge (Jet Hammer, Full Charge)",10,69,-26,10—11
22,Grab,8,39,-26,8—10
23,Dash Grab,11,47,-26,11—13
24,Pivot Grab,12,42,-26,12—14
25,Pummel,2,21,-26,12—14
26,Forward Throw,14,37,-26,12—14
27,Backward Throw,19,41,-26,12—14
28,Up Throw,19,39,-26,12—14
29,Down Throw,26,41,-26,12—14
30,Spot Dodge,26,23/28,-26,12—14
31,Forward Roll,26,32,-26,12—14
32,Backward Roll,26,37,-26,12—14
33,Neutral Air Dodge,26,43,-26,12—14
34,"Air Dodge, Down",26,58,-26,12—14
35,"Air Dodge, Diagonally Down",26,66,-26,12—14
36,"Air Dodge, Left/Right",26,72,-26,12—14
37,"Air Dodge, Diagonally Up",26,86,-26,12—14
38,"Air Dodge, Up",26,96,-26,12—14
39,Ledge Grab,26,96,-26,12—14
40,Ledge Grab,26,96,-26,12—14
41,Ledge Hang,26,96,-26,12—14
