,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,6,19,-9,6—7
1,Jab 2,6,22,-12,6—7
2,Jab 3,6,38,-26,6—8
3,Forward Tilt,10,34,-16,10—11
4,Up Tilt,8,32,-17,8—12
5,Down Tilt,5,19,-6,5—6
6,Dash Attack,9,41,-18,9—10
7,Forward Smash,15,59,-34/-34/-33,15—17
8,Up Smash,11/14/21,59,-32,11—12/14—15/21—22
9,Down Smash,7/15,53,-38/-28,7—8/15—16
10,Neutral Air,10,48,-5,10—23
11,Forward Air,12/16/21,49,-10/-9,12—13/16—17/21—22
12,Back Air,10,37,-4,10—11
13,Up Air,11,44,-4/-6,11—13(14—23)
14,Down Air,14...,58,-11,14—37(rehit: 5)/1—3
15,Gale Strike,20,67,-33,20—37(38—55/56—71)
16,Shuriken of Light,13,37,-18,13—20(21—28/29—36/37—50)
17,Blurring Blade,17/21/25/29/33/44,84,-32 to -23,17—18/21—22/25—26/29—30/33—34/44—45
18,Airborne Assault,2(+25),109,-41,**
19,Gale Stab,2(+7),55,-24 to -16,**
20,Chakram,18,52,-27/-20,18—89/18—40
21,Stone Scabbard,13/42,--,-37,**
22,Skyward Slash Dash,15/19/22/25/28/31/34,77,-38,15/19—20/22—23/25—26/28—29/31—32/34—35
23,Hero's Spin,8,78,-57 to -53,8—9(10—14/15—24/25—40)
24,Hero's Spin (Air),8/16/22/26/31/38/47,--,**,8/11/16/19/22/26/31/38/47—48
25,Blade Counter,6 (Start of Counter),59,--,6—25 (counter)
26,"Blade Counter, Activated",21,40,--,21—22
27,Reversal Slash,16 (5 is Start of Reflector),36,-13,16—17
28,Power Thrust,14,61,-33,14—16(17—24/25—32)
29,Power Thrust (Air),16,60,-31,16—18(19—26/27—31)/1—2
30,Grab,6,34,-31,6—7
31,Dash Grab,9,42,-31,9—10
32,Pivot Grab,10,37,-31,10—11
33,Pummel,1,19,-31,10—11
34,Forward Throw,11/13,40,-31,10—11
35,Backward Throw,15/16,46,-31,10—11
36,Up Throw,21/23,49,-31,10—11
37,Down Throw,15/16,32,-31,10—11
38,Spot Dodge,15/16,20/25,-31,10—11
39,Forward Roll,15/16,29,-31,10—11
40,Backward Roll,15/16,34,-31,10—11
41,Neutral Air Dodge,15/16,50,-31,10—11
42,"Air Dodge, Down",15/16,69,-31,10—11
43,"Air Dodge, Diagonally Down",15/16,77,-31,10—11
44,"Air Dodge, Left/Right",15/16,84,-31,10—11
45,"Air Dodge, Diagonally Up",15/16,99,-31,10—11
46,"Air Dodge, Up",15/16,107,-31,10—11
47,Ledge Grab,15/16,107,-31,10—11
48,Ledge Grab,15/16,107,-31,10—11
49,Ledge Hang,15/16,107,-31,10—11
