,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,8,24,-12,8—9
1,Rapid Jab,4/7/10...,--,--,4/7/10...
2,Rapid Jab Finisher,3,39,-32,3
3,Forward Tilt,14/24,59,-28,14—23/24—35
4,Up Tilt,8...,55,-27,8—22/24—25 (rehit: 3)
5,Down Tilt,14,39,-17,14—27
6,Dash Attack,6,37,-21,6—9/10—17
7,Forward Smash,18,63,-34/-36,18—20
8,Up Smash,18,63,-34/-37,18—35
9,Down Smash,17,68,-41/-42,17—19
10,Neutral Air,5...,51,-10/-9,5—27/29—30 (rehit: 4)
11,Forward Air,9,44,-3,9—11
12,Back Air,8,49,-5,8—10
13,Up Air,10...,51,-12/-11,10—22/24—25 (rehit: 3)
14,Down Air,10,58,-7,10—11
15,Neutral B (Autoreticle),24/30/36,67,-24,24/30/36
16,Side B (Explosive Flame),28/33/38/43/48/53/57,71,-2,28/33/38/43/48/53/57
17,Up B (Warp),**,67,--,**
18,Down B (Counter),7 (Start of Counter/Reflect),70,--,**
19,"Counter, Attack/Reflect",4/--,36/34,--,4—6
20,Grab,7,39,--,7—8
21,Dash Grab,10,47,--,10—11
22,Pivot Grab,11,42,--,11—12
23,Pummel,1,19,--,11—12
24,Forward Throw,20,44,--,11—12
25,Backward Throw,20,54,--,11—12
26,Up Throw,17,54,--,11—12
27,Down Throw,25,45,--,11—12
28,Spot Dodge,25,20/25,--,11—12
29,Forward Roll,25,29,--,11—12
30,Backward Roll,25,34,--,11—12
31,Neutral Air Dodge,25,49,--,11—12
32,"Air Dodge, Down",25,70,--,11—12
33,"Air Dodge, Diagonally Down",25,77,--,11—12
34,"Air Dodge, Left/Right",25,82,--,11—12
35,"Air Dodge, Diagonally Up",25,93,--,11—12
36,"Air Dodge, Up",25,105,--,11—12
37,Ledge Grab,25,105,--,11—12
38,Ledge Grab,25,105,--,11—12
39,Ledge Hang,25,105,--,11—12
