,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,7,27,-17,7—8
1,Jab 2,5,27,-19,5—6
2,Rapid Jab,4/7/10...,--,--,4/7/10...
3,Rapid Jab Finisher,4,39,-32,4—5
4,Forward Tilt,10/12/14/16/18/20/22,45,-20,10/12/14/16/18/20/22
5,Up Tilt,7,32,-18,7—13
6,Down Tilt,4,31,-21,4—6
7,Dash Attack,4,43,-27,4—11/12—19
8,Forward Smash,15,59,-33,15—18/19—20
9,Up Smash,26,59,-21,26—29
10,Down Smash,13,45,-26/-25/-24,13—14
11,Neutral Air,7/10/13/16/19/22/25/28,41,-14/-14,7—26/28—29
12,Forward Air,14,48,-8,14—18
13,Back Air,7/13,43,-5/-4,7—9/13—15
14,Up Air,12,51,-6,12—13
15,Down Air,11,63,-9,11—12
16,Neutral B (Bullet Seed),7/13/20/26/32/38...,79,-34,7—8/13/20/26/32/38...
17,Side B (Razor Leaf),24,48,-14,24-34/35-53/54-73
18,Up B (Vinewhip),15,47,-22/-20,15—17
19,Down B (Pokemon Change),--,39,--,**
20,Grab,13,42,--,13—14
21,Dash Grab,13,48,--,13—14
22,Pivot Grab,13,44,--,13—14
23,Pummel,1,19,--,13—14
24,Forward Throw,16/17,37,--,13—14
25,Backward Throw,20,35,--,13—14
26,Up Throw,20/21,39,--,13—14
27,Down Throw,19,34,--,13—14
28,Spot Dodge,19,21/26,--,13—14
29,Forward Roll,19,30,--,13—14
30,Backward Roll,19,35,--,13—14
31,Neutral Air Dodge,19,56,--,13—14
32,"Air Dodge, Down",19,76,--,13—14
33,"Air Dodge, Diagonally Down",19,84,--,13—14
34,"Air Dodge, Left/Right",19,93,--,13—14
35,"Air Dodge, Diagonally Up",19,110,--,13—14
36,"Air Dodge, Up",19,124,--,13—14
37,Ledge Grab,19,124,--,13—14
38,Ledge Grab,19,124,--,13—14
39,Ledge Hang,19,124,--,13—14
