,Move name,Start up,Total frame,Advantage,Active frames
0,Ledge Hang,24,124,--,10—11
1,Jab 1,5,20,-12,5
2,Jab 1 (Luma),4,--,**,4
3,Jab 2,6,24,-15,6—7
4,Jab 2 (Luma),6,--,**,6
5,Jab 3,7,35,-24,7—8
6,Jab 3 (Luma),7,--,**,7—8
7,Rapid Jab,2/5/8/11...,--,--,2/5/8/11...
8,Rapid Jab (Luma),3/6/9/12...,24,--,3/6/9/12...
9,Rapid Jab Finisher,5,38,-29,6—7
10,Rapid Jab Finisher (Luma),5,--,**,6—7
11,Forward Tilt,7,37,-22,7—9
12,Forward Tilt (Luma),8,--,**,8—10
13,Up Tilt,7,40,-23,7—10/11—17
14,Up Tilt (Luma),3,--,**,3/4—5/6—10
15,Down Tilt,5,32,-21,5—8
16,Down Tilt (Luma),8,--,**,8—13
17,Dash Attack,6/17,40,-18,6—9/17—19
18,Dash Attack (Luma),6,--,**,6—8
19,Forward Smash,16,51,-26,16—18
20,Forward Smash (Luma),17,--,**,17—18
21,Up Smash,8,47,-31,8—16
22,Up Smash (Luma),10,--,**,10—12/13—17
23,Down Smash,6/17,41,-29/-17,6—7/17—18
24,Down Smash (Luma),7/19,--,**,7—8/19—20
25,Neutral Air,9,43,-4/-5,9/10—19/20—31/32/33
26,Neutral Air (Luma),7/13,--,**,7—9/13—15
27,Forward Air,10/13/16/19/22,59,-14/-13,10—20(rehit rate: 3)/22
28,Forward Air (Luma),11,--,**,11—13
29,Back Air,9,54,-4,9—11
30,Back Air (Luma),10,--,**,10—15
31,Up Air,8,49,-7/-8/-9,8—10/11—14/15—19
32,Up Air (Luma),6,--,**,6—11
33,Down Air,17,49,-7/-8/-9,17/18—22/23—25/26—32
34,Down Air (Luma),15,--,**,15—19
35,Neutral B (Luma Shot),10—91,34—115,-15 to -9,15—19
36,Luma Recall,--,21/23,--,15—19
37,Side B (Star Bits),10/16/22,51,-22,15—19
38,Up B (Launch Star),--,--,--,15—19
39,Down B (Gravitational Pull),--,39,--,15—19
40,Grab,6,39,--,6—7
41,Dash Grab,9,46,--,9—10
42,Pivot Grab,10,41,--,10—11
43,Pummel,1,19,--,10—11
44,Forward Throw,28,37,--,10—11
45,Backward Throw,30,42,--,10—11
46,Up Throw,13,37,--,10—11
47,Down Throw,13,35,--,10—11
48,Spot Dodge,13,21/26,--,10—11
49,Forward Roll,13,30,--,10—11
50,Backward Roll,13,35,--,10—11
51,Neutral Air Dodge,13,62,--,10—11
52,"Air Dodge, Down",13,86,--,10—11
53,"Air Dodge, Diagonally Down",13,94,--,10—11
54,"Air Dodge, Left/Right",13,105,--,10—11
55,"Air Dodge, Diagonally Up",13,124,--,10—11
56,"Air Dodge, Up",13,144,--,10—11
57,Ledge Grab,13,144,--,10—11
58,Ledge Grab,13,144,--,10—11
59,Ledge Hang,13,144,--,10—11
