,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,4,25,-18,4—5
1,Jab 2,3,29,-23,3—4
2,Jab 3,5,39,-30,5—6
3,Forward Tilt,6,32,-16,6—10
4,Up Tilt,5,29,-14,5—12
5,Down Tilt,9,38,-17,9—12
6,Dash Attack,6,38,-20,6—8(9—13)
7,Forward Smash,16,56,-30,16—19
8,Up Smash,11,54,-33/-31,11—12(13—19)
9,Down Smash,18,46,-25,18—21
10,Neutral Air,9/12,34,-5/-4,9—11/12—13
11,Forward Air,9,35,-2/-4/-3/-4,9(10/11—15)
12,Back Air,5,48,-7/-8/-9,5(6—11)
13,Up Air,6,39,-5,6—10
14,Down Air,15,39,-7,15—17(18—20)
15,Neutral B (Sun Salutation),4(+17),39,-26 to -16,21—90
16,"Sun Salutation, Full Charge",21,56,-16,21—90
17,Side B (Header),15—31,40—56,-11/-13,**
18,Up B (Super Hoop),6/23/40,30,**,**
19,Down B (Deep Breathing),39,--,--,**
20,Grab,6,34,--,6—7
21,Dash Grab,9,42,--,9—10
22,Pivot Grab,10,37,--,10—11
23,Pummel,1,19,--,10—11
24,Forward Throw,36/38,49,--,10—11
25,Backward Throw,19/21,49,--,10—11
26,Up Throw,28,49,--,10—11
27,Down Throw,24,49,--,10—11
28,Spot Dodge,24,20/25,--,10—11
29,Forward Roll,24,29,--,10—11
30,Backward Roll,24,34,--,10—11
31,Neutral Air Dodge,24,57,--,10—11
32,"Air Dodge, Down",24,80,--,10—11
33,"Air Dodge, Diagonally Down",24,88,--,10—11
34,"Air Dodge, Left/Right",24,96,--,10—11
35,"Air Dodge, Diagonally Up",24,107,--,10—11
36,"Air Dodge, Up",24,124,--,10—11
37,Ledge Grab,24,124,--,10—11
38,Ledge Grab,24,124,--,10—11
39,Ledge Hang,24,124,--,10—11
