,Move name,Start up,Total frame,Advantage,Active frames
0,Jab,4/7,24,-13,4—5/7
1,Rapid Jab,4/6/8/10...,--,--,4/6/8/10...
2,Rapid Jab Finisher,6,42,-32,6—7
3,Forward Tilt,12,36,-13/-10,12—13
4,Up Tilt,7,29,-15,7—19
5,Down Tilt,5,21,-10,5—11
6,Dash Attack,6,35,-18,6—7/8—12
7,Forward Smash,16/18/20/22/24,49,-16,16/18/20/22/24
8,Up Smash,9/13/17/21/25/29/34,63,-25,9—23/25—32/34
9,Down Smash,5/13,37,-24/-17,5—6/13—14
10,Neutral Air,6/10/14/18/22,50,-10/-9,6—7/10—11/14—15/18—19/22—23
11,Forward Air,6,49,-8/-12,6/7—10
12,Back Air,6,49,-8/-12,6/7—10
13,Up Air,14,54,-6/-8,14—16/17—19
14,Down Air,14,44,-6/-9,14/15—24
15,Neutral B (Nayru's Love),11...,57,-25,11-22 (Rehit Rate : 4) / 26
16,Side B (Din's Fire),44—70,69—97,-18 to -10,44—47/.../70—73
17,Up B (Farore's Wind),6/35,75,-19,6—7/35—36
18,Down B (Phantom Slash),26/32/38/46/59-127,66/39,-19 to -15,**
19,Grab,10,39,-19 to -15,10—11
20,Dash Grab,13,47,-19 to -15,13—14
21,Pivot Grab,14,42,-19 to -15,14—15
22,Pummel,2,20,-19 to -15,14—15
23,Forward Throw,30,49,-19 to -15,14—15
24,Backward Throw,27,49,-19 to -15,14—15
25,Up Throw,30,49,-19 to -15,14—15
26,Down Throw,25/30/35/39/42,61,-19 to -15,14—15
27,Spot Dodge,25/30/35/39/42,21/26,-19 to -15,14—15
28,Forward Roll,25/30/35/39/42,30,-19 to -15,14—15
29,Backward Roll,25/30/35/39/42,35,-19 to -15,14—15
30,Neutral Air Dodge,25/30/35/39/42,56,-19 to -15,14—15
31,"Air Dodge, Down",25/30/35/39/42,77,-19 to -15,14—15
32,"Air Dodge, Diagonally Down",25/30/35/39/42,86,-19 to -15,14—15
33,"Air Dodge, Left/Right",25/30/35/39/42,96,-19 to -15,14—15
34,"Air Dodge, Diagonally Up",25/30/35/39/42,114,-19 to -15,14—15
35,"Air Dodge, Up",25/30/35/39/42,129,-19 to -15,14—15
36,Ledge Grab,25/30/35/39/42,129,-19 to -15,14—15
37,Ledge Grab,25/30/35/39/42,129,-19 to -15,14—15
38,Ledge Hang,25/30/35/39/42,129,-19 to -15,14—15
