,Move name,Start up,Total frame,Advantage,Active frames
0,Jab 1,1,23,-19,1
1,Jab 2,2,25,-20,2
2,Jab 3,3,34,-27,3—4
3,Forward Tilt,6,28,-15/-14,6—8
4,Up Tilt,3/9,45,-36/-29,3—4/9—10
5,Down Tilt,8,29,-13,8—9
6,Dash Attack,7,51,-36,7—9(10—19)
7,Forward Smash,13/26,64,-30,13—14/26—28
8,Up Smash,10/14/17/20/23/26/28,48,-17,10—11/14/17/20/23/26/28—29
9,Down Smash,20,41,-15/-16,20—24
10,Neutral Air,10,51,-2,10—11(15—16)
11,Forward Air,6/13,46,-7/-7,6—7/13—14
12,Back Air,8,40,-6/-5,8—9
13,Up Air,6,34,-2,6—12
14,Down Air,14,67,-17,14—49/1—3
15,Z Air,9,49,-2,9—19
16,Neutral B (Paralyzer),21—43,48—70,-20 to -18,21—44 (no charge) || 43—90 (max charge)
17,Side B (Plasma Whip),22/24/26/28/31,55,-15,22—23/24—25/26—27/28—29/31—35
18,Up B (Boost Kick),4/10...,--,--,4/10—22/26/32—33 (rehit: 4)
19,Down B (Flip Jump),--,38,**,**
20,"Flip Jump, Kick",9,59,-36,9—12
21,Grab,15,58,-36,15—25
22,Dash Grab,17,66,-36,17—26
23,Pivot Grab,18,61,-36,18—26
24,Pummel,1,19,-36,18—26
25,Forward Throw,8/9,25,-36,18—26
26,Backward Throw,9/11,27,-36,18—26
27,Up Throw,3/5,40,-36,18—26
28,Down Throw,20/22,51,-36,18—26
29,Spot Dodge,20/22,18/23,-36,18—26
30,Forward Roll,20/22,26,-36,18—26
31,Backward Roll,20/22,32,-36,18—26
32,Neutral Air Dodge,20/22,45,-36,18—26
33,"Air Dodge, Down",20/22,65,-36,18—26
34,"Air Dodge, Diagonally Down",20/22,73,-36,18—26
35,"Air Dodge, Left/Right",20/22,80,-36,18—26
36,"Air Dodge, Diagonally Up",20/22,90,-36,18—26
37,"Air Dodge, Up",20/22,98,-36,18—26
38,Ledge Grab,20/22,98,-36,18—26
39,Ledge Grab,20/22,98,-36,18—26
40,Ledge Hang,20/22,98,-36,18—26
